>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	1.78183e-11 	 181.29 	 1.017437E+13 	 3.959622E-06 	 4.028667E+07
1.00000e+00	5.16988e-11 	 183.29 	 3.545343E+12 	 1.148862E-05 	 4.073111E+07
2.00000e+00	3.59421e-11 	 183.29 	 5.099591E+12 	 7.987133E-06 	 4.073111E+07
3.00000e+00	2.52044e-12 	 186.3 	 7.391567E+13 	 5.600978E-07 	 4.14E+07
4.00000e+00	-2.97684e-11 	 186.3 	 -6.258314E+12 	 -6.6152E-06 	 4.14E+07
5.00000e+00	7.67855e-11 	 186.3 	 2.426239E+12 	 1.706344E-05 	 4.14E+07
6.00000e+00	5.99769e-11 	 186.3 	 3.106196E+12 	 1.33282E-05 	 4.14E+07
7.00000e+00	9.16882e-11 	 186.3 	 2.031886E+12 	 2.037516E-05 	 4.14E+07
8.00000e+00	6.70132e-11 	 187.3 	 2.794972E+12 	 1.489182E-05 	 4.162222E+07
9.00000e+00	6.12506e-11 	 187.3 	 3.057929E+12 	 1.361124E-05 	 4.162222E+07
1.00000e+01	5.85582e-11 	 187.3 	 3.198527E+12 	 1.301293E-05 	 4.162222E+07
1.00000e+01	2.58567e-12 	 187.3 	 7.24377E+13 	 5.745933E-07 	 4.162222E+07
9.00000e+00	-5.38139e-11 	 187.3 	 -3.480513E+12 	 -1.195864E-05 	 4.162222E+07
8.00000e+00	-5.41472e-11 	 187.3 	 -3.459089E+12 	 -1.203271E-05 	 4.162222E+07
7.00000e+00	-5.41844e-11 	 187.3 	 -3.456714E+12 	 -1.204098E-05 	 4.162222E+07
6.00000e+00	-5.43731e-11 	 187.3 	 -3.444718E+12 	 -1.208291E-05 	 4.162222E+07
5.00000e+00	-5.45851e-11 	 187.3 	 -3.431339E+12 	 -1.213002E-05 	 4.162222E+07
4.00000e+00	-5.46321e-11 	 187.3 	 -3.428387E+12 	 -1.214047E-05 	 4.162222E+07
3.00000e+00	-5.46569e-11 	 187.3 	 -3.426832E+12 	 -1.214598E-05 	 4.162222E+07
2.00000e+00	-5.42199e-11 	 187.3 	 -3.454451E+12 	 -1.204887E-05 	 4.162222E+07
1.00000e+00	-5.48043e-11 	 187.3 	 -3.417615E+12 	 -1.217873E-05 	 4.162222E+07
0.00000e+00	-5.45255e-11 	 187.3 	 -3.43509E+12 	 -1.211678E-05 	 4.162222E+07
>>END<<
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/Seria_F4_P1_oled_000.txt
