>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-1.59605e-10 	 0.1 	 -1.59605E-09 	 -3.546778E-05 	 2.222222E+04
2.50000e-01	4.57149e-07 	 0.1 	 4.57149E-06 	 1.015887E-01 	 2.222222E+04
5.00000e-01	1.34074e-06 	 0.1 	 1.34074E-05 	 2.979422E-01 	 2.222222E+04
7.50000e-01	2.73479e-06 	 0.1 	 2.73479E-05 	 6.077311E-01 	 2.222222E+04
1.00000e+00	4.43740e-06 	 0.1 	 4.4374E-05 	 9.860889E-01 	 2.222222E+04
1.25000e+00	6.85181e-06 	 0.1 	 6.85181E-05 	 1.522624E+00 	 2.222222E+04
1.50000e+00	8.54325e-06 	 0.1 	 8.54325E-05 	 1.8985E+00 	 2.222222E+04
1.75000e+00	1.04589e-05 	 0.1 	 1.04589E-04 	 2.3242E+00 	 2.222222E+04
2.00000e+00	1.43732e-05 	 0.1 	 1.43732E-04 	 3.194044E+00 	 2.222222E+04
2.25000e+00	2.00030e-05 	 0.1 	 2.0003E-04 	 4.445111E+00 	 2.222222E+04
2.50000e+00	2.42372e-05 	 0.1 	 2.42372E-04 	 5.386044E+00 	 2.222222E+04
2.75000e+00	3.11351e-05 	 0.1 	 3.11351E-04 	 6.918911E+00 	 2.222222E+04
3.00000e+00	1.87219e-05 	 0.1 	 1.87219E-04 	 4.160422E+00 	 2.222222E+04
3.25000e+00	5.87659e-05 	 0.1 	 5.87659E-04 	 1.305909E+01 	 2.222222E+04
3.50000e+00	6.12056e-05 	 0.1 	 6.12056E-04 	 1.360124E+01 	 2.222222E+04
3.75000e+00	7.13307e-05 	 0.1 	 7.13307E-04 	 1.585127E+01 	 2.222222E+04
4.00000e+00	6.30057e-05 	 0.1 	 6.30057E-04 	 1.400127E+01 	 2.222222E+04
4.25000e+00	6.03927e-05 	 0.1 	 6.03927E-04 	 1.34206E+01 	 2.222222E+04
4.50000e+00	7.10176e-05 	 0.1 	 7.10176E-04 	 1.578169E+01 	 2.222222E+04
4.75000e+00	4.92755e-05 	 0.1 	 4.92755E-04 	 1.095011E+01 	 2.222222E+04
5.00000e+00	4.64949e-05 	 0.1 	 4.64949E-04 	 1.03322E+01 	 2.222222E+04
5.25000e+00	4.29919e-05 	 0.1 	 4.29919E-04 	 9.553756E+00 	 2.222222E+04
5.50000e+00	2.68856e-05 	 1.1 	 2.444145E-05 	 5.974578E+00 	 2.444444E+05
5.75000e+00	7.21190e-06 	 1.1 	 6.556273E-06 	 1.602644E+00 	 2.444444E+05
6.00000e+00	9.70259e-06 	 2.1 	 4.620281E-06 	 2.156131E+00 	 4.666667E+05
6.25000e+00	1.10443e-05 	 3.1 	 3.562677E-06 	 2.454289E+00 	 6.888889E+05
6.50000e+00	1.10370e-05 	 5.1 	 2.164118E-06 	 2.452667E+00 	 1.133333E+06
6.75000e+00	1.51512e-05 	 6.1 	 2.483803E-06 	 3.366933E+00 	 1.355556E+06
7.00000e+00	1.69384e-05 	 9.1 	 1.861363E-06 	 3.764089E+00 	 2.022222E+06
7.25000e+00	2.10595e-05 	 12.1 	 1.740455E-06 	 4.679889E+00 	 2.688889E+06
7.50000e+00	1.94137e-05 	 15.1 	 1.285675E-06 	 4.314156E+00 	 3.355556E+06
7.75000e+00	2.39633e-05 	 20.1 	 1.192204E-06 	 5.325178E+00 	 4.466667E+06
8.00000e+00	2.82214e-05 	 26.1 	 1.08128E-06 	 6.271422E+00 	 5.8E+06
8.25000e+00	3.19776e-05 	 34.2 	 9.350175E-07 	 7.106133E+00 	 7.6E+06
8.50000e+00	3.78754e-05 	 43.2 	 8.767454E-07 	 8.416756E+00 	 9.6E+06
8.75000e+00	4.13030e-05 	 55.2 	 7.482428E-07 	 9.178444E+00 	 1.226667E+07
9.00000e+00	4.47531e-05 	 69.3 	 6.457879E-07 	 9.945133E+00 	 1.54E+07
9.25000e+00	5.30670e-05 	 86.3 	 6.149131E-07 	 1.179267E+01 	 1.917778E+07
9.50000e+00	6.06139e-05 	 107.4 	 5.643752E-07 	 1.346976E+01 	 2.386667E+07
9.75000e+00	7.00878e-05 	 132.4 	 5.29364E-07 	 1.557507E+01 	 2.942222E+07
1.00000e+01	8.14424e-05 	 162.5 	 5.01184E-07 	 1.809831E+01 	 3.611111E+07
1.02500e+01	9.47547e-05 	 198.6 	 4.771133E-07 	 2.10566E+01 	 4.413333E+07
