>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-7.49571e-11 	 0.1 	 -1.334096E+09 	 -1.665713E-05 	 2.222222E+04
1.00000e+00	2.28688e-06 	 0.1 	 4.37277E+04 	 5.081956E-01 	 2.222222E+04
2.00000e+00	6.52091e-06 	 0.1 	 1.533528E+04 	 1.449091E+00 	 2.222222E+04
3.00000e+00	1.09187e-05 	 0.1 	 9.158599E+03 	 2.426378E+00 	 2.222222E+04
4.00000e+00	5.49255e-05 	 0.1 	 1.820648E+03 	 1.220567E+01 	 2.222222E+04
5.00000e+00	1.46018e-05 	 0.1 	 6.848471E+03 	 3.244844E+00 	 2.222222E+04
6.00000e+00	2.60763e-05 	 2.1 	 8.05329E+04 	 5.794733E+00 	 4.666667E+05
7.00000e+00	1.76429e-05 	 8.1 	 4.591082E+05 	 3.920644E+00 	 1.8E+06
8.00000e+00	2.21233e-05 	 24.1 	 1.089349E+06 	 4.916289E+00 	 5.355556E+06
9.00000e+00	4.34174e-05 	 61.2 	 1.409573E+06 	 9.648311E+00 	 1.36E+07
1.00000e+01	8.15263e-05 	 138.5 	 1.698838E+06 	 1.811696E+01 	 3.077778E+07
1.00000e+01	8.96205e-05 	 135.4 	 1.510815E+06 	 1.991567E+01 	 3.008889E+07
9.00000e+00	5.00078e-05 	 56.2 	 1.123825E+06 	 1.111284E+01 	 1.248889E+07
8.00000e+00	3.07549e-05 	 21.1 	 6.860695E+05 	 6.834422E+00 	 4.688889E+06
7.00000e+00	2.21157e-05 	 7.1 	 3.210389E+05 	 4.9146E+00 	 1.577778E+06
6.00000e+00	2.68907e-05 	 2.1 	 7.809391E+04 	 5.975711E+00 	 4.666667E+05
5.00000e+00	1.75159e-05 	 0.1 	 5.709099E+03 	 3.892422E+00 	 2.222222E+04
4.00000e+00	2.21338e-05 	 0.1 	 4.517977E+03 	 4.918622E+00 	 2.222222E+04
3.00000e+00	2.77582e-05 	 0.1 	 3.602539E+03 	 6.168489E+00 	 2.222222E+04
2.00000e+00	9.29194e-06 	 0.1 	 1.076202E+04 	 2.064876E+00 	 2.222222E+04
1.00000e+00	2.13381e-06 	 0.1 	 4.686453E+04 	 4.7418E-01 	 2.222222E+04
0.00000e+00	-5.58857e-10 	 0.1 	 -1.789367E+08 	 -1.241904E-04 	 2.222222E+04
>>END<<
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/Seria_F4_PUB_P1_oled_000.txt
