>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-5.42244e-11 	 0.1 	 -5.42244E-10 	 -1.204987E-05 	 2.222222E+04
2.50000e-01	6.66111e-08 	 0.1 	 6.66111E-07 	 1.480247E-02 	 2.222222E+04
5.00000e-01	1.33784e-07 	 0.1 	 1.33784E-06 	 2.972978E-02 	 2.222222E+04
7.50000e-01	2.04498e-07 	 0.1 	 2.04498E-06 	 4.5444E-02 	 2.222222E+04
1.00000e+00	2.77879e-07 	 0.1 	 2.77879E-06 	 6.175089E-02 	 2.222222E+04
1.25000e+00	3.55244e-07 	 0.1 	 3.55244E-06 	 7.894311E-02 	 2.222222E+04
1.50000e+00	4.38114e-07 	 0.1 	 4.38114E-06 	 9.735867E-02 	 2.222222E+04
1.75000e+00	5.22182e-07 	 0.1 	 5.22182E-06 	 1.160404E-01 	 2.222222E+04
2.00000e+00	6.10550e-07 	 0.1 	 6.1055E-06 	 1.356778E-01 	 2.222222E+04
2.25000e+00	6.98492e-07 	 0.1 	 6.98492E-06 	 1.552204E-01 	 2.222222E+04
2.50000e+00	7.89094e-07 	 0.1 	 7.89094E-06 	 1.753542E-01 	 2.222222E+04
2.75000e+00	8.78153e-07 	 0.1 	 8.78153E-06 	 1.951451E-01 	 2.222222E+04
3.00000e+00	9.71210e-07 	 0.1 	 9.7121E-06 	 2.158244E-01 	 2.222222E+04
3.25000e+00	1.06459e-06 	 0.1 	 1.06459E-05 	 2.365756E-01 	 2.222222E+04
3.50000e+00	1.16023e-06 	 0.1 	 1.16023E-05 	 2.578289E-01 	 2.222222E+04
3.75000e+00	1.25087e-06 	 0.1 	 1.25087E-05 	 2.779711E-01 	 2.222222E+04
4.00000e+00	1.34000e-06 	 0.1 	 1.34E-05 	 2.977778E-01 	 2.222222E+04
4.25000e+00	1.43809e-06 	 0.1 	 1.43809E-05 	 3.195756E-01 	 2.222222E+04
4.50000e+00	1.53697e-06 	 0.1 	 1.53697E-05 	 3.415489E-01 	 2.222222E+04
4.75000e+00	1.63727e-06 	 0.1 	 1.63727E-05 	 3.638378E-01 	 2.222222E+04
5.00000e+00	1.74114e-06 	 0.1 	 1.74114E-05 	 3.8692E-01 	 2.222222E+04
5.25000e+00	1.84990e-06 	 0.1 	 1.8499E-05 	 4.110889E-01 	 2.222222E+04
5.50000e+00	1.96871e-06 	 0.1 	 1.96871E-05 	 4.374911E-01 	 2.222222E+04
5.75000e+00	2.08999e-06 	 0.1 	 2.08999E-05 	 4.644422E-01 	 2.222222E+04
6.00000e+00	2.22556e-06 	 0.1 	 2.22556E-05 	 4.945689E-01 	 2.222222E+04
6.25000e+00	2.37168e-06 	 0.1 	 2.37168E-05 	 5.2704E-01 	 2.222222E+04
6.50000e+00	2.53358e-06 	 1.1 	 2.303255E-06 	 5.630178E-01 	 2.444444E+05
6.75000e+00	2.71498e-06 	 1.1 	 2.468164E-06 	 6.033289E-01 	 2.444444E+05
7.00000e+00	2.91675e-06 	 1.1 	 2.651591E-06 	 6.481667E-01 	 2.444444E+05
7.25000e+00	3.14347e-06 	 2.1 	 1.49689E-06 	 6.985489E-01 	 4.666667E+05
7.50000e+00	3.39443e-06 	 3.1 	 1.094977E-06 	 7.543178E-01 	 6.888889E+05
7.75000e+00	3.70206e-06 	 4.1 	 9.029415E-07 	 8.2268E-01 	 9.111111E+05
8.00000e+00	4.08492e-06 	 5.1 	 8.009647E-07 	 9.0776E-01 	 1.133333E+06
8.25000e+00	4.50999e-06 	 6.1 	 7.393426E-07 	 1.00222E+00 	 1.355556E+06
8.50000e+00	4.98180e-06 	 8.1 	 6.15037E-07 	 1.107067E+00 	 1.8E+06
8.75000e+00	5.56362e-06 	 11.1 	 5.01227E-07 	 1.23636E+00 	 2.466667E+06
9.00000e+00	6.35549e-06 	 13.1 	 4.851519E-07 	 1.412331E+00 	 2.911111E+06
9.25000e+00	7.25170e-06 	 17.1 	 4.24076E-07 	 1.611489E+00 	 3.8E+06
9.50000e+00	8.31676e-06 	 22.1 	 3.76324E-07 	 1.848169E+00 	 4.911111E+06
9.75000e+00	9.56336e-06 	 27.1 	 3.528915E-07 	 2.125191E+00 	 6.022222E+06
1.00000e+01	1.10337e-05 	 34.2 	 3.226228E-07 	 2.451933E+00 	 7.6E+06
1.02500e+01	1.29012e-05 	 43.2 	 2.986389E-07 	 2.866933E+00 	 9.6E+06
1.05000e+01	1.50708e-05 	 53.2 	 2.832857E-07 	 3.349067E+00 	 1.182222E+07
1.07500e+01	1.76749e-05 	 65.2 	 2.710874E-07 	 3.927756E+00 	 1.448889E+07
1.10000e+01	2.07123e-05 	 80.3 	 2.579365E-07 	 4.602733E+00 	 1.784444E+07
1.12500e+01	2.39637e-05 	 97.3 	 2.462867E-07 	 5.325267E+00 	 2.162222E+07
1.15000e+01	2.79952e-05 	 118.4 	 2.364459E-07 	 6.221156E+00 	 2.631111E+07
1.17500e+01	3.26176e-05 	 141.5 	 2.305131E-07 	 7.248356E+00 	 3.144444E+07
1.20000e+01	3.81540e-05 	 170.5 	 2.237771E-07 	 8.478667E+00 	 3.788889E+07
1.20000e+01	3.80154e-05 	 168.5 	 2.256107E-07 	 8.447867E+00 	 3.744444E+07
1.17500e+01	3.23913e-05 	 137.5 	 2.355731E-07 	 7.198067E+00 	 3.055556E+07
1.15000e+01	2.73989e-05 	 112.4 	 2.437625E-07 	 6.088644E+00 	 2.497778E+07
1.12500e+01	2.33745e-05 	 92.3 	 2.532449E-07 	 5.194333E+00 	 2.051111E+07
1.10000e+01	1.98330e-05 	 74.3 	 2.669314E-07 	 4.407333E+00 	 1.651111E+07
1.07500e+01	1.69189e-05 	 60.2 	 2.810449E-07 	 3.759756E+00 	 1.337778E+07
1.05000e+01	1.45181e-05 	 48.2 	 3.012054E-07 	 3.226244E+00 	 1.071111E+07
1.02500e+01	1.25743e-05 	 38.2 	 3.291702E-07 	 2.794289E+00 	 8.488889E+06
1.00000e+01	1.08451e-05 	 31.1 	 3.48717E-07 	 2.410022E+00 	 6.911111E+06
9.75000e+00	9.42910e-06 	 24.1 	 3.91249E-07 	 2.095356E+00 	 5.355556E+06
9.50000e+00	8.27229e-06 	 19.1 	 4.331042E-07 	 1.838287E+00 	 4.244444E+06
9.25000e+00	7.32529e-06 	 15.1 	 4.851185E-07 	 1.627842E+00 	 3.355556E+06
9.00000e+00	6.52159e-06 	 11.1 	 5.875306E-07 	 1.449242E+00 	 2.466667E+06
8.75000e+00	5.73814e-06 	 9.1 	 6.305648E-07 	 1.275142E+00 	 2.022222E+06
8.50000e+00	5.13371e-06 	 7.1 	 7.230577E-07 	 1.140824E+00 	 1.577778E+06
8.25000e+00	4.64430e-06 	 5.1 	 9.106471E-07 	 1.032067E+00 	 1.133333E+06
8.00000e+00	4.22372e-06 	 4.1 	 1.030176E-06 	 9.386044E-01 	 9.111111E+05
7.75000e+00	3.85818e-06 	 3.1 	 1.244574E-06 	 8.573733E-01 	 6.888889E+05
7.50000e+00	3.54098e-06 	 2.1 	 1.686181E-06 	 7.868844E-01 	 4.666667E+05
7.25000e+00	3.28324e-06 	 1.1 	 2.984764E-06 	 7.296089E-01 	 2.444444E+05
7.00000e+00	3.03426e-06 	 1.1 	 2.758418E-06 	 6.7428E-01 	 2.444444E+05
6.75000e+00	2.82440e-06 	 1.1 	 2.567636E-06 	 6.276444E-01 	 2.444444E+05
6.50000e+00	2.63589e-06 	 0.1 	 2.63589E-05 	 5.857533E-01 	 2.222222E+04
6.25000e+00	2.47389e-06 	 0.1 	 2.47389E-05 	 5.497533E-01 	 2.222222E+04
6.00000e+00	2.31639e-06 	 0.1 	 2.31639E-05 	 5.147533E-01 	 2.222222E+04
5.75000e+00	2.17342e-06 	 0.1 	 2.17342E-05 	 4.829822E-01 	 2.222222E+04
5.50000e+00	2.03382e-06 	 0.1 	 2.03382E-05 	 4.5196E-01 	 2.222222E+04
5.25000e+00	1.90931e-06 	 0.1 	 1.90931E-05 	 4.242911E-01 	 2.222222E+04
5.00000e+00	1.79203e-06 	 0.1 	 1.79203E-05 	 3.982289E-01 	 2.222222E+04
4.75000e+00	1.67661e-06 	 0.1 	 1.67661E-05 	 3.7258E-01 	 2.222222E+04
4.50000e+00	1.57235e-06 	 0.1 	 1.57235E-05 	 3.494111E-01 	 2.222222E+04
4.25000e+00	1.46582e-06 	 0.1 	 1.46582E-05 	 3.257378E-01 	 2.222222E+04
4.00000e+00	1.36581e-06 	 0.1 	 1.36581E-05 	 3.035133E-01 	 2.222222E+04
3.75000e+00	1.26561e-06 	 0.1 	 1.26561E-05 	 2.812467E-01 	 2.222222E+04
3.50000e+00	1.16771e-06 	 0.1 	 1.16771E-05 	 2.594911E-01 	 2.222222E+04
3.25000e+00	1.07145e-06 	 0.1 	 1.07145E-05 	 2.381E-01 	 2.222222E+04
3.00000e+00	9.76592e-07 	 0.1 	 9.76592E-06 	 2.170204E-01 	 2.222222E+04
2.75000e+00	8.83810e-07 	 0.1 	 8.8381E-06 	 1.964022E-01 	 2.222222E+04
2.50000e+00	7.94562e-07 	 0.1 	 7.94562E-06 	 1.765693E-01 	 2.222222E+04
2.25000e+00	7.04203e-07 	 0.1 	 7.04203E-06 	 1.564896E-01 	 2.222222E+04
2.00000e+00	6.13420e-07 	 0.1 	 6.1342E-06 	 1.363156E-01 	 2.222222E+04
1.75000e+00	5.27075e-07 	 0.1 	 5.27075E-06 	 1.171278E-01 	 2.222222E+04
1.50000e+00	4.41460e-07 	 0.1 	 4.4146E-06 	 9.810222E-02 	 2.222222E+04
1.25000e+00	3.60768e-07 	 0.1 	 3.60768E-06 	 8.017067E-02 	 2.222222E+04
1.00000e+00	2.79991e-07 	 0.1 	 2.79991E-06 	 6.222022E-02 	 2.222222E+04
7.50000e-01	2.06497e-07 	 0.1 	 2.06497E-06 	 4.588822E-02 	 2.222222E+04
5.00000e-01	1.35692e-07 	 0.1 	 1.35692E-06 	 3.015378E-02 	 2.222222E+04
2.50000e-01	6.68301e-08 	 0.1 	 6.68301E-07 	 1.485113E-02 	 2.222222E+04
0.00000e+00	-2.27809e-10 	 0.1 	 -2.27809E-09 	 -5.062422E-05 	 2.222222E+04
>>END<<
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/Seria_F4_PUB_P3_oled_004.txt
