V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 -5.79309e-11 0.1 -5.79309E-10 -1.287353E-05 2.222222E+04
2.50000e-01 7.04148e-08 0.1 7.04148E-07 1.564773E-02 2.222222E+04
5.00000e-01 2.24566e-07 0.1 2.24566E-06 4.990356E-02 2.222222E+04
7.50000e-01 6.16675e-07 0.1 6.16675E-06 1.370389E-01 2.222222E+04
1.00000e+00 1.16958e-06 0.1 1.16958E-05 2.599067E-01 2.222222E+04
1.25000e+00 1.88631e-06 0.1 1.88631E-05 4.1918E-01 2.222222E+04
1.50000e+00 2.69653e-06 0.1 2.69653E-05 5.992289E-01 2.222222E+04
1.75000e+00 3.56714e-06 0.1 3.56714E-05 7.926978E-01 2.222222E+04
2.00000e+00 4.39663e-06 0.1 4.39663E-05 9.770289E-01 2.222222E+04
2.25000e+00 5.50919e-06 0.1 5.50919E-05 1.224264E+00 2.222222E+04
2.50000e+00 7.06904e-06 0.1 7.06904E-05 1.570898E+00 2.222222E+04
2.75000e+00 8.51153e-06 0.1 8.51153E-05 1.891451E+00 2.222222E+04
3.00000e+00 1.29797e-05 0.1 1.29797E-04 2.884378E+00 2.222222E+04
3.25000e+00 2.21021e-05 0.1 2.21021E-04 4.911578E+00 2.222222E+04
3.50000e+00 2.45325e-05 0.1 2.45325E-04 5.451667E+00 2.222222E+04
3.75000e+00 3.19849e-05 0.1 3.19849E-04 7.107756E+00 2.222222E+04
4.00000e+00 3.99803e-05 0.1 3.99803E-04 8.884511E+00 2.222222E+04
4.25000e+00 4.38538e-05 0.1 4.38538E-04 9.745289E+00 2.222222E+04
4.50000e+00 5.62292e-05 0.1 5.62292E-04 1.249538E+01 2.222222E+04
4.75000e+00 4.13906e-05 1.1 3.762782E-05 9.197911E+00 2.444444E+05
5.00000e+00 4.89393e-05 1.1 4.449027E-05 1.08754E+01 2.444444E+05
5.25000e+00 6.43792e-05 2.1 3.065676E-05 1.430649E+01 4.666667E+05
5.50000e+00 2.75050e-06 3.1 8.872581E-07 6.112222E-01 6.888889E+05
5.75000e+00 5.14312e-05 5.1 1.008455E-05 1.142916E+01 1.133333E+06
