V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 -1.22726e-10 0.1 -1.22726E-09 -2.727244E-05 2.222222E+04
5.00000e-01 1.06872e-06 0.1 1.06872E-05 2.374933E-01 2.222222E+04
1.00000e+00 2.64973e-06 0.1 2.64973E-05 5.888289E-01 2.222222E+04
1.50000e+00 4.38607e-06 0.1 4.38607E-05 9.746822E-01 2.222222E+04
2.00000e+00 7.05128e-06 0.1 7.05128E-05 1.566951E+00 2.222222E+04
2.50000e+00 1.06992e-05 0.1 1.06992E-04 2.3776E+00 2.222222E+04
3.00000e+00 1.50960e-05 0.1 1.5096E-04 3.354667E+00 2.222222E+04
3.50000e+00 2.12345e-05 0.1 2.12345E-04 4.718778E+00 2.222222E+04
4.00000e+00 3.07601e-05 0.1 3.07601E-04 6.835578E+00 2.222222E+04
4.50000e+00 4.23254e-05 0.1 4.23254E-04 9.405644E+00 2.222222E+04
5.00000e+00 5.48481e-05 0.1 5.48481E-04 1.218847E+01 2.222222E+04
5.50000e+00 6.82681e-05 0.1 6.82681E-04 1.517069E+01 2.222222E+04
6.00000e+00 2.78618e-05 0.1 2.78618E-04 6.191511E+00 2.222222E+04
6.50000e+00 2.42259e-05 0.1 2.42259E-04 5.383533E+00 2.222222E+04
7.00000e+00 1.32755e-05 1.1 1.206864E-05 2.950111E+00 2.444444E+05
7.50000e+00 1.63368e-05 1.1 1.485164E-05 3.6304E+00 2.444444E+05
8.00000e+00 2.07793e-05 2.1 9.894905E-06 4.617622E+00 4.666667E+05
8.50000e+00 2.98423e-05 4.1 7.27861E-06 6.631622E+00 9.111111E+05
9.00000e+00 1.85373e-05 6.1 3.038902E-06 4.1194E+00 1.355556E+06
9.50000e+00 1.73513e-05 9.1 1.906736E-06 3.855844E+00 2.022222E+06
1.00000e+01 1.54930e-05 13.1 1.182672E-06 3.442889E+00 2.911111E+06
1.05000e+01 1.44954e-05 20.1 7.211642E-07 3.2212E+00 4.466667E+06
1.10000e+01 4.44002e-05 29.2 1.520555E-06 9.866711E+00 6.488889E+06
1.15000e+01 4.58081e-05 41.2 1.111847E-06 1.017958E+01 9.155556E+06
1.20000e+01 4.93790e-05 57.3 8.617627E-07 1.097311E+01 1.273333E+07
1.25000e+01 5.62318e-05 79.3 7.091021E-07 1.249596E+01 1.762222E+07
1.30000e+01 5.02162e-05 108.4 4.632491E-07 1.115916E+01 2.408889E+07
1.35000e+01 6.64331e-05 145.6 4.562713E-07 1.476291E+01 3.235556E+07
1.40000e+01 8.72755e-05 193.7 4.505705E-07 1.939456E+01 4.304444E+07
1.45000e+01 1.14480e-04 254.1 4.505313E-07 2.544E+01 5.646667E+07
1.50000e+01 1.49902e-04 329.12 4.554631E-07 3.331156E+01 7.313778E+07
1.55000e+01 1.94945e-04 421.16 4.628763E-07 4.332111E+01 9.359111E+07
1.60000e+01 2.53307e-04 530.2 4.777575E-07 5.629044E+01 1.178222E+08
1.65000e+01 3.26162e-04 658.24 4.955062E-07 7.248044E+01 1.462756E+08
1.70000e+01 4.11223e-04 804.3 5.112806E-07 9.138289E+01 1.787333E+08
1.75000e+01 5.18323e-04 967.36 5.358119E-07 1.151829E+02 2.149689E+08
1.80000e+01 6.45618e-04 1142.43 5.65127E-07 1.434707E+02 2.538733E+08
1.80000e+01 6.20594e-04 1055.4 5.880178E-07 1.379098E+02 2.345333E+08
1.75000e+01 4.61970e-04 775.29 5.958674E-07 1.0266E+02 1.722867E+08
1.70000e+01 3.46154e-04 577.22 5.996916E-07 7.692311E+01 1.282711E+08
1.65000e+01 2.58559e-04 432.17 5.982808E-07 5.745756E+01 9.603778E+07
1.60000e+01 1.93879e-04 324.13 5.98152E-07 4.308422E+01 7.202889E+07
1.55000e+01 1.45027e-04 244.1 5.941295E-07 3.222822E+01 5.424444E+07
1.50000e+01 1.11423e-04 183.7 6.065487E-07 2.476067E+01 4.082222E+07
1.45000e+01 8.24831e-05 137.6 5.994411E-07 1.832958E+01 3.057778E+07
1.40000e+01 6.14353e-05 103.4 5.941518E-07 1.365229E+01 2.297778E+07
1.35000e+01 4.69093e-05 76.3 6.148008E-07 1.042429E+01 1.695556E+07
1.30000e+01 3.56684e-05 56.3 6.335417E-07 7.926311E+00 1.251111E+07
1.25000e+01 2.77570e-05 41.2 6.737136E-07 6.168222E+00 9.155556E+06
1.20000e+01 2.27222e-05 30.2 7.523907E-07 5.049378E+00 6.711111E+06
1.15000e+01 1.81138e-05 21.1 8.584739E-07 4.025289E+00 4.688889E+06
1.10000e+01 1.98177e-05 15.1 1.31243E-06 4.403933E+00 3.355556E+06
1.05000e+01 1.76058e-05 10.1 1.743149E-06 3.9124E+00 2.244444E+06
1.00000e+01 1.28741e-05 7.1 1.813254E-06 2.860911E+00 1.577778E+06
9.50000e+00 1.97171e-05 5.1 3.866098E-06 4.381578E+00 1.133333E+06
9.00000e+00 1.76695e-05 3.1 5.699839E-06 3.926556E+00 6.888889E+05
8.50000e+00 1.27967e-05 2.1 6.093667E-06 2.843711E+00 4.666667E+05
8.00000e+00 2.37808e-05 1.1 2.161891E-05 5.284622E+00 2.444444E+05
7.50000e+00 2.88645e-05 0.1 2.88645E-04 6.414333E+00 2.222222E+04
7.00000e+00 2.84681e-05 0.1 2.84681E-04 6.326244E+00 2.222222E+04
6.50000e+00 3.73386e-05 0.1 3.73386E-04 8.297467E+00 2.222222E+04
6.00000e+00 3.41707e-05 0.1 3.41707E-04 7.593489E+00 2.222222E+04
5.50000e+00 2.96643e-05 0.1 2.96643E-04 6.592067E+00 2.222222E+04
5.00000e+00 2.77398e-05 0.1 2.77398E-04 6.1644E+00 2.222222E+04
4.50000e+00 1.69616e-05 0.1 1.69616E-04 3.769244E+00 2.222222E+04
4.00000e+00 1.27413e-05 0.1 1.27413E-04 2.8314E+00 2.222222E+04
3.50000e+00 8.21330e-06 0.1 8.2133E-05 1.825178E+00 2.222222E+04
3.00000e+00 5.86607e-06 0.1 5.86607E-05 1.303571E+00 2.222222E+04
2.50000e+00 3.94019e-06 0.1 3.94019E-05 8.755978E-01 2.222222E+04
2.00000e+00 2.55819e-06 0.1 2.55819E-05 5.684867E-01 2.222222E+04
1.50000e+00 1.70544e-06 0.1 1.70544E-05 3.789867E-01 2.222222E+04
1.00000e+00 9.37285e-07 0.1 9.37285E-06 2.082856E-01 2.222222E+04
5.00000e-01 4.31182e-07 0.1 4.31182E-06 9.581822E-02 2.222222E+04
0.00000e+00 -3.22679e-10 0.1 -3.22679E-09 -7.170644E-05 2.222222E+04
     
