V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 -4.53368e-12 0.1 -4.53368E-11 -1.007484E-06 2.222222E+04
5.00000e-01 1.15742e-09 0.1 1.15742E-08 2.572044E-04 2.222222E+04
1.00000e+00 9.16361e-09 0.1 9.16361E-08 2.036358E-03 2.222222E+04
1.50000e+00 2.34680e-08 0.1 2.3468E-07 5.215111E-03 2.222222E+04
2.00000e+00 6.61043e-08 0.1 6.61043E-07 1.468984E-02 2.222222E+04
2.50000e+00 1.23730e-07 0.1 1.2373E-06 2.749556E-02 2.222222E+04
3.00000e+00 1.99353e-07 0.1 1.99353E-06 4.430067E-02 2.222222E+04
3.50000e+00 2.80811e-07 0.1 2.80811E-06 6.240244E-02 2.222222E+04
4.00000e+00 3.71618e-07 0.1 3.71618E-06 8.258178E-02 2.222222E+04
4.50000e+00 4.67510e-07 0.1 4.6751E-06 1.038911E-01 2.222222E+04
5.00000e+00 5.79997e-07 0.1 5.79997E-06 1.288882E-01 2.222222E+04
5.50000e+00 6.94071e-07 0.1 6.94071E-06 1.54238E-01 2.222222E+04
6.00000e+00 8.47434e-07 0.1 8.47434E-06 1.883187E-01 2.222222E+04
6.50000e+00 1.03896e-06 0.1 1.03896E-05 2.3088E-01 2.222222E+04
7.00000e+00 1.23574e-06 0.1 1.23574E-05 2.746089E-01 2.222222E+04
7.50000e+00 1.54767e-06 0.1 1.54767E-05 3.439267E-01 2.222222E+04
8.00000e+00 1.81506e-06 0.1 1.81506E-05 4.033467E-01 2.222222E+04
8.50000e+00 2.14208e-06 0.1 2.14208E-05 4.760178E-01 2.222222E+04
9.00000e+00 2.43928e-06 0.1 2.43928E-05 5.420622E-01 2.222222E+04
9.50000e+00 2.67647e-06 0.1 2.67647E-05 5.947711E-01 2.222222E+04
1.00000e+01 3.00679e-06 0.1 3.00679E-05 6.681756E-01 2.222222E+04
