V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 -1.86590e-11 0.1 -1.8659E-10 -4.146444E-06 2.222222E+04
5.00000e-01 1.92514e-07 0.1 1.92514E-06 4.278089E-02 2.222222E+04
1.00000e+00 3.92511e-07 0.1 3.92511E-06 8.722467E-02 2.222222E+04
1.50000e+00 5.93451e-07 0.1 5.93451E-06 1.31878E-01 2.222222E+04
2.00000e+00 7.97896e-07 0.1 7.97896E-06 1.773102E-01 2.222222E+04
2.50000e+00 1.00244e-06 0.1 1.00244E-05 2.227644E-01 2.222222E+04
3.00000e+00 1.21913e-06 0.1 1.21913E-05 2.709178E-01 2.222222E+04
3.50000e+00 1.47217e-06 0.1 1.47217E-05 3.271489E-01 2.222222E+04
4.00000e+00 1.74228e-06 0.1 1.74228E-05 3.871733E-01 2.222222E+04
4.50000e+00 2.11667e-06 0.1 2.11667E-05 4.703711E-01 2.222222E+04
5.00000e+00 2.46546e-06 0.1 2.46546E-05 5.4788E-01 2.222222E+04
5.50000e+00 2.83290e-06 0.1 2.8329E-05 6.295333E-01 2.222222E+04
6.00000e+00 3.38445e-06 0.1 3.38445E-05 7.521E-01 2.222222E+04
6.50000e+00 4.01323e-06 0.1 4.01323E-05 8.918289E-01 2.222222E+04
7.00000e+00 4.64398e-06 0.1 4.64398E-05 1.031996E+00 2.222222E+04
7.50000e+00 5.48290e-06 0.1 5.4829E-05 1.218422E+00 2.222222E+04
8.00000e+00 6.10458e-06 0.1 6.10458E-05 1.356573E+00 2.222222E+04
8.50000e+00 7.04968e-06 0.1 7.04968E-05 1.566596E+00 2.222222E+04
9.00000e+00 8.14646e-06 0.1 8.14646E-05 1.810324E+00 2.222222E+04
9.50000e+00 9.49108e-06 1.1 8.628255E-06 2.109129E+00 2.444444E+05
1.00000e+01 1.11216e-05 1.1 1.011055E-05 2.471467E+00 2.444444E+05
1.05000e+01 1.37272e-05 2.1 6.536762E-06 3.050489E+00 4.666667E+05
1.10000e+01 1.57180e-05 2.1 7.484762E-06 3.492889E+00 4.666667E+05
1.15000e+01 1.93417e-05 3.1 6.239258E-06 4.298156E+00 6.888889E+05
1.20000e+01 2.35633e-05 4.1 5.747146E-06 5.236289E+00 9.111111E+05
1.25000e+01 2.91503e-05 6.1 4.778738E-06 6.477844E+00 1.355556E+06
1.30000e+01 3.69179e-05 8.1 4.557765E-06 8.203978E+00 1.8E+06
1.35000e+01 4.58905e-05 11.1 4.134279E-06 1.019789E+01 2.466667E+06
1.40000e+01 5.82397e-05 14.1 4.130475E-06 1.294216E+01 3.133333E+06
1.45000e+01 7.40036e-05 19.1 3.874534E-06 1.644524E+01 4.244444E+06
1.50000e+01 9.50946e-05 24.2 3.929529E-06 2.113213E+01 5.377778E+06
1.55000e+01 1.19656e-04 31.2 3.835128E-06 2.659022E+01 6.933333E+06
1.60000e+01 1.53749e-04 39.2 3.922168E-06 3.416644E+01 8.711111E+06
1.65000e+01 1.95412e-04 49.3 3.963732E-06 4.342489E+01 1.095556E+07
1.70000e+01 2.47965e-04 61.3 4.045106E-06 5.510333E+01 1.362222E+07
1.75000e+01 3.20919e-04 74.4 4.313427E-06 7.131533E+01 1.653333E+07
1.80000e+01 4.04565e-04 89.4 4.525336E-06 8.990333E+01 1.986667E+07
1.80000e+01 3.89047e-04 82.4 4.721444E-06 8.645489E+01 1.831111E+07
1.75000e+01 2.96058e-04 59.3 4.992546E-06 6.579067E+01 1.317778E+07
1.70000e+01 2.30296e-04 43.3 5.318614E-06 5.117689E+01 9.622222E+06
1.65000e+01 1.79532e-04 32.2 5.575528E-06 3.9896E+01 7.155556E+06
1.60000e+01 1.40309e-04 24.2 5.797893E-06 3.117978E+01 5.377778E+06
