>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-4.39808e-09 	 0.1 	 -4.39808E-08 	 -9.773511E-04 	 2.222222E+04
5.00000e-01	7.73195e-05 	 0.1 	 7.73195E-04 	 1.718211E+01 	 2.222222E+04
1.00000e+00	1.81180e-04 	 0.1 	 1.8118E-03 	 4.026222E+01 	 2.222222E+04
1.50000e+00	3.15142e-04 	 0.1 	 3.15142E-03 	 7.003156E+01 	 2.222222E+04
2.00000e+00	4.81624e-04 	 0.1 	 4.81624E-03 	 1.070276E+02 	 2.222222E+04
2.50000e+00	7.10510e-04 	 0.1 	 7.1051E-03 	 1.578911E+02 	 2.222222E+04
3.00000e+00	5.33259e-04 	 0.1 	 5.33259E-03 	 1.18502E+02 	 2.222222E+04
3.50000e+00	6.93945e-05 	 0.1 	 6.93945E-04 	 1.5421E+01 	 2.222222E+04
4.00000e+00	5.36638e-05 	 0.1 	 5.36638E-04 	 1.192529E+01 	 2.222222E+04
4.50000e+00	2.95389e-05 	 0.1 	 2.95389E-04 	 6.5642E+00 	 2.222222E+04
5.00000e+00	4.20722e-05 	 0.1 	 4.20722E-04 	 9.349378E+00 	 2.222222E+04
5.50000e+00	6.45390e-05 	 0.1 	 6.4539E-04 	 1.4342E+01 	 2.222222E+04
6.00000e+00	9.26024e-05 	 0.1 	 9.26024E-04 	 2.057831E+01 	 2.222222E+04
6.50000e+00	1.05617e-04 	 0.1 	 1.05617E-03 	 2.347044E+01 	 2.222222E+04
7.00000e+00	1.50420e-04 	 0.1 	 1.5042E-03 	 3.342667E+01 	 2.222222E+04
7.50000e+00	1.80830e-04 	 0.1 	 1.8083E-03 	 4.018444E+01 	 2.222222E+04
8.00000e+00	1.93782e-04 	 0.1 	 1.93782E-03 	 4.306267E+01 	 2.222222E+04
8.50000e+00	2.38513e-04 	 0.1 	 2.38513E-03 	 5.300289E+01 	 2.222222E+04
9.00000e+00	2.67084e-04 	 0.1 	 2.67084E-03 	 5.9352E+01 	 2.222222E+04
9.50000e+00	2.88966e-04 	 0.1 	 2.88966E-03 	 6.421467E+01 	 2.222222E+04
1.00000e+01	3.26076e-04 	 0.1 	 3.26076E-03 	 7.246133E+01 	 2.222222E+04
1.05000e+01	3.69412e-04 	 0.1 	 3.69412E-03 	 8.209156E+01 	 2.222222E+04
1.10000e+01	4.11822e-04 	 0.1 	 4.11822E-03 	 9.1516E+01 	 2.222222E+04
1.15000e+01	4.37647e-04 	 0.1 	 4.37647E-03 	 9.725489E+01 	 2.222222E+04
1.20000e+01	4.75588e-04 	 0.1 	 4.75588E-03 	 1.056862E+02 	 2.222222E+04
1.25000e+01	4.91128e-04 	 1.1 	 4.4648E-04 	 1.091396E+02 	 2.444444E+05
1.30000e+01	4.98488e-04 	 1.1 	 4.531709E-04 	 1.107751E+02 	 2.444444E+05
1.35000e+01	4.70770e-04 	 1.1 	 4.279727E-04 	 1.046156E+02 	 2.444444E+05
1.40000e+01	5.15636e-04 	 1.1 	 4.6876E-04 	 1.145858E+02 	 2.444444E+05
1.45000e+01	5.61652e-04 	 2.1 	 2.674533E-04 	 1.248116E+02 	 4.666667E+05
1.50000e+01	5.49319e-04 	 2.1 	 2.615805E-04 	 1.220709E+02 	 4.666667E+05
1.55000e+01	5.03494e-04 	 3.1 	 1.624174E-04 	 1.118876E+02 	 6.888889E+05
1.60000e+01	5.34174e-04 	 3.1 	 1.723142E-04 	 1.187053E+02 	 6.888889E+05
1.65000e+01	2.32113e-04 	 4.1 	 5.661293E-05 	 5.158067E+01 	 9.111111E+05
1.70000e+01	2.97942e-04 	 5.1 	 5.842E-05 	 6.620933E+01 	 1.133333E+06
1.75000e+01	3.12004e-04 	 6.1 	 5.11482E-05 	 6.933422E+01 	 1.355556E+06
1.80000e+01	3.24637e-04 	 7.1 	 4.572352E-05 	 7.214156E+01 	 1.577778E+06
1.85000e+01	3.81959e-04 	 9.1 	 4.197352E-05 	 8.487978E+01 	 2.022222E+06
1.90000e+01	2.71276e-04 	 10.2 	 2.659569E-05 	 6.028356E+01 	 2.266667E+06
1.95000e+01	3.32740e-04 	 12.2 	 2.727377E-05 	 7.394222E+01 	 2.711111E+06
2.00000e+01	3.74559e-04 	 15.2 	 2.464204E-05 	 8.323533E+01 	 3.377778E+06
2.05000e+01	4.71870e-04 	 18.3 	 2.578525E-05 	 1.0486E+02 	 4.066667E+06
2.10000e+01	6.05213e-04 	 21.3 	 2.841376E-05 	 1.344918E+02 	 4.733333E+06
2.15000e+01	7.76796e-04 	 26.4 	 2.942409E-05 	 1.726213E+02 	 5.866667E+06
2.20000e+01	9.90713e-04 	 31.5 	 3.145121E-05 	 2.201584E+02 	 7E+06
2.25000e+01	1.26917e-03 	 37.6 	 3.375452E-05 	 2.820378E+02 	 8.355556E+06
2.30000e+01	1.61716e-03 	 44.7 	 3.617808E-05 	 3.593689E+02 	 9.933333E+06
2.35000e+01	2.04981e-03 	 52.9 	 3.874877E-05 	 4.555133E+02 	 1.175556E+07
2.40000e+01	2.59482e-03 	 61.1 	 4.246841E-05 	 5.766267E+02 	 1.357778E+07
2.45000e+01	3.29804e-03 	 72.13 	 4.572355E-05 	 7.328978E+02 	 1.602889E+07
2.50000e+01	4.18442e-03 	 85.15 	 4.914175E-05 	 9.298711E+02 	 1.892222E+07
2.50000e+01	4.29468e-03 	 82.15 	 5.227851E-05 	 9.543733E+02 	 1.825556E+07
2.45000e+01	3.50065e-03 	 66.12 	 5.294389E-05 	 7.779222E+02 	 1.469333E+07
2.40000e+01	2.77054e-03 	 53.1 	 5.217589E-05 	 6.156756E+02 	 1.18E+07
2.35000e+01	2.17059e-03 	 43.8 	 4.955685E-05 	 4.823533E+02 	 9.733333E+06
2.30000e+01	1.68935e-03 	 34.6 	 4.882514E-05 	 3.754111E+02 	 7.688889E+06
2.25000e+01	1.30732e-03 	 28.5 	 4.587088E-05 	 2.905156E+02 	 6.333333E+06
2.20000e+01	1.00683e-03 	 23.4 	 4.302692E-05 	 2.2374E+02 	 5.2E+06
2.15000e+01	7.71914e-04 	 18.3 	 4.218109E-05 	 1.715364E+02 	 4.066667E+06
2.10000e+01	5.91905e-04 	 15.3 	 3.86866E-05 	 1.315344E+02 	 3.4E+06
2.05000e+01	4.52103e-04 	 12.2 	 3.705762E-05 	 1.004673E+02 	 2.711111E+06
2.00000e+01	3.45571e-04 	 10.2 	 3.387951E-05 	 7.679356E+01 	 2.266667E+06
1.95000e+01	2.63899e-04 	 8.2 	 3.21828E-05 	 5.864422E+01 	 1.822222E+06
1.90000e+01	2.01891e-04 	 7.1 	 2.843535E-05 	 4.486467E+01 	 1.577778E+06
1.85000e+01	1.55747e-04 	 6.1 	 2.55323E-05 	 3.461044E+01 	 1.355556E+06
1.80000e+01	1.20541e-04 	 5.1 	 2.363549E-05 	 2.678689E+01 	 1.133333E+06
1.75000e+01	9.14321e-05 	 4.1 	 2.230051E-05 	 2.031824E+01 	 9.111111E+05
1.70000e+01	7.11936e-05 	 3.1 	 2.296568E-05 	 1.58208E+01 	 6.888889E+05
1.65000e+01	5.63093e-05 	 3.1 	 1.816429E-05 	 1.251318E+01 	 6.888889E+05
1.60000e+01	4.55498e-05 	 2.1 	 2.169038E-05 	 1.012218E+01 	 4.666667E+05
1.55000e+01	3.58824e-05 	 2.1 	 1.708686E-05 	 7.973867E+00 	 4.666667E+05
1.50000e+01	4.15992e-05 	 2.1 	 1.980914E-05 	 9.244267E+00 	 4.666667E+05
1.45000e+01	2.44892e-05 	 1.1 	 2.226291E-05 	 5.442044E+00 	 2.444444E+05
1.40000e+01	2.10174e-05 	 1.1 	 1.910673E-05 	 4.670533E+00 	 2.444444E+05
1.35000e+01	2.00475e-05 	 1.1 	 1.8225E-05 	 4.455E+00 	 2.444444E+05
1.30000e+01	1.78270e-05 	 1.1 	 1.620636E-05 	 3.961556E+00 	 2.444444E+05
