V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 9.63151e-13 0.1 9.63151E-12 2.140336E-07 2.222222E+04
5.00000e-01 1.50540e-11 0.1 1.5054E-10 3.345333E-06 2.222222E+04
1.00000e+00 1.51669e-11 0.1 1.51669E-10 3.370422E-06 2.222222E+04
1.50000e+00 1.51705e-11 0.1 1.51705E-10 3.371222E-06 2.222222E+04
2.00000e+00 1.50938e-11 0.1 1.50938E-10 3.354178E-06 2.222222E+04
2.50000e+00 1.52372e-11 0.1 1.52372E-10 3.386044E-06 2.222222E+04
3.00000e+00 1.52601e-11 0.1 1.52601E-10 3.391133E-06 2.222222E+04
3.50000e+00 1.52113e-11 0.1 1.52113E-10 3.380289E-06 2.222222E+04
4.00000e+00 1.52713e-11 0.1 1.52713E-10 3.393622E-06 2.222222E+04
4.50000e+00 1.53105e-11 0.1 1.53105E-10 3.402333E-06 2.222222E+04
5.00000e+00 1.52181e-11 0.1 1.52181E-10 3.3818E-06 2.222222E+04
5.50000e+00 1.54151e-11 0.1 1.54151E-10 3.425578E-06 2.222222E+04
6.00000e+00 1.58450e-11 0.1 1.5845E-10 3.521111E-06 2.222222E+04
6.50000e+00 1.39172e-11 0.1 1.39172E-10 3.092711E-06 2.222222E+04
7.00000e+00 2.58919e-11 0.1 2.58919E-10 5.753756E-06 2.222222E+04
7.50000e+00 1.53563e-11 0.1 1.53563E-10 3.412511E-06 2.222222E+04
8.00000e+00 1.39633e-11 0.1 1.39633E-10 3.102956E-06 2.222222E+04
8.50000e+00 1.48525e-11 0.1 1.48525E-10 3.300556E-06 2.222222E+04
9.00000e+00 1.47027e-11 0.1 1.47027E-10 3.267267E-06 2.222222E+04
9.50000e+00 1.58408e-11 0.1 1.58408E-10 3.520178E-06 2.222222E+04
1.00000e+01 1.51511e-11 0.1 1.51511E-10 3.366911E-06 2.222222E+04
1.05000e+01 1.48040e-11 0.1 1.4804E-10 3.289778E-06 2.222222E+04
1.10000e+01 1.51170e-11 0.1 1.5117E-10 3.359333E-06 2.222222E+04
1.15000e+01 1.64311e-11 0.1 1.64311E-10 3.651356E-06 2.222222E+04
1.20000e+01 1.48910e-11 0.1 1.4891E-10 3.309111E-06 2.222222E+04
1.25000e+01 1.80396e-11 0.1 1.80396E-10 4.0088E-06 2.222222E+04
1.30000e+01 -1.98110e-12 0.1 -1.9811E-11 -4.402444E-07 2.222222E+04
1.35000e+01 1.36737e-11 0.1 1.36737E-10 3.0386E-06 2.222222E+04
1.40000e+01 -4.54760e-11 0.1 -4.5476E-10 -1.010578E-05 2.222222E+04
1.45000e+01 4.20671e-10 0.1 4.20671E-09 9.348244E-05 2.222222E+04
1.50000e+01 4.10714e-12 0.1 4.10714E-11 9.126978E-07 2.222222E+04
1.55000e+01 1.50269e-11 0.1 1.50269E-10 3.339311E-06 2.222222E+04
1.60000e+01 1.42643e-11 0.1 1.42643E-10 3.169844E-06 2.222222E+04
1.65000e+01 1.57264e-11 0.1 1.57264E-10 3.494756E-06 2.222222E+04
