>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-4.30130e-07 	 0.1 	 -4.3013E-06 	 -9.558444E-02 	 2.222222E+04
5.00000e-01	3.66541e-03 	 0.1 	 3.66541E-02 	 8.145356E+02 	 2.222222E+04
1.00000e+00	7.81548e-03 	 0.1 	 7.81548E-02 	 1.736773E+03 	 2.222222E+04
1.50000e+00	1.24551e-02 	 0.1 	 1.24551E-01 	 2.7678E+03 	 2.222222E+04
2.00000e+00	1.78970e-02 	 0.1 	 1.7897E-01 	 3.977111E+03 	 2.222222E+04
2.50000e+00	2.35768e-02 	 0.1 	 2.35768E-01 	 5.239289E+03 	 2.222222E+04
3.00000e+00	2.97726e-02 	 0.1 	 2.97726E-01 	 6.616133E+03 	 2.222222E+04
3.50000e+00	3.56118e-02 	 0.1 	 3.56118E-01 	 7.913733E+03 	 2.222222E+04
4.00000e+00	4.13816e-02 	 0.1 	 4.13816E-01 	 9.195911E+03 	 2.222222E+04
4.50000e+00	4.72845e-02 	 0.1 	 4.72845E-01 	 1.050767E+04 	 2.222222E+04
5.00000e+00	5.36047e-02 	 0.1 	 5.36047E-01 	 1.191216E+04 	 2.222222E+04
5.50000e+00	5.93232e-02 	 0.1 	 5.93232E-01 	 1.318293E+04 	 2.222222E+04
6.00000e+00	6.46691e-02 	 0.1 	 6.46691E-01 	 1.437091E+04 	 2.222222E+04
6.50000e+00	6.98347e-02 	 0.1 	 6.98347E-01 	 1.551882E+04 	 2.222222E+04
7.00000e+00	7.51457e-02 	 0.1 	 7.51457E-01 	 1.669904E+04 	 2.222222E+04
7.50000e+00	7.98914e-02 	 0.1 	 7.98914E-01 	 1.775364E+04 	 2.222222E+04
8.00000e+00	8.33558e-02 	 0.1 	 8.33558E-01 	 1.852351E+04 	 2.222222E+04
8.50000e+00	8.91334e-02 	 0.1 	 8.91334E-01 	 1.980742E+04 	 2.222222E+04
9.00000e+00	9.61022e-02 	 0.1 	 9.61022E-01 	 2.135604E+04 	 2.222222E+04
9.50000e+00	9.99951e-02 	 9.1 	 1.098847E-02 	 2.222113E+04 	 2.022222E+06
1.00000e+01	9.99955e-02 	 0.1 	 9.99955E-01 	 2.222122E+04 	 2.222222E+04
1.05000e+01	9.99956e-02 	 0.1 	 9.99956E-01 	 2.222124E+04 	 2.222222E+04
1.10000e+01	9.99957e-02 	 0.1 	 9.99957E-01 	 2.222127E+04 	 2.222222E+04
1.15000e+01	9.99957e-02 	 0.1 	 9.99957E-01 	 2.222127E+04 	 2.222222E+04
1.20000e+01	9.99957e-02 	 0.1 	 9.99957E-01 	 2.222127E+04 	 2.222222E+04
1.25000e+01	9.99957e-02 	 0.1 	 9.99957E-01 	 2.222127E+04 	 2.222222E+04
1.30000e+01	9.99956e-02 	 0.1 	 9.99956E-01 	 2.222124E+04 	 2.222222E+04
1.35000e+01	9.99955e-02 	 0.1 	 9.99955E-01 	 2.222122E+04 	 2.222222E+04
1.40000e+01	9.99954e-02 	 0.1 	 9.99954E-01 	 2.22212E+04 	 2.222222E+04
1.45000e+01	9.99955e-02 	 0.1 	 9.99955E-01 	 2.222122E+04 	 2.222222E+04
1.50000e+01	9.99956e-02 	 0.1 	 9.99956E-01 	 2.222124E+04 	 2.222222E+04
1.55000e+01	9.99957e-02 	 0.1 	 9.99957E-01 	 2.222127E+04 	 2.222222E+04
1.60000e+01	9.99956e-02 	 0.1 	 9.99956E-01 	 2.222124E+04 	 2.222222E+04
1.65000e+01	9.99956e-02 	 0.1 	 9.99956E-01 	 2.222124E+04 	 2.222222E+04
1.70000e+01	9.99957e-02 	 0.1 	 9.99957E-01 	 2.222127E+04 	 2.222222E+04
1.75000e+01	9.99957e-02 	 0.1 	 9.99957E-01 	 2.222127E+04 	 2.222222E+04
