>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	4.92295e-11 	 0.1 	 4.92295E-10 	 1.093989E-05 	 2.222222E+04
5.00000e-01	7.50583e-06 	 0.1 	 7.50583E-05 	 1.667962E+00 	 2.222222E+04
1.00000e+00	1.86069e-05 	 0.1 	 1.86069E-04 	 4.134867E+00 	 2.222222E+04
1.50000e+00	8.27297e-05 	 0.1 	 8.27297E-04 	 1.838438E+01 	 2.222222E+04
2.00000e+00	5.44199e-04 	 0.1 	 5.44199E-03 	 1.209331E+02 	 2.222222E+04
2.50000e+00	1.31716e-02 	 0.1 	 1.31716E-01 	 2.927022E+03 	 2.222222E+04
3.00000e+00	1.05722e-02 	 0.1 	 1.05722E-01 	 2.349378E+03 	 2.222222E+04
3.50000e+00	1.53244e-02 	 0.1 	 1.53244E-01 	 3.405422E+03 	 2.222222E+04
4.00000e+00	1.11071e-03 	 0.1 	 1.11071E-02 	 2.468244E+02 	 2.222222E+04
4.50000e+00	1.31234e-03 	 0.1 	 1.31234E-02 	 2.916311E+02 	 2.222222E+04
5.00000e+00	1.13626e-03 	 0.1 	 1.13626E-02 	 2.525022E+02 	 2.222222E+04
5.50000e+00	1.29808e-03 	 1.1 	 1.180073E-03 	 2.884622E+02 	 2.444444E+05
6.00000e+00	1.37239e-03 	 2.1 	 6.53519E-04 	 3.049756E+02 	 4.666667E+05
6.50000e+00	1.73892e-03 	 3.1 	 5.609419E-04 	 3.864267E+02 	 6.888889E+05
7.00000e+00	1.93581e-03 	 6.1 	 3.173459E-04 	 4.3018E+02 	 1.355556E+06
7.50000e+00	2.34738e-03 	 10.1 	 2.324139E-04 	 5.2164E+02 	 2.244444E+06
8.00000e+00	4.61472e-03 	 5.1 	 9.048471E-04 	 1.025493E+03 	 1.133333E+06
8.50000e+00	9.38311e-02 	 0.1 	 9.38311E-01 	 2.085136E+04 	 2.222222E+04
9.00000e+00	9.90943e-02 	 0.1 	 9.90943E-01 	 2.202096E+04 	 2.222222E+04
9.50000e+00	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.00000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.05000e+01	9.99954e-02 	 0.1 	 9.99954E-01 	 2.22212E+04 	 2.222222E+04
1.10000e+01	9.99953e-02 	 16.2 	 6.172549E-03 	 2.222118E+04 	 3.6E+06
1.15000e+01	5.47462e-02 	 17.2 	 3.182919E-03 	 1.216582E+04 	 3.822222E+06
1.20000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.25000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.30000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.35000e+01	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
1.40000e+01	9.99949e-02 	 0.1 	 9.99949E-01 	 2.222109E+04 	 2.222222E+04
1.45000e+01	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
1.50000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.55000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.60000e+01	9.99949e-02 	 0.1 	 9.99949E-01 	 2.222109E+04 	 2.222222E+04
1.65000e+01	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
1.70000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.75000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.80000e+01	9.99954e-02 	 0.1 	 9.99954E-01 	 2.22212E+04 	 2.222222E+04
1.85000e+01	9.99955e-02 	 0.1 	 9.99955E-01 	 2.222122E+04 	 2.222222E+04
1.90000e+01	9.99953e-02 	 0.1 	 9.99953E-01 	 2.222118E+04 	 2.222222E+04
1.95000e+01	9.99955e-02 	 0.1 	 9.99955E-01 	 2.222122E+04 	 2.222222E+04
2.00000e+01	9.99954e-02 	 0.1 	 9.99954E-01 	 2.22212E+04 	 2.222222E+04
2.00000e+01	9.99956e-02 	 0.1 	 9.99956E-01 	 2.222124E+04 	 2.222222E+04
1.95000e+01	9.99956e-02 	 0.1 	 9.99956E-01 	 2.222124E+04 	 2.222222E+04
1.90000e+01	9.99954e-02 	 0.1 	 9.99954E-01 	 2.22212E+04 	 2.222222E+04
1.85000e+01	9.99954e-02 	 0.1 	 9.99954E-01 	 2.22212E+04 	 2.222222E+04
1.80000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.75000e+01	9.99953e-02 	 0.1 	 9.99953E-01 	 2.222118E+04 	 2.222222E+04
1.70000e+01	9.99955e-02 	 0.1 	 9.99955E-01 	 2.222122E+04 	 2.222222E+04
1.65000e+01	9.99954e-02 	 0.1 	 9.99954E-01 	 2.22212E+04 	 2.222222E+04
1.60000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.55000e+01	9.99954e-02 	 0.1 	 9.99954E-01 	 2.22212E+04 	 2.222222E+04
1.50000e+01	9.99956e-02 	 0.1 	 9.99956E-01 	 2.222124E+04 	 2.222222E+04
1.45000e+01	9.99956e-02 	 0.1 	 9.99956E-01 	 2.222124E+04 	 2.222222E+04
1.40000e+01	9.99954e-02 	 0.1 	 9.99954E-01 	 2.22212E+04 	 2.222222E+04
1.35000e+01	9.99952e-02 	 0.1 	 9.99952E-01 	 2.222116E+04 	 2.222222E+04
1.30000e+01	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
1.25000e+01	9.99950e-02 	 0.1 	 9.9995E-01 	 2.222111E+04 	 2.222222E+04
1.20000e+01	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
1.15000e+01	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
1.10000e+01	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
1.05000e+01	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
1.00000e+01	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
9.50000e+00	9.99949e-02 	 0.1 	 9.99949E-01 	 2.222109E+04 	 2.222222E+04
9.00000e+00	9.99950e-02 	 0.1 	 9.9995E-01 	 2.222111E+04 	 2.222222E+04
8.50000e+00	9.99951e-02 	 0.1 	 9.99951E-01 	 2.222113E+04 	 2.222222E+04
8.00000e+00	9.45792e-02 	 0.1 	 9.45792E-01 	 2.10176E+04 	 2.222222E+04
7.50000e+00	8.86996e-02 	 0.1 	 8.86996E-01 	 1.971102E+04 	 2.222222E+04
7.00000e+00	8.28718e-02 	 0.1 	 8.28718E-01 	 1.841596E+04 	 2.222222E+04
6.50000e+00	7.70639e-02 	 0.1 	 7.70639E-01 	 1.712531E+04 	 2.222222E+04
6.00000e+00	7.12592e-02 	 0.1 	 7.12592E-01 	 1.583538E+04 	 2.222222E+04
5.50000e+00	6.54384e-02 	 0.1 	 6.54384E-01 	 1.454187E+04 	 2.222222E+04
5.00000e+00	5.95933e-02 	 0.1 	 5.95933E-01 	 1.324296E+04 	 2.222222E+04
4.50000e+00	5.37268e-02 	 0.1 	 5.37268E-01 	 1.193929E+04 	 2.222222E+04
4.00000e+00	4.78285e-02 	 0.1 	 4.78285E-01 	 1.062856E+04 	 2.222222E+04
3.50000e+00	4.19136e-02 	 0.1 	 4.19136E-01 	 9.314133E+03 	 2.222222E+04
3.00000e+00	3.59745e-02 	 0.1 	 3.59745E-01 	 7.994333E+03 	 2.222222E+04
2.50000e+00	3.00176e-02 	 0.1 	 3.00176E-01 	 6.670578E+03 	 2.222222E+04
2.00000e+00	2.40549e-02 	 0.1 	 2.40549E-01 	 5.345533E+03 	 2.222222E+04
1.50000e+00	1.80621e-02 	 0.1 	 1.80621E-01 	 4.0138E+03 	 2.222222E+04
1.00000e+00	1.20547e-02 	 0.1 	 1.20547E-01 	 2.678822E+03 	 2.222222E+04
5.00000e-01	6.03516e-03 	 0.1 	 6.03516E-02 	 1.341147E+03 	 2.222222E+04
0.00000e+00	4.00356e-06 	 0.1 	 4.00356E-05 	 8.8968E-01 	 2.222222E+04
>>END<<
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/Seria_RE5_PT5100_P4_oled_000.txt
