V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 3.75041e-07 0.1 3.75041E-06 8.334244E-02 2.222222E+04
5.00000e-01 4.70279e-03 0.1 4.70279E-02 1.045064E+03 2.222222E+04
1.00000e+00 9.40622e-03 0.1 9.40622E-02 2.090271E+03 2.222222E+04
1.50000e+00 1.41136e-02 0.1 1.41136E-01 3.136356E+03 2.222222E+04
2.00000e+00 1.88196e-02 0.1 1.88196E-01 4.182133E+03 2.222222E+04
2.50000e+00 2.35165e-02 0.1 2.35165E-01 5.225889E+03 2.222222E+04
3.00000e+00 2.82104e-02 0.1 2.82104E-01 6.268978E+03 2.222222E+04
3.50000e+00 3.28959e-02 0.1 3.28959E-01 7.3102E+03 2.222222E+04
4.00000e+00 3.75644e-02 0.1 3.75644E-01 8.347644E+03 2.222222E+04
4.50000e+00 4.22367e-02 0.1 4.22367E-01 9.385933E+03 2.222222E+04
5.00000e+00 4.68772e-02 0.1 4.68772E-01 1.041716E+04 2.222222E+04
5.50000e+00 5.14949e-02 0.1 5.14949E-01 1.144331E+04 2.222222E+04
6.00000e+00 5.60785e-02 0.1 5.60785E-01 1.246189E+04 2.222222E+04
6.50000e+00 6.06799e-02 0.1 6.06799E-01 1.348442E+04 2.222222E+04
7.00000e+00 6.51352e-02 0.1 6.51352E-01 1.447449E+04 2.222222E+04
7.50000e+00 6.97588e-02 0.1 6.97588E-01 1.550196E+04 2.222222E+04
8.00000e+00 7.44161e-02 0.1 7.44161E-01 1.653691E+04 2.222222E+04
8.50000e+00 7.90443e-02 0.1 7.90443E-01 1.75654E+04 2.222222E+04
9.00000e+00 8.38777e-02 0.1 8.38777E-01 1.863949E+04 2.222222E+04
9.50000e+00 8.80239e-02 0.1 8.80239E-01 1.956087E+04 2.222222E+04
1.00000e+01 9.17437e-02 0.1 9.17437E-01 2.038749E+04 2.222222E+04
1.05000e+01 9.39179e-02 9.1 1.032065E-02 2.087064E+04 2.022222E+06
1.10000e+01 9.99954e-02 0.1 9.99954E-01 2.22212E+04 2.222222E+04
1.15000e+01 9.99956e-02 0.1 9.99956E-01 2.222124E+04 2.222222E+04
1.20000e+01 9.99955e-02 0.1 9.99955E-01 2.222122E+04 2.222222E+04
1.25000e+01 9.99955e-02 0.1 9.99955E-01 2.222122E+04 2.222222E+04
1.30000e+01 9.99954e-02 0.1 9.99954E-01 2.22212E+04 2.222222E+04
1.35000e+01 9.99954e-02 0.1 9.99954E-01 2.22212E+04 2.222222E+04
1.40000e+01 9.99954e-02 0.1 9.99954E-01 2.22212E+04 2.222222E+04
1.45000e+01 9.99956e-02 0.1 9.99956E-01 2.222124E+04 2.222222E+04
1.50000e+01 9.99957e-02 0.1 9.99957E-01 2.222127E+04 2.222222E+04
1.55000e+01 9.99959e-02 0.1 9.99959E-01 2.222131E+04 2.222222E+04
1.60000e+01 9.99956e-02 0.1 9.99956E-01 2.222124E+04 2.222222E+04
1.65000e+01 9.99957e-02 0.1 9.99957E-01 2.222127E+04 2.222222E+04
1.70000e+01 9.99955e-02 0.1 9.99955E-01 2.222122E+04 2.222222E+04
1.75000e+01 9.99954e-02 0.1 9.99954E-01 2.22212E+04 2.222222E+04
1.80000e+01 9.99952e-02 0.1 9.99952E-01 2.222116E+04 2.222222E+04
1.85000e+01 9.99952e-02 0.1 9.99952E-01 2.222116E+04 2.222222E+04
1.90000e+01 9.99954e-02 0.1 9.99954E-01 2.22212E+04 2.222222E+04
1.95000e+01 9.99955e-02 0.1 9.99955E-01 2.222122E+04 2.222222E+04
2.00000e+01 9.99953e-02 0.1 9.99953E-01 2.222118E+04 2.222222E+04
2.00000e+01 9.99951e-02 0.1 9.99951E-01 2.222113E+04 2.222222E+04
1.95000e+01 9.99952e-02 0.1 9.99952E-01 2.222116E+04 2.222222E+04
1.90000e+01 9.99954e-02 0.1 9.99954E-01 2.22212E+04 2.222222E+04
1.85000e+01 9.99955e-02 0.1 9.99955E-01 2.222122E+04 2.222222E+04
1.80000e+01 9.99955e-02 0.1 9.99955E-01 2.222122E+04 2.222222E+04
1.75000e+01 9.99954e-02 0.1 9.99954E-01 2.22212E+04 2.222222E+04
1.70000e+01 9.99955e-02 0.1 9.99955E-01 2.222122E+04 2.222222E+04
1.65000e+01 9.99953e-02 0.1 9.99953E-01 2.222118E+04 2.222222E+04
1.60000e+01 9.99952e-02 0.1 9.99952E-01 2.222116E+04 2.222222E+04
1.55000e+01 9.99954e-02 0.1 9.99954E-01 2.22212E+04 2.222222E+04
1.50000e+01 9.99952e-02 0.1 9.99952E-01 2.222116E+04 2.222222E+04
1.45000e+01 9.99952e-02 0.1 9.99952E-01 2.222116E+04 2.222222E+04
1.40000e+01 9.99953e-02 0.1 9.99953E-01 2.222118E+04 2.222222E+04
1.35000e+01 9.99952e-02 0.1 9.99952E-01 2.222116E+04 2.222222E+04
1.30000e+01 9.99950e-02 0.1 9.9995E-01 2.222111E+04 2.222222E+04
1.25000e+01 9.99952e-02 0.1 9.99952E-01 2.222116E+04 2.222222E+04
1.20000e+01 9.99950e-02 0.1 9.9995E-01 2.222111E+04 2.222222E+04
1.15000e+01 9.99950e-02 0.1 9.9995E-01 2.222111E+04 2.222222E+04
1.10000e+01 9.99949e-02 0.1 9.99949E-01 2.222109E+04 2.222222E+04
1.05000e+01 9.99950e-02 0.1 9.9995E-01 2.222111E+04 2.222222E+04
1.00000e+01 9.62819e-02 0.1 9.62819E-01 2.139598E+04 2.222222E+04
9.50000e+00 9.16281e-02 0.1 9.16281E-01 2.03618E+04 2.222222E+04
9.00000e+00 8.69877e-02 0.1 8.69877E-01 1.93306E+04 2.222222E+04
8.50000e+00 8.23281e-02 0.1 8.23281E-01 1.829513E+04 2.222222E+04
8.00000e+00 7.76515e-02 0.1 7.76515E-01 1.725589E+04 2.222222E+04
7.50000e+00 7.29329e-02 0.1 7.29329E-01 1.620731E+04 2.222222E+04
7.00000e+00 6.82264e-02 0.1 6.82264E-01 1.516142E+04 2.222222E+04
6.50000e+00 6.35016e-02 0.1 6.35016E-01 1.411147E+04 2.222222E+04
6.00000e+00 5.87508e-02 0.1 5.87508E-01 1.305573E+04 2.222222E+04
5.50000e+00 5.39770e-02 0.1 5.3977E-01 1.199489E+04 2.222222E+04
5.00000e+00 4.91771e-02 0.1 4.91771E-01 1.092824E+04 2.222222E+04
4.50000e+00 4.43553e-02 0.1 4.43553E-01 9.856733E+03 2.222222E+04
4.00000e+00 3.95015e-02 0.1 3.95015E-01 8.778111E+03 2.222222E+04
3.50000e+00 3.46257e-02 0.1 3.46257E-01 7.6946E+03 2.222222E+04
3.00000e+00 2.97263e-02 0.1 2.97263E-01 6.605844E+03 2.222222E+04
2.50000e+00 2.48102e-02 0.1 2.48102E-01 5.513378E+03 2.222222E+04
2.00000e+00 1.98893e-02 0.1 1.98893E-01 4.419844E+03 2.222222E+04
1.50000e+00 1.49403e-02 0.1 1.49403E-01 3.320067E+03 2.222222E+04
1.00000e+00 9.97519e-03 0.1 9.97519E-02 2.216709E+03 2.222222E+04
5.00000e-01 4.99501e-03 0.1 4.99501E-02 1.110002E+03 2.222222E+04
0.00000e+00 2.31434e-06 0.1 2.31434E-05 5.142978E-01 2.222222E+04
     
