VGS(0) IDS(0) IGS(0) VDS(0) VGS(10) IDS(10) IGS(10) VDS(10)
0.00000e+00 -4.33287e-09 -4.29715e-09 1.00000e+00 1.00000e+01 1.15935e-02 1.15496e-02 -1.00000e+00
1.00000e+00 5.35803e-05 5.35194e-05 1.00000e+00 9.00000e+00 5.75979e-03 5.75827e-03 -1.00000e+00
2.00000e+00 1.50589e-04 1.50981e-04 1.00000e+00 8.00000e+00 2.37983e-03 2.39373e-03 -1.00000e+00
3.00000e+00 4.04042e-04 4.92038e-04 1.00000e+00 7.00000e+00 9.24203e-04 9.16490e-04 -1.00000e+00
4.00000e+00 5.46882e-04 6.10250e-04 1.00000e+00 6.00000e+00 3.48969e-04 3.44726e-04 -1.00000e+00
5.00000e+00 4.80160e-04 4.61768e-04 1.00000e+00 5.00000e+00 1.66103e-04 1.86616e-04 -1.00000e+00
6.00000e+00 7.82127e-04 7.63735e-04 1.00000e+00 4.00000e+00 1.43281e-04 1.50387e-04 -1.00000e+00
7.00000e+00 2.10014e-03 2.06419e-03 1.00000e+00 3.00000e+00 1.90498e-04 1.92011e-04 -1.00000e+00
8.00000e+00 4.77152e-03 4.66253e-03 1.00000e+00 2.00000e+00 9.50708e-05 9.54013e-05 -1.00000e+00
9.00000e+00 8.41413e-03 8.28979e-03 1.00000e+00 1.00000e+00 3.28049e-05 3.30791e-05 -1.00000e+00
1.00000e+01 1.29600e-02 1.28797e-02 1.00000e+00 0.00000e+00 -4.26765e-08 -3.90995e-08 -1.00000e+00
