VGS(0) IDS(0) IGS(0) VDS(0) VGS(10) IDS(10) IGS(10) VDS(10)
0.00000e+00 -2.19794e-07 -1.82712e-07 5.00000e-01 1.00000e+01 6.30575e-02 6.36665e-02 -5.00000e-01
5.00000e-01 1.37228e-03 1.37215e-03 5.00000e-01 9.50000e+00 5.88976e-02 5.73266e-02 -5.00000e-01
1.00000e+00 2.95019e-03 2.95615e-03 5.00000e-01 9.00000e+00 5.12941e-02 5.12082e-02 -5.00000e-01
1.50000e+00 4.74605e-03 4.65206e-03 5.00000e-01 8.50000e+00 4.67648e-02 4.65391e-02 -5.00000e-01
2.00000e+00 6.97882e-03 6.67359e-03 5.00000e-01 8.00000e+00 4.23777e-02 4.23491e-02 -5.00000e-01
2.50000e+00 8.77996e-03 8.78059e-03 5.00000e-01 7.50000e+00 3.67123e-02 3.67301e-02 -5.00000e-01
3.00000e+00 1.13632e-02 1.13565e-02 5.00000e-01 7.00000e+00 3.31528e-02 3.32486e-02 -5.00000e-01
3.50000e+00 1.42128e-02 1.44111e-02 5.00000e-01 6.50000e+00 3.02185e-02 3.02840e-02 -5.00000e-01
4.00000e+00 1.62856e-02 1.60960e-02 5.00000e-01 6.00000e+00 2.70087e-02 2.70025e-02 -5.00000e-01
4.50000e+00 1.93206e-02 1.87403e-02 5.00000e-01 5.50000e+00 2.20694e-02 2.21537e-02 -5.00000e-01
5.00000e+00 2.10642e-02 2.10077e-02 5.00000e-01 5.00000e+00 2.09637e-02 2.09676e-02 -5.00000e-01
5.50000e+00 2.41624e-02 2.42731e-02 5.00000e-01 4.50000e+00 1.81577e-02 1.81411e-02 -5.00000e-01
6.00000e+00 2.70661e-02 2.69339e-02 5.00000e-01 4.00000e+00 1.57546e-02 1.58586e-02 -5.00000e-01
6.50000e+00 2.93169e-02 2.92762e-02 5.00000e-01 3.50000e+00 1.34153e-02 1.34231e-02 -5.00000e-01
7.00000e+00 3.24972e-02 3.25625e-02 5.00000e-01 3.00000e+00 1.11110e-02 1.11318e-02 -5.00000e-01
7.50000e+00 3.63224e-02 3.63081e-02 5.00000e-01 2.50000e+00 8.87846e-03 8.87478e-03 -5.00000e-01
8.00000e+00 3.96595e-02 3.97017e-02 5.00000e-01 2.00000e+00 6.79576e-03 6.79272e-03 -5.00000e-01
8.50000e+00 4.45588e-02 4.45340e-02 5.00000e-01 1.50000e+00 4.86137e-03 4.86081e-03 -5.00000e-01
9.00000e+00 4.94013e-02 4.95067e-02 5.00000e-01 1.00000e+00 3.07444e-03 3.07133e-03 -5.00000e-01
9.50000e+00 5.55244e-02 5.54471e-02 5.00000e-01 5.00000e-01 1.44874e-03 1.44832e-03 -5.00000e-01
1.00000e+01 6.22795e-02 6.25094e-02 5.00000e-01 0.00000e+00 3.08724e-08 3.27477e-08 -5.00000e-01
