>>head<<VGS(0) IDS(0) IGS(0) VDS(0) 	 0.0
0.00000e+00	1.43305e-06	1.47382e-06	1.00000e+01 	 0.0
1.00000e+01	1.00998e-01	1.00992e-01	1.00000e+01 	 0.0
2.00000e+01	9.94680e-02	9.94714e-02	1.00000e+01 	 0.0
3.00000e+01	9.94660e-02	9.94716e-02	1.00000e+01 	 0.0
4.00000e+01	9.94722e-02	9.94836e-02	1.00000e+01 	 0.0
5.00000e+01	9.94778e-02	9.94689e-02	1.00000e+01 	 0.0
>>head<<VGS(50) IDS(50) IGS(50) VDS(50) 	 0.0
5.00000e+01	9.94762e-02	9.94840e-02	-1.00000e+01 	 0.0
4.00000e+01	9.94527e-02	9.94703e-02	-1.00000e+01 	 0.0
3.00000e+01	9.94797e-02	9.94595e-02	-1.00000e+01 	 0.0
2.00000e+01	9.94728e-02	9.94588e-02	-1.00000e+01 	 0.0
1.00000e+01	9.94655e-02	9.94745e-02	-1.00000e+01 	 0.0
0.00000e+00	1.55280e-06	1.87229e-06	-1.00000e+01 	 0.0
>>END<< 	 0.0
