VGS(0) IDS(0) IGS(0) VDS(0) VGS(15) IDS(15) IGS(15) VDS(15)
0.00000e+00 3.16448e-11 3.15131e-11 5.00000e-01 1.50000e+01 9.94241e-02 9.94067e-02 -5.00000e-01
5.00000e-01 1.14386e-07 1.14293e-07 5.00000e-01 1.45000e+01 9.94229e-02 9.94270e-02 -5.00000e-01
1.00000e+00 4.00316e-07 3.37836e-07 5.00000e-01 1.40000e+01 9.94465e-02 9.94291e-02 -5.00000e-01
1.50000e+00 8.68943e-07 8.13830e-07 5.00000e-01 1.35000e+01 9.94165e-02 9.94242e-02 -5.00000e-01
2.00000e+00 1.98254e-06 1.98255e-06 5.00000e-01 1.30000e+01 9.94172e-02 9.94145e-02 -5.00000e-01
2.50000e+00 4.37667e-06 4.35826e-06 5.00000e-01 1.25000e+01 9.94111e-02 9.93966e-02 -5.00000e-01
3.00000e+00 9.05726e-06 9.06295e-06 5.00000e-01 1.20000e+01 9.74638e-02 9.74917e-02 -5.00000e-01
3.50000e+00 1.80269e-05 1.81345e-05 5.00000e-01 1.15000e+01 9.40110e-02 9.39650e-02 -5.00000e-01
4.00000e+00 3.60104e-05 3.63811e-05 5.00000e-01 1.10000e+01 9.01986e-02 9.02390e-02 -5.00000e-01
4.50000e+00 7.71878e-05 7.83716e-05 5.00000e-01 1.05000e+01 8.60836e-02 8.60987e-02 -5.00000e-01
5.00000e+00 1.87299e-04 1.87608e-04 5.00000e-01 1.00000e+01 8.18640e-02 8.18713e-02 -5.00000e-01
5.50000e+00 4.51537e-04 4.54466e-04 5.00000e-01 9.50000e+00 7.76713e-02 7.76806e-02 -5.00000e-01
6.00000e+00 1.02148e-03 1.01966e-03 5.00000e-01 9.00000e+00 7.35886e-02 7.36075e-02 -5.00000e-01
6.50000e+00 2.00721e-03 2.00757e-03 5.00000e-01 8.50000e+00 6.95015e-02 6.95162e-02 -5.00000e-01
7.00000e+00 3.49601e-03 3.49848e-03 5.00000e-01 8.00000e+00 6.54120e-02 6.54211e-02 -5.00000e-01
7.50000e+00 5.52834e-03 5.53919e-03 5.00000e-01 7.50000e+00 6.13852e-02 6.13949e-02 -5.00000e-01
8.00000e+00 8.09131e-03 8.11115e-03 5.00000e-01 7.00000e+00 5.72998e-02 5.73073e-02 -5.00000e-01
8.50000e+00 1.11075e-02 1.11169e-02 5.00000e-01 6.50000e+00 5.32351e-02 5.32424e-02 -5.00000e-01
9.00000e+00 1.43619e-02 1.43895e-02 5.00000e-01 6.00000e+00 4.91419e-02 4.91488e-02 -5.00000e-01
9.50000e+00 1.78870e-02 1.79179e-02 5.00000e-01 5.50000e+00 4.50539e-02 4.50579e-02 -5.00000e-01
1.00000e+01 2.16614e-02 2.17173e-02 5.00000e-01 5.00000e+00 4.09654e-02 4.09696e-02 -5.00000e-01
1.05000e+01 2.55976e-02 2.56351e-02 5.00000e-01 4.50000e+00 3.68678e-02 3.68709e-02 -5.00000e-01
1.10000e+01 2.97911e-02 2.98320e-02 5.00000e-01 4.00000e+00 3.20279e-02 3.21413e-02 -5.00000e-01
1.15000e+01 2.85046e-02 2.84313e-02 5.00000e-01 3.50000e+00 2.80764e-02 2.80779e-02 -5.00000e-01
1.20000e+01 2.12932e-02 2.10707e-02 5.00000e-01 3.00000e+00 2.40531e-02 2.40545e-02 -5.00000e-01
1.25000e+01 1.98437e-02 1.98071e-02 5.00000e-01 2.50000e+00 2.00343e-02 2.00353e-02 -5.00000e-01
1.30000e+01 2.24564e-02 2.25532e-02 5.00000e-01 2.00000e+00 1.60059e-02 1.60058e-02 -5.00000e-01
1.35000e+01 9.94486e-02 9.94388e-02 5.00000e-01 1.50000e+00 1.19956e-02 1.19960e-02 -5.00000e-01
1.40000e+01 9.94258e-02 9.93882e-02 5.00000e-01 1.00000e+00 7.99085e-03 7.99122e-03 -5.00000e-01
1.45000e+01 9.94166e-02 9.94143e-02 5.00000e-01 5.00000e-01 3.99797e-03 3.99825e-03 -5.00000e-01
1.50000e+01 9.94035e-02 9.94153e-02 5.00000e-01 0.00000e+00 3.75598e-06 3.90862e-06 -5.00000e-01
