VGS(0) IDS(0) IGS(0) VDS(0) VGS(10) IDS(10) IGS(10) VDS(10)
0.00000e+00 -1.98724e-11 -1.98955e-11 1.00000e+00 1.00000e+01 1.56153e-03 1.55662e-03 -1.00000e+00
1.00000e+00 1.40718e-07 1.41168e-07 1.00000e+00 9.00000e+00 4.34917e-04 4.26669e-04 -1.00000e+00
2.00000e+00 3.90492e-07 2.85496e-07 1.00000e+00 8.00000e+00 1.00360e-04 9.55807e-05 -1.00000e+00
3.00000e+00 5.36951e-07 4.42001e-07 1.00000e+00 7.00000e+00 2.32499e-05 2.17867e-05 -1.00000e+00
4.00000e+00 9.40983e-07 7.58919e-07 1.00000e+00 6.00000e+00 5.58184e-06 5.48838e-06 -1.00000e+00
5.00000e+00 2.06857e-06 2.08290e-06 1.00000e+00 5.00000e+00 1.50923e-06 1.60682e-06 -1.00000e+00
6.00000e+00 8.42432e-06 8.83674e-06 1.00000e+00 4.00000e+00 6.43373e-07 6.55669e-07 -1.00000e+00
7.00000e+00 4.22039e-05 4.29135e-05 1.00000e+00 3.00000e+00 2.30532e-07 4.08994e-07 -1.00000e+00
8.00000e+00 1.79915e-04 1.81111e-04 1.00000e+00 2.00000e+00 1.90473e-07 2.75617e-07 -1.00000e+00
9.00000e+00 6.18863e-04 6.36878e-04 1.00000e+00 1.00000e+00 1.38993e-07 1.39603e-07 -1.00000e+00
1.00000e+01 1.88678e-03 1.90976e-03 1.00000e+00 0.00000e+00 -1.25015e-09 -1.16087e-09 -1.00000e+00
