V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 -1.17904e-11 0 -0E+00 -2.620089E-06 0E+00
2.50000e-01 4.89280e-09 0 0E+00 1.087289E-03 0E+00
5.00000e-01 1.34351e-08 0 0E+00 2.985578E-03 0E+00
7.50000e-01 3.13360e-08 0 0E+00 6.963556E-03 0E+00
1.00000e+00 5.01025e-08 0 0E+00 1.113389E-02 0E+00
1.25000e+00 7.67576e-08 0 0E+00 1.705724E-02 0E+00
1.50000e+00 1.12920e-07 0 0E+00 2.509333E-02 0E+00
1.75000e+00 1.72951e-07 0 0E+00 3.843356E-02 0E+00
2.00000e+00 2.54091e-07 0 0E+00 5.646467E-02 0E+00
2.25000e+00 3.62496e-07 0 0E+00 8.055467E-02 0E+00
2.50000e+00 5.06943e-07 0 0E+00 1.12654E-01 0E+00
2.75000e+00 6.99404e-07 0 0E+00 1.554231E-01 0E+00
3.00000e+00 9.47405e-07 0 0E+00 2.105344E-01 0E+00
3.25000e+00 1.25722e-06 0 0E+00 2.793822E-01 0E+00
3.50000e+00 1.67891e-06 0 0E+00 3.730911E-01 0E+00
3.75000e+00 2.19415e-06 0 0E+00 4.875889E-01 0E+00
4.00000e+00 2.84678e-06 0 0E+00 6.326178E-01 0E+00
4.25000e+00 3.67404e-06 0 0E+00 8.164533E-01 0E+00
4.50000e+00 4.79312e-06 0 0E+00 1.065138E+00 0E+00
4.75000e+00 6.37817e-06 0 0E+00 1.417371E+00 0E+00
5.00000e+00 8.72452e-06 0 0E+00 1.938782E+00 0E+00
5.25000e+00 1.31540e-05 0 0E+00 2.923111E+00 0E+00
5.50000e+00 2.05570e-05 0 0E+00 4.568222E+00 0E+00
5.75000e+00 3.41141e-05 0 0E+00 7.580911E+00 0E+00
6.00000e+00 5.79590e-05 0 0E+00 1.287978E+01 0E+00
6.25000e+00 9.77862e-05 0 0E+00 2.173027E+01 0E+00
6.50000e+00 1.62750e-04 0 0E+00 3.616667E+01 0E+00
6.75000e+00 2.58623e-04 0 0E+00 5.747178E+01 0E+00
7.00000e+00 4.02041e-04 0 0E+00 8.934244E+01 0E+00
7.25000e+00 6.06152e-04 0 0E+00 1.347004E+02 0E+00
7.50000e+00 8.84560e-04 0 0E+00 1.965689E+02 0E+00
7.75000e+00 1.25628e-03 0 0E+00 2.791733E+02 0E+00
8.00000e+00 1.72938e-03 0 0E+00 3.843067E+02 0E+00
8.25000e+00 2.32054e-03 0 0E+00 5.156756E+02 0E+00
8.50000e+00 3.03734e-03 0 0E+00 6.749644E+02 0E+00
8.75000e+00 3.88502e-03 0 0E+00 8.633378E+02 0E+00
9.00000e+00 4.86579e-03 0 0E+00 1.081287E+03 0E+00
9.25000e+00 5.98182e-03 0 0E+00 1.329293E+03 0E+00
9.50000e+00 7.23044e-03 0 0E+00 1.606764E+03 0E+00
9.75000e+00 8.60675e-03 0 0E+00 1.912611E+03 0E+00
1.00000e+01 1.01341e-02 0 0E+00 2.252022E+03 0E+00
