>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-1.70457e-13 	 0 	 -0E+00 	 -3.787933E-08	0E+00
1.00000e+00	1.13875e-09 	 0 	 0E+00 	 2.530556E-04	0E+00
2.00000e+00	2.79880e-09 	 0 	 0E+00 	 6.219556E-04	0E+00
3.00000e+00	4.79623e-09 	 0 	 0E+00 	 1.065829E-03	0E+00
4.00000e+00	7.21010e-09 	 0 	 0E+00 	 1.602244E-03	0E+00
5.00000e+00	9.92318e-09 	 0 	 0E+00 	 2.205151E-03	0E+00
6.00000e+00	1.29668e-08 	 0 	 0E+00 	 2.881511E-03	0E+00
7.00000e+00	1.79886e-08 	 0 	 0E+00 	 3.997467E-03	0E+00
8.00000e+00	2.16810e-08 	 0 	 0E+00 	 4.818E-03	0E+00
9.00000e+00	2.56738e-08 	 0 	 0E+00 	 5.705289E-03	0E+00
1.00000e+01	3.02370e-08 	 0 	 0E+00 	 6.719333E-03	0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_017.txt
