>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
2.50000e-01	2.59615e-08 	 0 	 0E+00 	 5.769222E-03 	 0E+00
5.00000e-01	5.82131e-08 	 0 	 0E+00 	 1.293624E-02 	 0E+00
7.50000e-01	9.39206e-08 	 0 	 0E+00 	 2.087124E-02 	 0E+00
1.00000e+00	1.09978e-07 	 0 	 0E+00 	 2.443956E-02 	 0E+00
1.25000e+00	1.52577e-07 	 0 	 0E+00 	 3.3906E-02 	 0E+00
1.50000e+00	1.97029e-07 	 0 	 0E+00 	 4.378422E-02 	 0E+00
1.75000e+00	2.54652e-07 	 0 	 0E+00 	 5.658933E-02 	 0E+00
2.00000e+00	3.33174e-07 	 0 	 0E+00 	 7.403867E-02 	 0E+00
2.25000e+00	3.96601e-07 	 0 	 0E+00 	 8.813356E-02 	 0E+00
2.50000e+00	4.69018e-07 	 0 	 0E+00 	 1.042262E-01 	 0E+00
2.75000e+00	5.24544e-07 	 0 	 0E+00 	 1.165653E-01 	 0E+00
3.00000e+00	5.71369e-07 	 0 	 0E+00 	 1.269709E-01 	 0E+00
3.25000e+00	7.93512e-07 	 0 	 0E+00 	 1.76336E-01 	 0E+00
3.50000e+00	9.36025e-07 	 0 	 0E+00 	 2.080056E-01 	 0E+00
3.75000e+00	8.54763e-07 	 0 	 0E+00 	 1.899473E-01 	 0E+00
4.00000e+00	1.10959e-06 	 0 	 0E+00 	 2.465756E-01 	 0E+00
4.25000e+00	1.27064e-06 	 0 	 0E+00 	 2.823644E-01 	 0E+00
4.50000e+00	1.55482e-06 	 0 	 0E+00 	 3.455156E-01 	 0E+00
4.75000e+00	1.65491e-06 	 0 	 0E+00 	 3.677578E-01 	 0E+00
5.00000e+00	1.91761e-06 	 0 	 0E+00 	 4.261356E-01 	 0E+00
5.25000e+00	2.08013e-06 	 0 	 0E+00 	 4.622511E-01 	 0E+00
5.50000e+00	2.35377e-06 	 0 	 0E+00 	 5.2306E-01 	 0E+00
5.75000e+00	2.43617e-06 	 0 	 0E+00 	 5.413711E-01 	 0E+00
6.00000e+00	2.80101e-06 	 0 	 0E+00 	 6.224467E-01 	 0E+00
6.25000e+00	2.95284e-06 	 0 	 0E+00 	 6.561867E-01 	 0E+00
6.50000e+00	3.11039e-06 	 0 	 0E+00 	 6.911978E-01 	 0E+00
6.75000e+00	3.62762e-06 	 0 	 0E+00 	 8.061378E-01 	 0E+00
7.00000e+00	3.73959e-06 	 0 	 0E+00 	 8.3102E-01 	 0E+00
7.25000e+00	3.97863e-06 	 0 	 0E+00 	 8.8414E-01 	 0E+00
7.50000e+00	4.25253e-06 	 0 	 0E+00 	 9.450067E-01 	 0E+00
7.75000e+00	4.63593e-06 	 0 	 0E+00 	 1.030207E+00 	 0E+00
8.00000e+00	4.89008e-06 	 0 	 0E+00 	 1.086684E+00 	 0E+00
8.25000e+00	5.18908e-06 	 0 	 0E+00 	 1.153129E+00 	 0E+00
8.50000e+00	5.52691e-06 	 0 	 0E+00 	 1.228202E+00 	 0E+00
8.75000e+00	5.91364e-06 	 0 	 0E+00 	 1.314142E+00 	 0E+00
9.00000e+00	6.35263e-06 	 0 	 0E+00 	 1.411696E+00 	 0E+00
9.25000e+00	6.84623e-06 	 0 	 0E+00 	 1.521384E+00 	 0E+00
9.50000e+00	7.34882e-06 	 0 	 0E+00 	 1.633071E+00 	 0E+00
9.75000e+00	8.01939e-06 	 0 	 0E+00 	 1.782087E+00 	 0E+00
1.00000e+01	8.62433e-06 	 0 	 0E+00 	 1.916518E+00 	 0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_079.txt
