V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
2.00000e+00 5.02350e-07 0.1 5.0235E-06 1.116333E-01 2.222222E+04
2.00000e+00 5.02558e-07 0.1 5.02558E-06 1.116796E-01 2.222222E+04
2.00000e+00 5.00493e-07 0.1 5.00493E-06 1.112207E-01 2.222222E+04
2.00000e+00 4.97344e-07 0.1 4.97344E-06 1.105209E-01 2.222222E+04
2.00000e+00 4.97557e-07 0.1 4.97557E-06 1.105682E-01 2.222222E+04
2.00000e+00 4.99169e-07 0.1 4.99169E-06 1.109264E-01 2.222222E+04
2.00000e+00 4.97923e-07 0.1 4.97923E-06 1.106496E-01 2.222222E+04
2.00000e+00 4.97556e-07 0.1 4.97556E-06 1.10568E-01 2.222222E+04
2.00000e+00 4.95416e-07 0.1 4.95416E-06 1.100924E-01 2.222222E+04
2.00000e+00 4.96856e-07 0.1 4.96856E-06 1.104124E-01 2.222222E+04
2.00000e+00 4.98983e-07 0.1 4.98983E-06 1.108851E-01 2.222222E+04
2.00000e+00 4.96219e-07 0.1 4.96219E-06 1.102709E-01 2.222222E+04
2.00000e+00 4.95490e-07 0.1 4.9549E-06 1.101089E-01 2.222222E+04
2.00000e+00 4.95838e-07 0.1 4.95838E-06 1.101862E-01 2.222222E+04
2.00000e+00 4.93181e-07 0.1 4.93181E-06 1.095958E-01 2.222222E+04
2.00000e+00 4.93571e-07 0.1 4.93571E-06 1.096824E-01 2.222222E+04
2.00000e+00 4.93372e-07 0.1 4.93372E-06 1.096382E-01 2.222222E+04
2.00000e+00 4.92745e-07 0.1 4.92745E-06 1.094989E-01 2.222222E+04
2.00000e+00 4.93759e-07 0.1 4.93759E-06 1.097242E-01 2.222222E+04
2.00000e+00 4.92971e-07 0.1 4.92971E-06 1.095491E-01 2.222222E+04
2.00000e+00 4.93285e-07 0.1 4.93285E-06 1.096189E-01 2.222222E+04
2.00000e+00 4.93360e-07 0.1 4.9336E-06 1.096356E-01 2.222222E+04
2.00000e+00 4.92645e-07 0.1 4.92645E-06 1.094767E-01 2.222222E+04
2.00000e+00 4.92244e-07 0.1 4.92244E-06 1.093876E-01 2.222222E+04
2.00000e+00 4.92521e-07 0.1 4.92521E-06 1.094491E-01 2.222222E+04
2.00000e+00 4.93151e-07 0.1 4.93151E-06 1.095891E-01 2.222222E+04
2.00000e+00 4.91318e-07 0.1 4.91318E-06 1.091818E-01 2.222222E+04
2.00000e+00 4.92517e-07 0.1 4.92517E-06 1.094482E-01 2.222222E+04
2.00000e+00 4.92054e-07 0.1 4.92054E-06 1.093453E-01 2.222222E+04
2.00000e+00 4.91893e-07 0.1 4.91893E-06 1.093096E-01 2.222222E+04
2.00000e+00 4.92740e-07 0.1 4.9274E-06 1.094978E-01 2.222222E+04
2.00000e+00 4.93145e-07 0.1 4.93145E-06 1.095878E-01 2.222222E+04
2.00000e+00 4.90801e-07 0.1 4.90801E-06 1.090669E-01 2.222222E+04
2.00000e+00 4.92268e-07 0.1 4.92268E-06 1.093929E-01 2.222222E+04
2.00000e+00 4.90727e-07 0.1 4.90727E-06 1.090504E-01 2.222222E+04
2.00000e+00 4.90853e-07 0.1 4.90853E-06 1.090784E-01 2.222222E+04
2.00000e+00 4.92093e-07 0.1 4.92093E-06 1.09354E-01 2.222222E+04
2.00000e+00 4.91810e-07 0.1 4.9181E-06 1.092911E-01 2.222222E+04
2.00000e+00 4.92401e-07 0.1 4.92401E-06 1.094224E-01 2.222222E+04
2.00000e+00 4.91347e-07 0.1 4.91347E-06 1.091882E-01 2.222222E+04
2.00000e+00 4.90772e-07 0.1 4.90772E-06 1.090604E-01 2.222222E+04
2.00000e+00 4.89299e-07 0.1 4.89299E-06 1.087331E-01 2.222222E+04
2.00000e+00 4.90539e-07 0.1 4.90539E-06 1.090087E-01 2.222222E+04
2.00000e+00 4.89906e-07 0.1 4.89906E-06 1.08868E-01 2.222222E+04
2.00000e+00 4.88904e-07 0.1 4.88904E-06 1.086453E-01 2.222222E+04
2.00000e+00 4.90693e-07 0.1 4.90693E-06 1.090429E-01 2.222222E+04
2.00000e+00 4.89879e-07 0.1 4.89879E-06 1.08862E-01 2.222222E+04
2.00000e+00 4.89015e-07 0.1 4.89015E-06 1.0867E-01 2.222222E+04
2.00000e+00 4.90661e-07 0.1 4.90661E-06 1.090358E-01 2.222222E+04
2.00000e+00 4.88020e-07 0.1 4.8802E-06 1.084489E-01 2.222222E+04
2.00000e+00 4.89025e-07 0.1 4.89025E-06 1.086722E-01 2.222222E+04
2.00000e+00 4.90842e-07 0.1 4.90842E-06 1.09076E-01 2.222222E+04
2.00000e+00 4.89793e-07 0.1 4.89793E-06 1.088429E-01 2.222222E+04
2.00000e+00 4.90281e-07 0.1 4.90281E-06 1.089513E-01 2.222222E+04
2.00000e+00 4.90361e-07 0.1 4.90361E-06 1.089691E-01 2.222222E+04
2.00000e+00 4.89259e-07 0.1 4.89259E-06 1.087242E-01 2.222222E+04
2.00000e+00 4.88807e-07 0.1 4.88807E-06 1.086238E-01 2.222222E+04
2.00000e+00 4.87534e-07 0.1 4.87534E-06 1.083409E-01 2.222222E+04
2.00000e+00 4.87414e-07 0.1 4.87414E-06 1.083142E-01 2.222222E+04
2.00000e+00 4.88891e-07 0.1 4.88891E-06 1.086424E-01 2.222222E+04
2.00000e+00 4.89586e-07 0.1 4.89586E-06 1.087969E-01 2.222222E+04
2.00000e+00 4.89786e-07 0.1 4.89786E-06 1.088413E-01 2.222222E+04
2.00000e+00 4.85932e-07 0.1 4.85932E-06 1.079849E-01 2.222222E+04
2.00000e+00 4.85987e-07 0.1 4.85987E-06 1.079971E-01 2.222222E+04
