>>head<<dt(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
4.40000e-05	-4.02729e-11 	 0 	 -0E+00 	 -8.949533E-06	0E+00
1.27058e+00	1.75280e-11 	 0 	 0E+00 	 3.895111E-06	0E+00
2.54109e+00	-5.58183e-11 	 0 	 -0E+00 	 -1.240407E-05	0E+00
5.23171e+00	-9.33330e-11 	 0 	 -0E+00 	 -2.074067E-05	0E+00
7.92232e+00	-1.98867e-11 	 0 	 -0E+00 	 -4.419267E-06	0E+00
9.19282e+00	-6.10416e-11 	 0 	 -0E+00 	 -1.35648E-05	0E+00
1.18834e+01	-6.23665e-11 	 0 	 -0E+00 	 -1.385922E-05	0E+00
1.45740e+01	-2.45425e-11 	 0 	 -0E+00 	 -5.453889E-06	0E+00
1.58848e+01	-6.83335e-11 	 0 	 -0E+00 	 -1.518522E-05	0E+00
1.71553e+01	-9.68467e-11 	 0 	 -0E+00 	 -2.152149E-05	0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_ltp_010.txt
