dt(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
4.50000e-05 1.94564e-05 0 0E+00 4.323644E+00 0E+00
7.06250e-02 1.94060e-05 0 0E+00 4.312444E+00 0E+00
1.41163e-01 1.93469e-05 0 0E+00 4.299311E+00 0E+00
2.11692e-01 1.93052e-05 0 0E+00 4.290044E+00 0E+00
2.82212e-01 1.92692e-05 0 0E+00 4.282044E+00 0E+00
3.52728e-01 1.92312e-05 0 0E+00 4.2736E+00 0E+00
4.23235e-01 1.91990e-05 0 0E+00 4.266444E+00 0E+00
4.93745e-01 1.91661e-05 0 0E+00 4.259133E+00 0E+00
5.64257e-01 1.91372e-05 0 0E+00 4.252711E+00 0E+00
6.34754e-01 1.91085e-05 0 0E+00 4.246333E+00 0E+00
7.05250e-01 1.90821e-05 0 0E+00 4.240467E+00 0E+00
7.75758e-01 1.90565e-05 0 0E+00 4.234778E+00 0E+00
8.46251e-01 1.90290e-05 0 0E+00 4.228667E+00 0E+00
9.16754e-01 1.90036e-05 0 0E+00 4.223022E+00 0E+00
9.87257e-01 1.89806e-05 0 0E+00 4.217911E+00 0E+00
1.05777e+00 1.89556e-05 0 0E+00 4.212356E+00 0E+00
1.12826e+00 1.89311e-05 0 0E+00 4.206911E+00 0E+00
1.19877e+00 1.89109e-05 0 0E+00 4.202422E+00 0E+00
1.26926e+00 1.88880e-05 0 0E+00 4.197333E+00 0E+00
1.33976e+00 1.88657e-05 0 0E+00 4.192378E+00 0E+00
1.41027e+00 1.88437e-05 0 0E+00 4.187489E+00 0E+00
1.48077e+00 1.88218e-05 0 0E+00 4.182622E+00 0E+00
1.55128e+00 1.87986e-05 0 0E+00 4.177467E+00 0E+00
1.62179e+00 1.87777e-05 0 0E+00 4.172822E+00 0E+00
1.69230e+00 1.87589e-05 0 0E+00 4.168644E+00 0E+00
1.76281e+00 1.87381e-05 0 0E+00 4.164022E+00 0E+00
1.83332e+00 1.87165e-05 0 0E+00 4.159222E+00 0E+00
1.90387e+00 1.86972e-05 0 0E+00 4.154933E+00 0E+00
1.97450e+00 1.86778e-05 0 0E+00 4.150622E+00 0E+00
2.04513e+00 1.86605e-05 0 0E+00 4.146778E+00 0E+00
2.11571e+00 1.86437e-05 0 0E+00 4.143044E+00 0E+00
2.18633e+00 1.86274e-05 0 0E+00 4.139422E+00 0E+00
2.25695e+00 1.86104e-05 0 0E+00 4.135644E+00 0E+00
2.32757e+00 1.85922e-05 0 0E+00 4.1316E+00 0E+00
2.39817e+00 1.85738e-05 0 0E+00 4.127511E+00 0E+00
2.46877e+00 1.85592e-05 0 0E+00 4.124267E+00 0E+00
2.53937e+00 1.85386e-05 0 0E+00 4.119689E+00 0E+00
2.60997e+00 1.85243e-05 0 0E+00 4.116511E+00 0E+00
2.68058e+00 1.85064e-05 0 0E+00 4.112533E+00 0E+00
2.75118e+00 1.84939e-05 0 0E+00 4.109756E+00 0E+00
2.82176e+00 1.84756e-05 0 0E+00 4.105689E+00 0E+00
2.89236e+00 1.83112e-05 0 0E+00 4.069156E+00 0E+00
2.96298e+00 1.77792e-05 0 0E+00 3.950933E+00 0E+00
3.03359e+00 1.78937e-05 0 0E+00 3.976378E+00 0E+00
3.10417e+00 1.83777e-05 0 0E+00 4.083933E+00 0E+00
3.17477e+00 1.83732e-05 0 0E+00 4.082933E+00 0E+00
3.24539e+00 1.83664e-05 0 0E+00 4.081422E+00 0E+00
3.31599e+00 1.83561e-05 0 0E+00 4.079133E+00 0E+00
3.38660e+00 1.83403e-05 0 0E+00 4.075622E+00 0E+00
3.45721e+00 1.83250e-05 0 0E+00 4.072222E+00 0E+00
3.52784e+00 1.83110e-05 0 0E+00 4.069111E+00 0E+00
3.59843e+00 1.82973e-05 0 0E+00 4.066067E+00 0E+00
3.66905e+00 1.82818e-05 0 0E+00 4.062622E+00 0E+00
3.73960e+00 1.82672e-05 0 0E+00 4.059378E+00 0E+00
3.81026e+00 1.82543e-05 0 0E+00 4.056511E+00 0E+00
3.88087e+00 1.82451e-05 0 0E+00 4.054467E+00 0E+00
3.95145e+00 1.82318e-05 0 0E+00 4.051511E+00 0E+00
4.02209e+00 1.82211e-05 0 0E+00 4.049133E+00 0E+00
4.09270e+00 1.82024e-05 0 0E+00 4.044978E+00 0E+00
4.16331e+00 1.81879e-05 0 0E+00 4.041756E+00 0E+00
4.23393e+00 1.81751e-05 0 0E+00 4.038911E+00 0E+00
4.30453e+00 1.81625e-05 0 0E+00 4.036111E+00 0E+00
4.37513e+00 1.81465e-05 0 0E+00 4.032556E+00 0E+00
4.44571e+00 1.81339e-05 0 0E+00 4.029756E+00 0E+00
4.51633e+00 1.81224e-05 0 0E+00 4.0272E+00 0E+00
4.58692e+00 1.81081e-05 0 0E+00 4.024022E+00 0E+00
4.65754e+00 1.80962e-05 0 0E+00 4.021378E+00 0E+00
4.72814e+00 1.80843e-05 0 0E+00 4.018733E+00 0E+00
4.79873e+00 1.80727e-05 0 0E+00 4.016156E+00 0E+00
4.86934e+00 1.80599e-05 0 0E+00 4.013311E+00 0E+00
4.93993e+00 1.80479e-05 0 0E+00 4.010644E+00 0E+00
5.01054e+00 1.80362e-05 0 0E+00 4.008044E+00 0E+00
5.08118e+00 1.80225e-05 0 0E+00 4.005E+00 0E+00
5.15179e+00 1.80112e-05 0 0E+00 4.002489E+00 0E+00
5.22239e+00 1.80001e-05 0 0E+00 4.000022E+00 0E+00
5.29302e+00 1.79900e-05 0 0E+00 3.997778E+00 0E+00
5.36360e+00 1.79791e-05 0 0E+00 3.995356E+00 0E+00
5.43422e+00 1.79679e-05 0 0E+00 3.992867E+00 0E+00
5.50484e+00 1.79564e-05 0 0E+00 3.990311E+00 0E+00
5.57546e+00 1.79475e-05 0 0E+00 3.988333E+00 0E+00
5.64607e+00 1.79360e-05 0 0E+00 3.985778E+00 0E+00
5.71666e+00 1.79242e-05 0 0E+00 3.983156E+00 0E+00
5.78728e+00 1.79132e-05 0 0E+00 3.980711E+00 0E+00
5.85787e+00 1.79029e-05 0 0E+00 3.978422E+00 0E+00
5.92849e+00 1.78931e-05 0 0E+00 3.976244E+00 0E+00
5.99909e+00 1.78819e-05 0 0E+00 3.973756E+00 0E+00
6.06971e+00 1.78718e-05 0 0E+00 3.971511E+00 0E+00
