dt(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-2 %lux/m^-2
4.50000e-05 5.57904e-03 0 0E+00 1.239787E+03 0E+00 100.0
7.04760e-02 5.56097e-03 0 0E+00 1.235771E+03 0E+00 99.67610915139522
1.40839e-01 5.54609e-03 0 0E+00 1.232464E+03 0E+00 99.40939659869798
2.11187e-01 5.53575e-03 0 0E+00 1.230167E+03 0E+00 99.22406005334251
2.81547e-01 5.52741e-03 0 0E+00 1.228313E+03 0E+00 99.07457196937108
3.51894e-01 5.51999e-03 0 0E+00 1.226664E+03 0E+00 98.9415741776363
4.22251e-01 5.51429e-03 0 0E+00 1.225398E+03 0E+00 98.83940606269178
4.92601e-01 5.50925e-03 0 0E+00 1.224278E+03 0E+00 98.74906794000401
5.62951e-01 5.50410e-03 0 0E+00 1.223133E+03 0E+00 98.65675815194011
6.33285e-01 5.49915e-03 0 0E+00 1.222033E+03 0E+00 98.56803321001463
7.03632e-01 5.49488e-03 0 0E+00 1.221084E+03 0E+00 98.49149674495969
7.73961e-01 5.49211e-03 0 0E+00 1.220469E+03 0E+00 98.4418466259428
8.44298e-01 5.48927e-03 0 0E+00 1.219838E+03 0E+00 98.39094181077749
9.14651e-01 5.48669e-03 0 0E+00 1.219264E+03 0E+00 98.34469729559206
9.84981e-01 5.48435e-03 0 0E+00 1.218744E+03 0E+00 98.30275459577274
1.05534e+00 5.48181e-03 0 0E+00 1.21818E+03 0E+00 98.25722704981501
1.12566e+00 5.47854e-03 0 0E+00 1.217453E+03 0E+00 98.1986148154521
1.19601e+00 5.47611e-03 0 0E+00 1.216913E+03 0E+00 98.15505893487052
1.26636e+00 5.47452e-03 0 0E+00 1.21656E+03 0E+00 98.12655940807021
1.33669e+00 5.47206e-03 0 0E+00 1.216013E+03 0E+00 98.08246580056783
1.40703e+00 5.46999e-03 0 0E+00 1.215553E+03 0E+00 98.04536264303536
1.47736e+00 5.46909e-03 0 0E+00 1.215353E+03 0E+00 98.02923083541253
1.54769e+00 5.46664e-03 0 0E+00 1.214809E+03 0E+00 97.9853164702171
1.61802e+00 5.46487e-03 0 0E+00 1.214416E+03 0E+00 97.95359058189223
1.68836e+00 5.46428e-03 0 0E+00 1.214284E+03 0E+00 97.94301528578393
