>>head<<dt(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-2 	 %lux/m^-2
4.60000e-05	7.87097e-03 	 0 	 0E+00 	 1.749104E+03	0E+00	100.0
7.04800e-02	7.85597e-03 	 0 	 0E+00 	 1.745771E+03	0E+00	99.809
1.40870e-01	7.84497e-03 	 0 	 0E+00 	 1.743327E+03	0E+00	99.67
2.11231e-01	7.83707e-03 	 0 	 0E+00 	 1.741571E+03	0E+00	99.569
2.81594e-01	7.83131e-03 	 0 	 0E+00 	 1.740291E+03	0E+00	99.496
3.51918e-01	7.82655e-03 	 0 	 0E+00 	 1.739233E+03	0E+00	99.436
4.22277e-01	7.82299e-03 	 0 	 0E+00 	 1.738442E+03	0E+00	99.39
4.92607e-01	7.82037e-03 	 0 	 0E+00 	 1.73786E+03	0E+00	99.357
5.62961e-01	7.81745e-03 	 0 	 0E+00 	 1.737211E+03	0E+00	99.32
6.33312e-01	7.81508e-03 	 0 	 0E+00 	 1.736684E+03	0E+00	99.29
7.03662e-01	7.81282e-03 	 0 	 0E+00 	 1.736182E+03	0E+00	99.261
7.74020e-01	7.81074e-03 	 0 	 0E+00 	 1.73572E+03	0E+00	99.235
8.44371e-01	7.80886e-03 	 0 	 0E+00 	 1.735302E+03	0E+00	99.211
9.14713e-01	7.80864e-03 	 0 	 0E+00 	 1.735253E+03	0E+00	99.208
9.85047e-01	7.80778e-03 	 0 	 0E+00 	 1.735062E+03	0E+00	99.197
1.05539e+00	7.80716e-03 	 0 	 0E+00 	 1.734924E+03	0E+00	99.189
1.12573e+00	7.80590e-03 	 0 	 0E+00 	 1.734644E+03	0E+00	99.173
1.19608e+00	7.80527e-03 	 0 	 0E+00 	 1.734504E+03	0E+00	99.165
1.26643e+00	7.80501e-03 	 0 	 0E+00 	 1.734447E+03	0E+00	99.162
1.33678e+00	7.80434e-03 	 0 	 0E+00 	 1.734298E+03	0E+00	99.153
1.40713e+00	7.80307e-03 	 0 	 0E+00 	 1.734016E+03	0E+00	99.137
1.47746e+00	7.80222e-03 	 0 	 0E+00 	 1.733827E+03	0E+00	99.127
1.54779e+00	7.80208e-03 	 0 	 0E+00 	 1.733796E+03	0E+00	99.125
1.61812e+00	7.80242e-03 	 0 	 0E+00 	 1.733871E+03	0E+00	99.129
1.68857e+00	7.80112e-03 	 0 	 0E+00 	 1.733582E+03	0E+00	99.113
1.75892e+00	7.80103e-03 	 0 	 0E+00 	 1.733562E+03	0E+00	99.111
1.82927e+00	7.80073e-03 	 0 	 0E+00 	 1.733496E+03	0E+00	99.108
1.89961e+00	7.80052e-03 	 0 	 0E+00 	 1.733449E+03	0E+00	99.105
1.96995e+00	7.80066e-03 	 0 	 0E+00 	 1.73348E+03	0E+00	99.107
2.04040e+00	7.80054e-03 	 0 	 0E+00 	 1.733453E+03	0E+00	99.105
2.11084e+00	7.80057e-03 	 0 	 0E+00 	 1.73346E+03	0E+00	99.106
2.18128e+00	7.80043e-03 	 0 	 0E+00 	 1.733429E+03	0E+00	99.104
2.25171e+00	7.80004e-03 	 0 	 0E+00 	 1.733342E+03	0E+00	99.099
2.32217e+00	7.80049e-03 	 0 	 0E+00 	 1.733442E+03	0E+00	99.105
2.39261e+00	7.80017e-03 	 0 	 0E+00 	 1.733371E+03	0E+00	99.1
2.46309e+00	7.80000e-03 	 0 	 0E+00 	 1.733333E+03	0E+00	99.098
2.53353e+00	7.79971e-03 	 0 	 0E+00 	 1.733269E+03	0E+00	99.095
2.60399e+00	7.79920e-03 	 0 	 0E+00 	 1.733156E+03	0E+00	99.088
2.67445e+00	7.79926e-03 	 0 	 0E+00 	 1.733169E+03	0E+00	99.089
2.74491e+00	7.79930e-03 	 0 	 0E+00 	 1.733178E+03	0E+00	99.089
2.81534e+00	7.79906e-03 	 0 	 0E+00 	 1.733124E+03	0E+00	99.086
2.88579e+00	7.79904e-03 	 0 	 0E+00 	 1.73312E+03	0E+00	99.086
2.95624e+00	7.79930e-03 	 0 	 0E+00 	 1.733178E+03	0E+00	99.089
3.02670e+00	7.79913e-03 	 0 	 0E+00 	 1.73314E+03	0E+00	99.087
3.09715e+00	7.79966e-03 	 0 	 0E+00 	 1.733258E+03	0E+00	99.094
