dt(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-2 %lux/m^-2
4.40000e-05 4.76162e-03 387.59 8.139877E+02 1.058138E+03 8.613111E+07 100.0
1.02036e+00 3.70771e-03 350.54 9.454353E+02 8.239356E+02 7.789778E+07 90.441
2.04076e+00 3.49127e-03 320.49 9.179754E+02 7.758378E+02 7.122E+07 82.688
3.06126e+00 3.42018e-03 306.47 8.960639E+02 7.6004E+02 6.810444E+07 79.071
4.08177e+00 3.40178e-03 303.46 8.920624E+02 7.559511E+02 6.743556E+07 78.294
5.10225e+00 3.40661e-03 302.46 8.878621E+02 7.570244E+02 6.721333E+07 78.036
6.12274e+00 3.42277e-03 302.46 8.836702E+02 7.606156E+02 6.721333E+07 78.036
7.14321e+00 3.44458e-03 303.47 8.810073E+02 7.654622E+02 6.743778E+07 78.297
8.16367e+00 3.46887e-03 305.47 8.806038E+02 7.7086E+02 6.788222E+07 78.813
9.18414e+00 3.49447e-03 307.47 8.798759E+02 7.765489E+02 6.832667E+07 79.329
1.02046e+01 3.52012e-03 310.47 8.81987E+02 7.822489E+02 6.899333E+07 80.103
1.12251e+01 3.54532e-03 312.48 8.813873E+02 7.878489E+02 6.944E+07 80.621
1.22455e+01 3.57005e-03 314.48 8.80884E+02 7.933444E+02 6.988444E+07 81.137
1.32660e+01 3.59400e-03 316.48 8.805787E+02 7.986667E+02 7.032889E+07 81.653
1.42865e+01 3.61730e-03 318.49 8.804633E+02 8.038444E+02 7.077556E+07 82.172
1.53070e+01 3.63968e-03 320.49 8.805444E+02 8.088178E+02 7.122E+07 82.688
1.63677e+01 3.66217e-03 322.49 8.805981E+02 8.138156E+02 7.166444E+07 83.204
1.73882e+01 3.68302e-03 325.5 8.837856E+02 8.184489E+02 7.233333E+07 83.98
1.84086e+01 3.70314e-03 327.5 8.843846E+02 8.2292E+02 7.277778E+07 84.497
1.94291e+01 3.72256e-03 328.5 8.824572E+02 8.272356E+02 7.3E+07 84.755
2.04496e+01 3.74129e-03 330.5 8.833851E+02 8.313978E+02 7.344444E+07 85.271
2.14701e+01 3.75944e-03 332.51 8.844668E+02 8.354311E+02 7.389111E+07 85.789
2.24905e+01 3.77696e-03 334.51 8.856594E+02 8.393244E+02 7.433556E+07 86.305
2.35110e+01 3.79392e-03 335.51 8.84336E+02 8.430933E+02 7.455778E+07 86.563
2.45314e+01 3.81051e-03 338.52 8.88385E+02 8.4678E+02 7.522667E+07 87.34
2.55519e+01 3.82629e-03 340.52 8.899482E+02 8.502867E+02 7.567111E+07 87.856
2.65724e+01 3.84188e-03 341.52 8.889398E+02 8.537511E+02 7.589333E+07 88.114
2.75929e+01 3.85699e-03 343.52 8.906427E+02 8.571089E+02 7.633778E+07 88.63
2.86133e+01 3.87161e-03 344.52 8.898624E+02 8.603578E+02 7.656E+07 88.888
2.96338e+01 3.88574e-03 346.53 8.917992E+02 8.634978E+02 7.700667E+07 89.406
3.06543e+01 3.89951e-03 348.53 8.93779E+02 8.665578E+02 7.745111E+07 89.922
3.17150e+01 3.91336e-03 350.53 8.957264E+02 8.696356E+02 7.789556E+07 90.438
3.27355e+01 3.92669e-03 351.53 8.952324E+02 8.725978E+02 7.811778E+07 90.696
3.37560e+01 3.93953e-03 352.54 8.948783E+02 8.754511E+02 7.834222E+07 90.957
3.47764e+01 3.95182e-03 354.54 8.971562E+02 8.781822E+02 7.878667E+07 91.473
3.57969e+01 3.96397e-03 355.54 8.969291E+02 8.808822E+02 7.900889E+07 91.731
3.68173e+01 3.97577e-03 356.54 8.967823E+02 8.835044E+02 7.923111E+07 91.989
3.78378e+01 3.98738e-03 358.54 8.991869E+02 8.860844E+02 7.967556E+07 92.505
3.88583e+01 3.99876e-03 360.55 9.016545E+02 8.886133E+02 8.012222E+07 93.024
3.98788e+01 4.00983e-03 361.55 9.016592E+02 8.910733E+02 8.034444E+07 93.282
4.08992e+01 4.02067e-03 362.55 9.017154E+02 8.934822E+02 8.056667E+07 93.54
4.19197e+01 4.03132e-03 363.55 9.018138E+02 8.958489E+02 8.078889E+07 93.798
4.29402e+01 4.04158e-03 365.55 9.04473E+02 8.981289E+02 8.123333E+07 94.314
4.39607e+01 4.05171e-03 366.56 9.047044E+02 9.0038E+02 8.145778E+07 94.574
4.49811e+01 4.06173e-03 368.56 9.073966E+02 9.026067E+02 8.190222E+07 95.09
4.60016e+01 4.07133e-03 369.56 9.077132E+02 9.0474E+02 8.212444E+07 95.348
4.70623e+01 4.08127e-03 370.56 9.079527E+02 9.069489E+02 8.234667E+07 95.606
4.80828e+01 4.09053e-03 371.56 9.08342E+02 9.090067E+02 8.256889E+07 95.864
4.91033e+01 4.09976e-03 372.56 9.087361E+02 9.110578E+02 8.279111E+07 96.122
5.01238e+01 4.10865e-03 373.57 9.092281E+02 9.130333E+02 8.301556E+07 96.383
5.11442e+01 4.11738e-03 374.57 9.09729E+02 9.149733E+02 8.323778E+07 96.641
5.21647e+01 4.12590e-03 376.57 9.126978E+02 9.168667E+02 8.368222E+07 97.157
5.31852e+01 4.13429e-03 377.57 9.132644E+02 9.187311E+02 8.390444E+07 97.415
5.42057e+01 4.14261e-03 378.57 9.138442E+02 9.2058E+02 8.412667E+07 97.673
