V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
1.00000e+01 3.46437e-05 6.1 5.679295E-06 7.6986E+00 1.355556E+06
1.00000e+01 3.28631e-05 6.1 5.387393E-06 7.302911E+00 1.355556E+06
1.00000e+01 3.19773e-05 6.1 5.24218E-06 7.106067E+00 1.355556E+06
1.00000e+01 3.14040e-05 6.1 5.148197E-06 6.978667E+00 1.355556E+06
1.00000e+01 3.10619e-05 6.1 5.092115E-06 6.902644E+00 1.355556E+06
1.00000e+01 3.06297e-05 6.1 5.021262E-06 6.8066E+00 1.355556E+06
1.00000e+01 3.04129e-05 6.1 4.985721E-06 6.758422E+00 1.355556E+06
1.00000e+01 3.06616e-05 6.1 5.026492E-06 6.813689E+00 1.355556E+06
1.00000e+01 2.98609e-05 6.1 4.89523E-06 6.635756E+00 1.355556E+06
1.00000e+01 2.96450e-05 6.1 4.859836E-06 6.587778E+00 1.355556E+06
1.00000e+01 2.94573e-05 6.1 4.829066E-06 6.546067E+00 1.355556E+06
1.00000e+01 2.93204e-05 5.1 5.749098E-06 6.515644E+00 1.133333E+06
1.00000e+01 2.91166e-05 5.1 5.709137E-06 6.470356E+00 1.133333E+06
1.00000e+01 2.89455e-05 5.1 5.675588E-06 6.432333E+00 1.133333E+06
1.00000e+01 2.88002e-05 5.1 5.647098E-06 6.400044E+00 1.133333E+06
1.00000e+01 2.87061e-05 5.1 5.628647E-06 6.379133E+00 1.133333E+06
1.00000e+01 2.85728e-05 5.1 5.60251E-06 6.349511E+00 1.133333E+06
1.00000e+01 2.87785e-05 5.1 5.642843E-06 6.395222E+00 1.133333E+06
1.00000e+01 2.83242e-05 5.1 5.553765E-06 6.294267E+00 1.133333E+06
1.00000e+01 2.82073e-05 5.1 5.530843E-06 6.268289E+00 1.133333E+06
1.00000e+01 2.81113e-05 5.1 5.51202E-06 6.246956E+00 1.133333E+06
1.00000e+01 2.80009e-05 5.1 5.490373E-06 6.222422E+00 1.133333E+06
1.00000e+01 2.79372e-05 5.1 5.477882E-06 6.208267E+00 1.133333E+06
1.00000e+01 2.78056e-05 5.1 5.452078E-06 6.179022E+00 1.133333E+06
1.00000e+01 2.77167e-05 5.1 5.434647E-06 6.159267E+00 1.133333E+06
1.00000e+01 2.77404e-05 5.1 5.439294E-06 6.164533E+00 1.133333E+06
1.00000e+01 2.75726e-05 5.1 5.406392E-06 6.127244E+00 1.133333E+06
1.00000e+01 2.75755e-05 5.1 5.406961E-06 6.127889E+00 1.133333E+06
1.00000e+01 2.73930e-05 5.1 5.371176E-06 6.087333E+00 1.133333E+06
1.00000e+01 2.72972e-05 5.1 5.352392E-06 6.066044E+00 1.133333E+06
1.00000e+01 2.73334e-05 5.1 5.35949E-06 6.074089E+00 1.133333E+06
1.00000e+01 2.71774e-05 5.1 5.328902E-06 6.039422E+00 1.133333E+06
1.00000e+01 2.71112e-05 5.1 5.315922E-06 6.024711E+00 1.133333E+06
1.00000e+01 2.71041e-05 5.1 5.314529E-06 6.023133E+00 1.133333E+06
1.00000e+01 2.70161e-05 5.1 5.297275E-06 6.003578E+00 1.133333E+06
1.00000e+01 2.71802e-05 5.1 5.329451E-06 6.040044E+00 1.133333E+06
1.00000e+01 2.71836e-05 5.1 5.330118E-06 6.0408E+00 1.133333E+06
1.00000e+01 2.67801e-05 5.1 5.251E-06 5.951133E+00 1.133333E+06
1.00000e+01 2.68071e-05 5.1 5.256294E-06 5.957133E+00 1.133333E+06
1.00000e+01 2.67152e-05 5.1 5.238275E-06 5.936711E+00 1.133333E+06
1.00000e+01 2.67107e-05 5.1 5.237392E-06 5.935711E+00 1.133333E+06
1.00000e+01 2.65854e-05 5.1 5.212824E-06 5.907867E+00 1.133333E+06
1.00000e+01 2.65331e-05 5.1 5.202569E-06 5.896244E+00 1.133333E+06
1.00000e+01 2.64768e-05 5.1 5.191529E-06 5.883733E+00 1.133333E+06
1.00000e+01 2.64913e-05 5.1 5.194373E-06 5.886956E+00 1.133333E+06
1.00000e+01 2.64456e-05 5.1 5.185412E-06 5.8768E+00 1.133333E+06
1.00000e+01 2.64042e-05 5.1 5.177294E-06 5.8676E+00 1.133333E+06
1.00000e+01 2.63438e-05 5.1 5.165451E-06 5.854178E+00 1.133333E+06
1.00000e+01 2.62893e-05 5.1 5.154765E-06 5.842067E+00 1.133333E+06
1.00000e+01 2.62261e-05 5.1 5.142373E-06 5.828022E+00 1.133333E+06
1.00000e+01 2.61998e-05 5.1 5.137216E-06 5.822178E+00 1.133333E+06
1.00000e+01 2.61023e-05 5.1 5.118098E-06 5.800511E+00 1.133333E+06
1.00000e+01 2.60853e-05 5.1 5.114765E-06 5.796733E+00 1.133333E+06
1.00000e+01 2.60523e-05 5.1 5.108294E-06 5.7894E+00 1.133333E+06
1.00000e+01 2.59936e-05 5.1 5.096784E-06 5.776356E+00 1.133333E+06
1.00000e+01 2.59586e-05 5.1 5.089922E-06 5.768578E+00 1.133333E+06
1.00000e+01 2.58727e-05 5.1 5.073078E-06 5.749489E+00 1.133333E+06
1.00000e+01 2.58242e-05 5.1 5.063569E-06 5.738711E+00 1.133333E+06
1.00000e+01 2.57964e-05 5.1 5.058118E-06 5.732533E+00 1.133333E+06
1.00000e+01 2.57542e-05 5.1 5.049843E-06 5.723156E+00 1.133333E+06
1.00000e+01 2.56849e-05 5.1 5.036255E-06 5.707756E+00 1.133333E+06
1.00000e+01 2.56420e-05 5.1 5.027843E-06 5.698222E+00 1.133333E+06
1.00000e+01 2.56305e-05 5.1 5.025588E-06 5.695667E+00 1.133333E+06
1.00000e+01 2.55479e-05 5.1 5.009392E-06 5.677311E+00 1.133333E+06
1.00000e+01 2.55436e-05 5.1 5.008549E-06 5.676356E+00 1.133333E+06
1.00000e+01 2.55009e-05 5.1 5.000176E-06 5.666867E+00 1.133333E+06
1.00000e+01 2.54499e-05 5.1 4.990176E-06 5.655533E+00 1.133333E+06
1.00000e+01 2.53973e-05 5.1 4.979863E-06 5.643844E+00 1.133333E+06
