>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-7.15271e-08 	 0.1 	 -7.15271E-07 	 -1.589491E-02 	 2.222222E+04
5.00000e-01	2.58823e-03 	 0.1 	 2.58823E-02 	 5.751622E+02 	 2.222222E+04
1.00000e+00	5.88467e-03 	 0.1 	 5.88467E-02 	 1.307704E+03 	 2.222222E+04
1.50000e+00	8.70291e-03 	 0.1 	 8.70291E-02 	 1.93398E+03 	 2.222222E+04
2.00000e+00	9.85230e-03 	 0.1 	 9.8523E-02 	 2.1894E+03 	 2.222222E+04
2.50000e+00	1.02628e-02 	 0.1 	 1.02628E-01 	 2.280622E+03 	 2.222222E+04
3.00000e+00	1.19459e-02 	 0.1 	 1.19459E-01 	 2.654644E+03 	 2.222222E+04
3.50000e+00	1.56151e-02 	 0.1 	 1.56151E-01 	 3.470022E+03 	 2.222222E+04
4.00000e+00	2.81931e-02 	 0.1 	 2.81931E-01 	 6.265133E+03 	 2.222222E+04
4.50000e+00	3.52169e-02 	 0.1 	 3.52169E-01 	 7.825978E+03 	 2.222222E+04
5.00000e+00	4.19989e-02 	 0.1 	 4.19989E-01 	 9.333089E+03 	 2.222222E+04
5.50000e+00	4.86841e-02 	 0.1 	 4.86841E-01 	 1.081869E+04 	 2.222222E+04
6.00000e+00	5.52465e-02 	 0.1 	 5.52465E-01 	 1.2277E+04 	 2.222222E+04
6.50000e+00	4.96043e-02 	 1.1 	 4.509482E-02 	 1.102318E+04 	 2.444444E+05
7.00000e+00	6.53165e-02 	 1.1 	 5.937864E-02 	 1.451478E+04 	 2.444444E+05
7.50000e+00	8.22039e-02 	 0.1 	 8.22039E-01 	 1.826753E+04 	 2.222222E+04
8.00000e+00	8.45127e-02 	 0.1 	 8.45127E-01 	 1.87806E+04 	 2.222222E+04
8.50000e+00	9.09928e-02 	 1.2 	 7.582733E-02 	 2.022062E+04 	 2.666667E+05
9.00000e+00	9.87879e-02 	 1.1 	 8.980718E-02 	 2.195287E+04 	 2.444444E+05
9.50000e+00	9.99949e-02 	 1.1 	 9.090445E-02 	 2.222109E+04 	 2.444444E+05
1.00000e+01	9.99948e-02 	 1.2 	 8.3329E-02 	 2.222107E+04 	 2.666667E+05
1.05000e+01	9.99948e-02 	 1.1 	 9.090436E-02 	 2.222107E+04 	 2.444444E+05
1.10000e+01	9.99950e-02 	 1.1 	 9.090455E-02 	 2.222111E+04 	 2.444444E+05
1.15000e+01	9.99949e-02 	 1.1 	 9.090445E-02 	 2.222109E+04 	 2.444444E+05
1.20000e+01	9.99948e-02 	 1.1 	 9.090436E-02 	 2.222107E+04 	 2.444444E+05
1.25000e+01	9.99948e-02 	 1.2 	 8.3329E-02 	 2.222107E+04 	 2.666667E+05
