V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 8.76045e-13 0.1 8.76045E-12 1.946767E-07 2.222222E+04
5.00000e-01 1.53988e-07 0.1 1.53988E-06 3.421956E-02 2.222222E+04
1.00000e+00 3.19699e-07 0.1 3.19699E-06 7.104422E-02 2.222222E+04
1.50000e+00 5.44672e-07 0.1 5.44672E-06 1.210382E-01 2.222222E+04
2.00000e+00 7.71741e-07 0.1 7.71741E-06 1.71498E-01 2.222222E+04
2.50000e+00 1.02503e-06 0.1 1.02503E-05 2.277844E-01 2.222222E+04
3.00000e+00 1.31137e-06 0.1 1.31137E-05 2.914156E-01 2.222222E+04
3.50000e+00 1.92945e-06 0.1 1.92945E-05 4.287667E-01 2.222222E+04
4.00000e+00 3.47539e-06 0.1 3.47539E-05 7.723089E-01 2.222222E+04
4.50000e+00 5.90792e-06 1.1 5.370836E-06 1.312871E+00 2.444444E+05
5.00000e+00 8.84721e-06 3.1 2.853939E-06 1.966047E+00 6.888889E+05
5.50000e+00 1.52966e-05 5.1 2.999333E-06 3.399244E+00 1.133333E+06
6.00000e+00 2.43127e-05 10.1 2.407198E-06 5.402822E+00 2.244444E+06
6.50000e+00 3.83992e-05 16.2 2.370321E-06 8.533156E+00 3.6E+06
7.00000e+00 5.82595e-05 26.3 2.21519E-06 1.294656E+01 5.844444E+06
7.50000e+00 8.51217e-05 39.3 2.165947E-06 1.891593E+01 8.733333E+06
8.00000e+00 1.22864e-04 58.5 2.100239E-06 2.730311E+01 1.3E+07
8.50000e+00 1.73605e-04 83.6 2.076615E-06 3.857889E+01 1.857778E+07
9.00000e+00 2.40611e-04 114.8 2.095915E-06 5.346911E+01 2.551111E+07
9.50000e+00 3.22985e-04 154.1 2.095944E-06 7.177444E+01 3.424444E+07
1.00000e+01 4.26799e-04 204.13 2.09082E-06 9.484422E+01 4.536222E+07
1.05000e+01 5.58070e-04 262.17 2.128657E-06 1.240156E+02 5.826E+07
1.10000e+01 7.15946e-04 331.21 2.161607E-06 1.590991E+02 7.360222E+07
1.15000e+01 9.10767e-04 410.25 2.220029E-06 2.023927E+02 9.116667E+07
1.20000e+01 1.14537e-03 499.31 2.293906E-06 2.545267E+02 1.109578E+08
1.25000e+01 1.43003e-03 600.36 2.381954E-06 3.177844E+02 1.334133E+08
1.30000e+01 1.77195e-03 710.43 2.494194E-06 3.937667E+02 1.578733E+08
1.35000e+01 2.18404e-03 837.5 2.607809E-06 4.853422E+02 1.861111E+08
1.40000e+01 2.71011e-03 983.59 2.755325E-06 6.022467E+02 2.185756E+08
