>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
1.00000e+01	1.13608e-04 	 19.2 	 5.917083E-06 	 2.524622E+01 	 4.266667E+06
1.00000e+01	1.09526e-04 	 18.2 	 6.017912E-06 	 2.433911E+01 	 4.044444E+06
1.00000e+01	1.07226e-04 	 18.2 	 5.891538E-06 	 2.3828E+01 	 4.044444E+06
1.00000e+01	1.05701e-04 	 17.2 	 6.145407E-06 	 2.348911E+01 	 3.822222E+06
1.00000e+01	1.04543e-04 	 17.2 	 6.078081E-06 	 2.323178E+01 	 3.822222E+06
1.00000e+01	1.03592e-04 	 17.2 	 6.022791E-06 	 2.302044E+01 	 3.822222E+06
1.00000e+01	1.02717e-04 	 17.2 	 5.971919E-06 	 2.2826E+01 	 3.822222E+06
1.00000e+01	1.02031e-04 	 17.2 	 5.932035E-06 	 2.267356E+01 	 3.822222E+06
1.00000e+01	1.01424e-04 	 16.2 	 6.260741E-06 	 2.253867E+01 	 3.6E+06
1.00000e+01	1.00802e-04 	 16.2 	 6.222346E-06 	 2.240044E+01 	 3.6E+06
1.00000e+01	1.00245e-04 	 16.2 	 6.187963E-06 	 2.227667E+01 	 3.6E+06
1.00000e+01	9.96182e-05 	 16.2 	 6.149272E-06 	 2.213738E+01 	 3.6E+06
1.00000e+01	9.91577e-05 	 16.2 	 6.120846E-06 	 2.203504E+01 	 3.6E+06
1.00000e+01	9.86987e-05 	 16.2 	 6.092512E-06 	 2.193304E+01 	 3.6E+06
1.00000e+01	9.82220e-05 	 16.2 	 6.063086E-06 	 2.182711E+01 	 3.6E+06
1.00000e+01	9.78302e-05 	 16.2 	 6.038901E-06 	 2.174004E+01 	 3.6E+06
1.00000e+01	9.74099e-05 	 16.2 	 6.012957E-06 	 2.164664E+01 	 3.6E+06
1.00000e+01	9.70236e-05 	 15.2 	 6.383132E-06 	 2.15608E+01 	 3.377778E+06
1.00000e+01	9.67141e-05 	 15.2 	 6.36277E-06 	 2.149202E+01 	 3.377778E+06
1.00000e+01	9.63743e-05 	 15.2 	 6.340414E-06 	 2.141651E+01 	 3.377778E+06
1.00000e+01	9.60570e-05 	 15.2 	 6.319539E-06 	 2.1346E+01 	 3.377778E+06
1.00000e+01	9.57011e-05 	 15.2 	 6.296125E-06 	 2.126691E+01 	 3.377778E+06
1.00000e+01	9.53419e-05 	 15.2 	 6.272493E-06 	 2.118709E+01 	 3.377778E+06
1.00000e+01	9.50679e-05 	 15.2 	 6.254467E-06 	 2.11262E+01 	 3.377778E+06
1.00000e+01	9.47689e-05 	 15.2 	 6.234796E-06 	 2.105976E+01 	 3.377778E+06
1.00000e+01	9.44697e-05 	 15.2 	 6.215112E-06 	 2.099327E+01 	 3.377778E+06
1.00000e+01	9.42208e-05 	 15.2 	 6.198737E-06 	 2.093796E+01 	 3.377778E+06
1.00000e+01	9.39275e-05 	 15.2 	 6.179441E-06 	 2.087278E+01 	 3.377778E+06
1.00000e+01	9.36449e-05 	 15.2 	 6.160849E-06 	 2.080998E+01 	 3.377778E+06
1.00000e+01	9.33999e-05 	 15.2 	 6.14473E-06 	 2.075553E+01 	 3.377778E+06
1.00000e+01	9.31489e-05 	 15.2 	 6.128217E-06 	 2.069976E+01 	 3.377778E+06
1.00000e+01	9.28569e-05 	 15.2 	 6.109007E-06 	 2.063487E+01 	 3.377778E+06
1.00000e+01	9.26679e-05 	 15.2 	 6.096572E-06 	 2.059287E+01 	 3.377778E+06
1.00000e+01	9.24022e-05 	 15.2 	 6.079092E-06 	 2.053382E+01 	 3.377778E+06
1.00000e+01	9.21454e-05 	 15.2 	 6.062197E-06 	 2.047676E+01 	 3.377778E+06
1.00000e+01	9.19407e-05 	 14.2 	 6.474697E-06 	 2.043127E+01 	 3.155556E+06
1.00000e+01	9.17733e-05 	 14.2 	 6.462908E-06 	 2.039407E+01 	 3.155556E+06
1.00000e+01	9.14721e-05 	 14.2 	 6.441697E-06 	 2.032713E+01 	 3.155556E+06
1.00000e+01	9.12836e-05 	 14.2 	 6.428423E-06 	 2.028524E+01 	 3.155556E+06
1.00000e+01	9.10639e-05 	 14.2 	 6.412951E-06 	 2.023642E+01 	 3.155556E+06
1.00000e+01	9.09172e-05 	 14.2 	 6.40262E-06 	 2.020382E+01 	 3.155556E+06
1.00000e+01	9.07127e-05 	 14.2 	 6.388218E-06 	 2.015838E+01 	 3.155556E+06
1.00000e+01	9.04619e-05 	 14.2 	 6.370556E-06 	 2.010264E+01 	 3.155556E+06
1.00000e+01	9.02493e-05 	 14.2 	 6.355585E-06 	 2.00554E+01 	 3.155556E+06
1.00000e+01	9.00763e-05 	 14.2 	 6.343401E-06 	 2.001696E+01 	 3.155556E+06
1.00000e+01	8.98478e-05 	 14.2 	 6.32731E-06 	 1.996618E+01 	 3.155556E+06
1.00000e+01	8.96612e-05 	 14.2 	 6.314169E-06 	 1.992471E+01 	 3.155556E+06
1.00000e+01	8.95221e-05 	 14.2 	 6.304373E-06 	 1.98938E+01 	 3.155556E+06
1.00000e+01	8.92958e-05 	 14.2 	 6.288437E-06 	 1.984351E+01 	 3.155556E+06
1.00000e+01	8.91830e-05 	 14.2 	 6.280493E-06 	 1.981844E+01 	 3.155556E+06
1.00000e+01	8.89592e-05 	 14.2 	 6.264732E-06 	 1.976871E+01 	 3.155556E+06
1.00000e+01	8.87641e-05 	 14.2 	 6.250993E-06 	 1.972536E+01 	 3.155556E+06
