>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-2.15217e-11 	 0 	 -0E+00 	 -4.7826E-06	0E+00
5.00000e-01	6.30830e-08 	 0 	 0E+00 	 1.401844E-02	0E+00
1.00000e+00	1.64664e-07 	 0 	 0E+00 	 3.6592E-02	0E+00
1.50000e+00	3.45157e-07 	 0 	 0E+00 	 7.670156E-02	0E+00
2.00000e+00	5.94595e-07 	 0 	 0E+00 	 1.321322E-01	0E+00
2.50000e+00	9.29508e-07 	 0 	 0E+00 	 2.065573E-01	0E+00
3.00000e+00	1.36781e-06 	 0 	 0E+00 	 3.039578E-01	0E+00
3.50000e+00	2.09161e-06 	 0 	 0E+00 	 4.648022E-01	0E+00
4.00000e+00	3.17678e-06 	 0 	 0E+00 	 7.059511E-01	0E+00
4.50000e+00	1.38024e-05 	 0 	 0E+00 	 3.0672E+00	0E+00
5.00000e+00	2.40452e-05 	 0 	 0E+00 	 5.343378E+00	0E+00
5.50000e+00	4.12264e-05 	 0 	 0E+00 	 9.161422E+00	0E+00
6.00000e+00	6.87788e-05 	 0 	 0E+00 	 1.528418E+01	0E+00
6.50000e+00	1.14732e-04 	 0 	 0E+00 	 2.5496E+01	0E+00
7.00000e+00	2.16015e-04 	 0 	 0E+00 	 4.800333E+01	0E+00
7.50000e+00	3.62519e-04 	 0 	 0E+00 	 8.055978E+01	0E+00
8.00000e+00	5.44245e-04 	 0 	 0E+00 	 1.209433E+02	0E+00
8.50000e+00	7.73079e-04 	 0 	 0E+00 	 1.717953E+02	0E+00
9.00000e+00	1.08726e-03 	 0 	 0E+00 	 2.416133E+02	0E+00
9.50000e+00	1.47691e-03 	 0 	 0E+00 	 3.282022E+02	0E+00
1.00000e+01	1.88678e-03 	 0 	 0E+00 	 4.192844E+02	0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/_q1_oled_000.txt
