VGS(0) IDS(0) IGS(0) VDS(0) VGS(10) IDS(10) IGS(10) VDS(10)
0.00000e+00 -2.62582e-07 -2.43004e-07 2.50000e-01 1.00000e+01 3.28617e-02 3.27973e-02 -2.50000e-01
2.50000e-01 4.28971e-04 4.29541e-04 2.50000e-01 9.75000e+00 2.82127e-02 2.81577e-02 -2.50000e-01
5.00000e-01 9.41968e-04 9.41121e-04 2.50000e-01 9.50000e+00 2.40689e-02 2.40550e-02 -2.50000e-01
7.50000e-01 1.54094e-03 1.54137e-03 2.50000e-01 9.25000e+00 2.04461e-02 2.04542e-02 -2.50000e-01
1.00000e+00 2.21157e-03 2.20936e-03 2.50000e-01 9.00000e+00 1.72520e-02 1.72633e-02 -2.50000e-01
1.25000e+00 2.95387e-03 2.95824e-03 2.50000e-01 8.75000e+00 1.44217e-02 1.44444e-02 -2.50000e-01
1.50000e+00 3.76738e-03 3.76290e-03 2.50000e-01 8.50000e+00 1.19980e-02 1.20165e-02 -2.50000e-01
1.75000e+00 4.65096e-03 4.64572e-03 2.50000e-01 8.25000e+00 9.92708e-03 9.93439e-03 -2.50000e-01
2.00000e+00 5.63344e-03 5.64698e-03 2.50000e-01 8.00000e+00 8.12703e-03 8.13491e-03 -2.50000e-01
2.25000e+00 6.71877e-03 6.74739e-03 2.50000e-01 7.75000e+00 6.61926e-03 6.62571e-03 -2.50000e-01
2.50000e+00 7.97132e-03 8.00797e-03 2.50000e-01 7.50000e+00 5.40042e-03 5.41441e-03 -2.50000e-01
2.75000e+00 9.52963e-03 9.61822e-03 2.50000e-01 7.25000e+00 4.39981e-03 4.41054e-03 -2.50000e-01
3.00000e+00 1.19647e-02 1.24860e-02 2.50000e-01 7.00000e+00 3.62679e-03 3.63483e-03 -2.50000e-01
3.25000e+00 1.35427e-02 1.29903e-02 2.50000e-01 6.75000e+00 2.95696e-03 2.96726e-03 -2.50000e-01
3.50000e+00 1.51097e-02 1.53817e-02 2.50000e-01 6.50000e+00 2.47792e-03 2.50007e-03 -2.50000e-01
3.75000e+00 1.71179e-02 1.71504e-02 2.50000e-01 6.25000e+00 2.13472e-03 2.14759e-03 -2.50000e-01
4.00000e+00 2.04266e-02 2.09607e-02 2.50000e-01 6.00000e+00 1.88656e-03 1.88943e-03 -2.50000e-01
4.25000e+00 2.27991e-02 2.34759e-02 2.50000e-01 5.75000e+00 1.71123e-03 1.71452e-03 -2.50000e-01
4.50000e+00 4.61404e-03 4.39812e-03 2.50000e-01 5.50000e+00 1.59755e-03 1.60766e-03 -2.50000e-01
4.75000e+00 4.02823e-03 3.88143e-03 2.50000e-01 5.25000e+00 1.58763e-03 1.62761e-03 -2.50000e-01
5.00000e+00 3.38327e-03 3.38184e-03 2.50000e-01 5.00000e+00 1.47851e-03 1.50963e-03 -2.50000e-01
5.25000e+00 3.30645e-03 3.16742e-03 2.50000e-01 4.75000e+00 1.38337e-03 1.49079e-03 -2.50000e-01
5.50000e+00 3.48965e-03 3.28766e-03 2.50000e-01 4.50000e+00 1.67088e-03 1.75758e-03 -2.50000e-01
5.75000e+00 3.61043e-03 3.61984e-03 2.50000e-01 4.25000e+00 1.69213e-03 1.74515e-03 -2.50000e-01
6.00000e+00 4.23671e-03 4.14433e-03 2.50000e-01 4.00000e+00 1.93893e-03 1.99593e-03 -2.50000e-01
6.25000e+00 4.96795e-03 4.99751e-03 2.50000e-01 3.75000e+00 1.89663e-03 2.02518e-03 -2.50000e-01
6.50000e+00 6.68361e-03 7.03566e-03 2.50000e-01 3.50000e+00 2.37861e-03 2.75212e-03 -2.50000e-01
6.75000e+00 1.04971e-02 1.04307e-02 2.50000e-01 3.25000e+00 3.38500e-03 3.46452e-03 -2.50000e-01
7.00000e+00 1.49881e-02 1.72473e-02 2.50000e-01 3.00000e+00 1.06452e-02 1.05089e-02 -2.50000e-01
7.25000e+00 7.76258e-03 7.70180e-03 2.50000e-01 2.75000e+00 8.16614e-03 8.00667e-03 -2.50000e-01
7.50000e+00 9.38900e-03 9.31722e-03 2.50000e-01 2.50000e+00 6.13286e-03 6.05947e-03 -2.50000e-01
7.75000e+00 1.10976e-02 1.10281e-02 2.50000e-01 2.25000e+00 4.40061e-03 4.37206e-03 -2.50000e-01
8.00000e+00 1.30667e-02 1.29809e-02 2.50000e-01 2.00000e+00 3.44245e-03 3.40814e-03 -2.50000e-01
8.25000e+00 1.52165e-02 1.51384e-02 2.50000e-01 1.75000e+00 2.65846e-03 2.60794e-03 -2.50000e-01
8.50000e+00 1.75569e-02 1.74765e-02 2.50000e-01 1.50000e+00 2.00417e-03 1.99518e-03 -2.50000e-01
8.75000e+00 2.00247e-02 1.99173e-02 2.50000e-01 1.25000e+00 1.49456e-03 1.49059e-03 -2.50000e-01
9.00000e+00 2.26386e-02 2.25271e-02 2.50000e-01 1.00000e+00 1.06650e-03 1.06442e-03 -2.50000e-01
9.25000e+00 2.53693e-02 2.52475e-02 2.50000e-01 7.50000e-01 7.13249e-04 7.11986e-04 -2.50000e-01
9.50000e+00 2.82150e-02 2.80977e-02 2.50000e-01 5.00000e-01 4.19211e-04 4.17664e-04 -2.50000e-01
9.75000e+00 3.11531e-02 3.10287e-02 2.50000e-01 2.50000e-01 1.81403e-04 1.81350e-04 -2.50000e-01
1.00000e+01 3.42933e-02 3.41767e-02 2.50000e-01 0.00000e+00 -7.62692e-08 -7.53266e-08 -2.50000e-01
