VGS(0) IDS(0) IGS(0) VDS(0) VGS(15) IDS(15) IGS(15) VDS(15)
0.00000e+00 -1.32207e-06 -1.40837e-06 2.50000e-01 1.50000e+01 9.99970e-02 9.99972e-02 -2.50000e-01
2.50000e-01 4.07632e-03 4.07614e-03 2.50000e-01 1.47500e+01 9.99970e-02 9.99972e-02 -2.50000e-01
5.00000e-01 8.18585e-03 8.18604e-03 2.50000e-01 1.45000e+01 9.99971e-02 9.99973e-02 -2.50000e-01
7.50000e-01 1.23275e-02 1.23007e-02 2.50000e-01 1.42500e+01 9.99970e-02 9.99971e-02 -2.50000e-01
1.00000e+00 1.60881e-02 1.60972e-02 2.50000e-01 1.40000e+01 9.99971e-02 9.99971e-02 -2.50000e-01
1.25000e+00 2.02340e-02 2.02378e-02 2.50000e-01 1.37500e+01 9.99970e-02 9.99971e-02 -2.50000e-01
1.50000e+00 2.32178e-02 2.16433e-02 2.50000e-01 1.35000e+01 9.99970e-02 9.99971e-02 -2.50000e-01
1.75000e+00 2.57534e-02 2.65438e-02 2.50000e-01 1.32500e+01 9.99970e-02 9.99971e-02 -2.50000e-01
2.00000e+00 2.87737e-02 2.91831e-02 2.50000e-01 1.30000e+01 9.99971e-02 9.99970e-02 -2.50000e-01
2.25000e+00 3.32863e-02 3.37373e-02 2.50000e-01 1.27500e+01 9.99969e-02 9.99969e-02 -2.50000e-01
2.50000e+00 3.58053e-02 3.60437e-02 2.50000e-01 1.25000e+01 9.99969e-02 9.99970e-02 -2.50000e-01
2.75000e+00 4.16051e-02 4.17115e-02 2.50000e-01 1.22500e+01 9.99970e-02 9.99970e-02 -2.50000e-01
3.00000e+00 4.58195e-02 4.58481e-02 2.50000e-01 1.20000e+01 9.99969e-02 9.99970e-02 -2.50000e-01
3.25000e+00 4.66836e-02 4.72627e-02 2.50000e-01 1.17500e+01 9.99970e-02 9.99971e-02 -2.50000e-01
3.50000e+00 5.09078e-02 5.11874e-02 2.50000e-01 1.15000e+01 9.99970e-02 9.99970e-02 -2.50000e-01
3.75000e+00 5.52197e-02 5.54088e-02 2.50000e-01 1.12500e+01 9.99969e-02 9.99970e-02 -2.50000e-01
4.00000e+00 6.24045e-02 6.27401e-02 2.50000e-01 1.10000e+01 9.99970e-02 9.99966e-02 -2.50000e-01
4.25000e+00 8.18508e-02 8.36522e-02 2.50000e-01 1.07500e+01 9.99966e-02 9.99966e-02 -2.50000e-01
4.50000e+00 9.37104e-02 9.31976e-02 2.50000e-01 1.05000e+01 9.99966e-02 9.99966e-02 -2.50000e-01
4.75000e+00 8.86637e-02 8.84482e-02 2.50000e-01 1.02500e+01 9.99968e-02 9.99968e-02 -2.50000e-01
5.00000e+00 9.33603e-02 9.32317e-02 2.50000e-01 1.00000e+01 9.99966e-02 9.99967e-02 -2.50000e-01
5.25000e+00 9.82152e-02 9.83300e-02 2.50000e-01 9.75000e+00 9.99967e-02 9.99967e-02 -2.50000e-01
5.50000e+00 9.99967e-02 9.99970e-02 2.50000e-01 9.50000e+00 9.99967e-02 9.99968e-02 -2.50000e-01
5.75000e+00 9.99968e-02 9.99969e-02 2.50000e-01 9.25000e+00 9.99966e-02 9.99967e-02 -2.50000e-01
6.00000e+00 9.99969e-02 9.99969e-02 2.50000e-01 9.00000e+00 9.99966e-02 9.99966e-02 -2.50000e-01
6.25000e+00 9.99969e-02 9.99969e-02 2.50000e-01 8.75000e+00 9.99967e-02 9.99967e-02 -2.50000e-01
6.50000e+00 9.99968e-02 9.99969e-02 2.50000e-01 8.50000e+00 9.99967e-02 9.99968e-02 -2.50000e-01
6.75000e+00 9.99968e-02 9.99969e-02 2.50000e-01 8.25000e+00 9.99966e-02 9.99966e-02 -2.50000e-01
7.00000e+00 9.99969e-02 9.99969e-02 2.50000e-01 8.00000e+00 9.99966e-02 9.99967e-02 -2.50000e-01
7.25000e+00 9.99969e-02 9.99970e-02 2.50000e-01 7.75000e+00 9.99965e-02 9.99966e-02 -2.50000e-01
7.50000e+00 9.99970e-02 9.99970e-02 2.50000e-01 7.50000e+00 9.99964e-02 9.99965e-02 -2.50000e-01
7.75000e+00 9.99969e-02 9.99969e-02 2.50000e-01 7.25000e+00 9.99963e-02 9.99965e-02 -2.50000e-01
8.00000e+00 9.99969e-02 9.99970e-02 2.50000e-01 7.00000e+00 9.99963e-02 9.99964e-02 -2.50000e-01
8.25000e+00 9.99969e-02 9.99970e-02 2.50000e-01 6.75000e+00 9.99963e-02 9.99964e-02 -2.50000e-01
8.50000e+00 9.99969e-02 9.99969e-02 2.50000e-01 6.50000e+00 9.99963e-02 9.99964e-02 -2.50000e-01
8.75000e+00 9.99968e-02 9.99968e-02 2.50000e-01 6.25000e+00 9.99963e-02 9.99964e-02 -2.50000e-01
9.00000e+00 9.99968e-02 9.99970e-02 2.50000e-01 6.00000e+00 9.99963e-02 9.99965e-02 -2.50000e-01
9.25000e+00 9.99969e-02 9.99969e-02 2.50000e-01 5.75000e+00 9.99964e-02 9.99965e-02 -2.50000e-01
9.50000e+00 9.99970e-02 9.99970e-02 2.50000e-01 5.50000e+00 9.99964e-02 9.99965e-02 -2.50000e-01
9.75000e+00 9.99972e-02 9.99971e-02 2.50000e-01 5.25000e+00 9.65313e-02 9.64021e-02 -2.50000e-01
1.00000e+01 9.99970e-02 9.99971e-02 2.50000e-01 5.00000e+00 7.77278e-02 7.77656e-02 -2.50000e-01
1.02500e+01 9.99970e-02 9.99970e-02 2.50000e-01 4.75000e+00 7.38392e-02 7.38419e-02 -2.50000e-01
1.05000e+01 9.99970e-02 9.99971e-02 2.50000e-01 4.50000e+00 6.96927e-02 6.97022e-02 -2.50000e-01
1.07500e+01 9.99972e-02 9.99972e-02 2.50000e-01 4.25000e+00 6.55606e-02 6.55587e-02 -2.50000e-01
1.10000e+01 9.99970e-02 9.99971e-02 2.50000e-01 4.00000e+00 6.14837e-02 6.14976e-02 -2.50000e-01
1.12500e+01 9.99971e-02 9.99972e-02 2.50000e-01 3.75000e+00 5.73838e-02 5.73852e-02 -2.50000e-01
1.15000e+01 9.99971e-02 9.99972e-02 2.50000e-01 3.50000e+00 5.32556e-02 5.32672e-02 -2.50000e-01
1.17500e+01 9.99970e-02 9.99971e-02 2.50000e-01 3.25000e+00 4.91695e-02 4.92084e-02 -2.50000e-01
1.20000e+01 9.99970e-02 9.99971e-02 2.50000e-01 3.00000e+00 4.51917e-02 4.52602e-02 -2.50000e-01
1.22500e+01 9.99971e-02 9.99971e-02 2.50000e-01 2.75000e+00 4.12196e-02 4.12165e-02 -2.50000e-01
1.25000e+01 9.99968e-02 9.99970e-02 2.50000e-01 2.50000e+00 3.73596e-02 3.73951e-02 -2.50000e-01
