>>head<<VGS(0) IDS(0) IGS(0) VDS(0)
0.00000e+00	1.79040e-13	1.45531e-13	2.00000e+00
2.00000e+00	1.61796e-10	9.95666e-12	2.00000e+00
4.00000e+00	-2.30582e-10	-1.81781e-11	2.00000e+00
6.00000e+00	-2.30367e-10	-1.79466e-11	2.00000e+00
8.00000e+00	-2.30514e-10	-1.79054e-11	2.00000e+00
1.00000e+01	-2.30569e-10	-1.79020e-11	2.00000e+00
>>head<<VGS(10) IDS(10) IGS(10) VDS(10)
1.00000e+01	-2.34515e-10	-2.04060e-10	-2.00000e+00
8.00000e+00	-2.52936e-10	-1.92579e-11	-2.00000e+00
6.00000e+00	-9.29933e-10	-8.09642e-10	-2.00000e+00
4.00000e+00	-2.53216e-10	-1.98147e-11	-2.00000e+00
2.00000e+00	-9.28645e-10	-8.08507e-10	-2.00000e+00
0.00000e+00	-2.61909e-10	-2.04028e-11	-2.00000e+00
>>END<<
