VGS(0) IDS(0) IGS(0) VDS(0) VGS(10) IDS(10) IGS(10) VDS(10)
0.00000e+00 -9.23732e-10 -4.61774e-09 5.00000e-01 1.00000e+01 6.31528e-03 6.28676e-03 -5.00000e-01
5.00000e-01 2.85081e-07 2.84702e-07 5.00000e-01 9.50000e+00 3.96547e-03 3.95748e-03 -5.00000e-01
1.00000e+00 1.33268e-06 1.26196e-06 5.00000e-01 9.00000e+00 3.02484e-03 3.02864e-03 -5.00000e-01
1.50000e+00 4.29544e-06 4.12383e-06 5.00000e-01 8.50000e+00 2.30494e-03 2.30264e-03 -5.00000e-01
2.00000e+00 1.16020e-05 1.18022e-05 5.00000e-01 8.00000e+00 1.74683e-03 1.74353e-03 -5.00000e-01
2.50000e+00 2.94751e-05 3.14143e-05 5.00000e-01 7.50000e+00 1.35088e-03 1.34889e-03 -5.00000e-01
3.00000e+00 6.29670e-05 6.61758e-05 5.00000e-01 7.00000e+00 1.13869e-03 1.13795e-03 -5.00000e-01
3.50000e+00 1.08256e-04 1.09894e-04 5.00000e-01 6.50000e+00 8.64590e-04 9.41099e-04 -5.00000e-01
4.00000e+00 1.75128e-04 1.85357e-04 5.00000e-01 6.00000e+00 1.22453e-03 1.22184e-03 -5.00000e-01
4.50000e+00 3.38910e-04 3.61529e-04 5.00000e-01 5.50000e+00 8.40463e-04 8.39738e-04 -5.00000e-01
5.00000e+00 6.84178e-04 7.14178e-04 5.00000e-01 5.00000e+00 5.76783e-04 5.75435e-04 -5.00000e-01
5.50000e+00 1.43367e-03 1.46391e-03 5.00000e-01 4.50000e+00 3.98324e-04 3.96489e-04 -5.00000e-01
6.00000e+00 2.46273e-03 2.52080e-03 5.00000e-01 4.00000e+00 3.22482e-04 3.23947e-04 -5.00000e-01
6.50000e+00 4.89804e-03 4.94189e-03 5.00000e-01 3.50000e+00 1.78579e-04 1.78158e-04 -5.00000e-01
7.00000e+00 7.74433e-03 7.97728e-03 5.00000e-01 3.00000e+00 1.05391e-04 1.05204e-04 -5.00000e-01
7.50000e+00 9.31377e-03 9.31199e-03 5.00000e-01 2.50000e+00 5.64423e-05 5.63035e-05 -5.00000e-01
8.00000e+00 9.45385e-03 9.79118e-03 5.00000e-01 2.00000e+00 2.63830e-05 2.62817e-05 -5.00000e-01
8.50000e+00 1.37022e-02 1.31573e-02 5.00000e-01 1.50000e+00 1.04610e-05 1.05323e-05 -5.00000e-01
9.00000e+00 1.62164e-02 1.58477e-02 5.00000e-01 1.00000e+00 3.45641e-06 3.46064e-06 -5.00000e-01
9.50000e+00 2.02847e-02 2.03374e-02 5.00000e-01 5.00000e-01 9.11626e-07 9.09869e-07 -5.00000e-01
1.00000e+01 1.46675e-02 1.30236e-02 5.00000e-01 0.00000e+00 -2.24887e-07 -1.55732e-09 -5.00000e-01
