VGS(0) IDS(0) IGS(0) VDS(0) VGS(-10) IDS(-10) IGS(-10) VDS(-10)
0.00000e+00 6.85161e-10 7.40169e-10 -5.00000e-01 -1.00000e+01 -9.76681e-02 -9.76683e-02 5.00000e-01
-5.00000e-01 -5.08098e-04 -5.06293e-04 -5.00000e-01 -9.50000e+00 -9.24560e-02 -9.24673e-02 5.00000e-01
-1.00000e+00 -9.77689e-04 -9.16750e-04 -5.00000e-01 -9.00000e+00 -8.72857e-02 -8.72883e-02 5.00000e-01
-1.50000e+00 -8.23428e-04 -7.09098e-04 -5.00000e-01 -8.50000e+00 -8.22281e-02 -8.22230e-02 5.00000e-01
-2.00000e+00 -9.47445e-04 -6.75012e-04 -5.00000e-01 -8.00000e+00 -7.73035e-02 -7.73137e-02 5.00000e-01
-2.50000e+00 -9.42564e-04 -8.06889e-04 -5.00000e-01 -7.50000e+00 -7.24475e-02 -7.24549e-02 5.00000e-01
-3.00000e+00 -1.02766e-03 -9.80165e-04 -5.00000e-01 -7.00000e+00 -6.67620e-02 -6.73509e-02 5.00000e-01
-3.50000e+00 -1.18106e-03 -1.22580e-03 -5.00000e-01 -6.50000e+00 -6.34360e-02 -6.34494e-02 5.00000e-01
-4.00000e+00 -1.61805e-03 -1.47457e-03 -5.00000e-01 -6.00000e+00 -5.86046e-02 -5.86120e-02 5.00000e-01
-4.50000e+00 -1.44434e-03 -1.37645e-03 -5.00000e-01 -5.50000e+00 -5.37842e-02 -5.37963e-02 5.00000e-01
-5.00000e+00 -1.78295e-03 -1.77800e-03 -5.00000e-01 -5.00000e+00 -4.89908e-02 -4.89952e-02 5.00000e-01
-5.50000e+00 -2.38460e-03 -2.41472e-03 -5.00000e-01 -4.50000e+00 -4.41350e-02 -4.41399e-02 5.00000e-01
-6.00000e+00 -4.19045e-03 -4.05388e-03 -5.00000e-01 -4.00000e+00 -3.92642e-02 -3.92669e-02 5.00000e-01
-6.50000e+00 -5.03829e-02 -5.03209e-02 -5.00000e-01 -3.50000e+00 -3.43807e-02 -3.43842e-02 5.00000e-01
-7.00000e+00 -5.42281e-02 -5.43759e-02 -5.00000e-01 -3.00000e+00 -2.94780e-02 -2.94800e-02 5.00000e-01
-7.50000e+00 -5.92043e-02 -5.92886e-02 -5.00000e-01 -2.50000e+00 -2.45785e-02 -2.45794e-02 5.00000e-01
-8.00000e+00 -6.35828e-02 -6.36342e-02 -5.00000e-01 -2.00000e+00 -1.97203e-02 -1.97190e-02 5.00000e-01
-8.50000e+00 -6.78071e-02 -6.78259e-02 -5.00000e-01 -1.50000e+00 -1.47905e-02 -1.47910e-02 5.00000e-01
-9.00000e+00 -7.96654e-02 -7.99097e-02 -5.00000e-01 -1.00000e+00 -9.86103e-03 -9.86136e-03 5.00000e-01
-9.50000e+00 -8.45993e-02 -8.46317e-02 -5.00000e-01 -5.00000e-01 -4.92719e-03 -4.92756e-03 5.00000e-01
-1.00000e+01 -3.89002e-02 -3.96771e-02 -5.00000e-01 0.00000e+00 4.29016e-06 4.38876e-06 5.00000e-01
