VGS(0) IDS(0) IGS(0) VDS(0) VGS(50) IDS(50) IGS(50) VDS(50)
0.00000e+00 -4.13802e-11 -5.22856e-11 5.00000e+00 5.00000e+01 8.17977e-06 8.17760e-06 -5.00000e+00
5.00000e+00 5.89930e-05 5.85945e-05 5.00000e+00 4.50000e+01 7.31413e-06 7.31728e-06 -5.00000e+00
1.00000e+01 3.52144e-04 3.69020e-04 5.00000e+00 4.00000e+01 6.44519e-06 6.45173e-06 -5.00000e+00
1.50000e+01 7.00063e-04 6.42397e-04 5.00000e+00 3.50000e+01 5.58623e-06 5.59290e-06 -5.00000e+00
2.00000e+01 9.84098e-03 1.08536e-02 5.00000e+00 3.00000e+01 4.72939e-06 4.73472e-06 -5.00000e+00
2.50000e+01 2.06175e-05 1.83689e-05 5.00000e+00 2.50000e+01 3.87996e-06 3.89383e-06 -5.00000e+00
3.00000e+01 2.39810e-05 1.17527e-05 5.00000e+00 2.00000e+01 3.05850e-06 3.06616e-06 -5.00000e+00
3.50000e+01 9.22019e-06 7.59451e-06 5.00000e+00 1.50000e+01 2.21358e-06 2.24939e-06 -5.00000e+00
4.00000e+01 8.44869e-06 8.47595e-06 5.00000e+00 1.00000e+01 1.40829e-06 1.45347e-06 -5.00000e+00
4.50000e+01 9.89070e-06 9.84038e-06 5.00000e+00 5.00000e+00 6.76152e-07 6.81611e-07 -5.00000e+00
5.00000e+01 8.23607e-06 8.20302e-06 5.00000e+00 0.00000e+00 -1.00691e-07 -1.83196e-08 -5.00000e+00
