>>head<<VGS(0) IDS(0) IGS(0) VDS(0) 	 2.0
0.00000e+00	2.09744e-10	1.34062e-10	1.00000e+00 	 2.0
1.00000e+00	9.97536e-07	9.96429e-07	1.00000e+00 	 2.0
2.00000e+00	4.02576e-06	3.96000e-06	1.00000e+00 	 2.0
3.00000e+00	1.00211e-05	9.79244e-06	1.00000e+00 	 2.0
4.00000e+00	2.48518e-05	2.52346e-05	1.00000e+00 	 2.0
5.00000e+00	6.57143e-05	6.72623e-05	1.00000e+00 	 2.0
6.00000e+00	1.61337e-04	1.61668e-04	1.00000e+00 	 2.0
7.00000e+00	3.43989e-04	3.45722e-04	1.00000e+00 	 2.0
8.00000e+00	4.38271e-04	4.28698e-04	1.00000e+00 	 2.0
9.00000e+00	4.18070e-04	4.46898e-04	1.00000e+00 	 2.0
1.00000e+01	5.01712e-04	5.11622e-04	1.00000e+00 	 2.0
>>head<<VGS(0) IDS(0) IGS(0) VDS(0) 	 2.0
0.00000e+00	-4.13802e-11	-5.22856e-11	5.00000e+00 	 2.0
5.00000e+00	5.89930e-05	5.85945e-05	5.00000e+00 	 3.0
1.00000e+01	3.52144e-04	3.69020e-04	5.00000e+00 	 3.0
1.50000e+01	7.00063e-04	6.42397e-04	5.00000e+00 	 3.0
2.00000e+01	9.84098e-03	1.08536e-02	5.00000e+00 	 3.0
2.50000e+01	2.06175e-05	1.83689e-05	5.00000e+00 	 3.0
3.00000e+01	2.39810e-05	1.17527e-05	5.00000e+00 	 3.0
3.50000e+01	9.22019e-06	7.59451e-06	5.00000e+00 	 3.0
4.00000e+01	8.44869e-06	8.47595e-06	5.00000e+00 	 3.0
4.50000e+01	9.89070e-06	9.84038e-06	5.00000e+00 	 3.0
5.00000e+01	8.23607e-06	8.20302e-06	5.00000e+00 	 3.0
>>head<<VGS(50) IDS(50) IGS(50) VDS(50) 	 3.0
5.00000e+01	8.17977e-06	8.17760e-06	-5.00000e+00 	 3.0
4.50000e+01	7.31413e-06	7.31728e-06	-5.00000e+00 	 3.0
4.00000e+01	6.44519e-06	6.45173e-06	-5.00000e+00 	 3.0
3.50000e+01	5.58623e-06	5.59290e-06	-5.00000e+00 	 3.0
3.00000e+01	4.72939e-06	4.73472e-06	-5.00000e+00 	 3.0
2.50000e+01	3.87996e-06	3.89383e-06	-5.00000e+00 	 3.0
2.00000e+01	3.05850e-06	3.06616e-06	-5.00000e+00 	 3.0
1.50000e+01	2.21358e-06	2.24939e-06	-5.00000e+00 	 3.0
1.00000e+01	1.40829e-06	1.45347e-06	-5.00000e+00 	 3.0
5.00000e+00	6.76152e-07	6.81611e-07	-5.00000e+00 	 4.0
0.00000e+00	-1.00691e-07	-1.83196e-08	-5.00000e+00 	 6.0
>>END<< 	 3.0
