>>head<<VGS(0) IDS(0) IGS(0) VDS(0) 	 13.0
0.00000e+00	6.39808e-09	5.45513e-09	5.00000e+00 	 13.0
5.00000e+00	5.12249e-08	-2.75300e-08	5.00000e+00 	 13.0
1.00000e+01	4.60105e-03	4.63192e-03	5.00000e+00 	 13.0
1.50000e+01	1.01854e-02	9.78419e-03	5.00000e+00 	 13.0
2.00000e+01	9.23741e-02	9.56581e-02	5.00000e+00 	 13.0
>>head<<VGS(20) IDS(20) IGS(20) VDS(20) 	 13.0
2.00000e+01	9.99985e-02	9.99987e-02	-5.00000e+00 	 13.0
1.50000e+01	9.99988e-02	9.99989e-02	-5.00000e+00 	 13.0
1.00000e+01	9.99985e-02	9.99985e-02	-5.00000e+00 	 13.0
5.00000e+00	7.53563e-02	7.89774e-02	-5.00000e+00 	 13.0
0.00000e+00	-2.30866e-07	-2.65100e-07	-5.00000e+00 	 13.0
>>END<< 	 13.0
