VGS(0) IDS(0) IGS(0) VDS(0) VGS(10) IDS(10) IGS(10) VDS(10)
0.00000e+00 9.19918e-12 8.50442e-12 2.00000e-01 1.00000e+01 -9.00814e-10 -7.81117e-10 -2.00000e-01
2.00000e-01 1.76905e-10 1.54712e-10 2.00000e-01 9.80000e+00 -7.14562e-10 -6.00416e-10 -2.00000e-01
4.00000e-01 7.19283e-10 6.08248e-10 2.00000e-01 9.60000e+00 -7.10440e-10 -5.95408e-10 -2.00000e-01
6.00000e-01 7.34358e-10 6.20849e-10 2.00000e-01 9.40000e+00 -7.07929e-10 -5.94552e-10 -2.00000e-01
8.00000e-01 7.35025e-10 6.21297e-10 2.00000e-01 9.20000e+00 -7.09670e-10 -4.47090e-10 -2.00000e-01
1.00000e+00 7.34491e-10 6.20611e-10 2.00000e-01 9.00000e+00 -6.79662e-10 -5.64772e-10 -2.00000e-01
1.20000e+00 7.34878e-10 6.21062e-10 2.00000e-01 8.80000e+00 -6.93446e-10 -5.79297e-10 -2.00000e-01
1.40000e+00 7.35155e-10 6.21319e-10 2.00000e-01 8.60000e+00 -7.14956e-10 -5.99977e-10 -2.00000e-01
1.60000e+00 7.35490e-10 6.21750e-10 2.00000e-01 8.40000e+00 -7.18678e-10 -6.01810e-10 -2.00000e-01
1.80000e+00 7.35808e-10 6.21996e-10 2.00000e-01 8.20000e+00 -7.21433e-10 -6.07433e-10 -2.00000e-01
2.00000e+00 7.36308e-10 6.22423e-10 2.00000e-01 8.00000e+00 -7.13219e-10 -5.98280e-10 -2.00000e-01
2.20000e+00 7.32254e-10 6.19982e-10 2.00000e-01 7.80000e+00 -7.14811e-10 -6.01148e-10 -2.00000e-01
2.40000e+00 7.37144e-10 6.23604e-10 2.00000e-01 7.60000e+00 -7.14191e-10 -6.00331e-10 -2.00000e-01
2.60000e+00 7.37002e-10 6.22988e-10 2.00000e-01 7.40000e+00 -7.13994e-10 -6.01295e-10 -2.00000e-01
2.80000e+00 7.37667e-10 6.24350e-10 2.00000e-01 7.20000e+00 -7.16176e-10 -6.02125e-10 -2.00000e-01
3.00000e+00 7.37243e-10 6.23758e-10 2.00000e-01 7.00000e+00 -7.49113e-10 -6.39132e-10 -2.00000e-01
3.20000e+00 7.38963e-10 6.25168e-10 2.00000e-01 6.80000e+00 -7.21910e-10 -6.09547e-10 -2.00000e-01
3.40000e+00 7.39040e-10 6.24743e-10 2.00000e-01 6.60000e+00 -7.16434e-10 -6.02413e-10 -2.00000e-01
3.60000e+00 7.38790e-10 6.25258e-10 2.00000e-01 6.40000e+00 -7.13730e-10 -6.01525e-10 -2.00000e-01
3.80000e+00 7.40171e-10 6.26396e-10 2.00000e-01 6.20000e+00 -7.27645e-10 -6.12626e-10 -2.00000e-01
4.00000e+00 7.40173e-10 6.26507e-10 2.00000e-01 6.00000e+00 -7.39331e-10 -6.24435e-10 -2.00000e-01
4.20000e+00 7.41201e-10 6.27429e-10 2.00000e-01 5.80000e+00 -7.12128e-10 -5.98540e-10 -2.00000e-01
4.40000e+00 7.40011e-10 6.26595e-10 2.00000e-01 5.60000e+00 -7.19654e-10 -6.10440e-10 -2.00000e-01
4.60000e+00 7.41295e-10 6.27544e-10 2.00000e-01 5.40000e+00 -8.14111e-10 -7.00839e-10 -2.00000e-01
4.80000e+00 7.47823e-10 6.34170e-10 2.00000e-01 5.20000e+00 9.50162e-10 8.58846e-10 -2.00000e-01
5.00000e+00 7.40169e-10 6.27297e-10 2.00000e-01 5.00000e+00 -5.22606e-10 -4.71592e-10 -2.00000e-01
5.20000e+00 7.26662e-10 6.12688e-10 2.00000e-01 4.80000e+00 -7.34429e-10 -6.18978e-10 -2.00000e-01
5.40000e+00 7.16213e-10 4.56283e-10 2.00000e-01 4.60000e+00 -7.02270e-10 -5.80764e-10 -2.00000e-01
5.60000e+00 7.28974e-10 6.16030e-10 2.00000e-01 4.40000e+00 -7.07295e-10 -5.92503e-10 -2.00000e-01
5.80000e+00 7.24977e-10 6.11883e-10 2.00000e-01 4.20000e+00 -7.25514e-10 -6.11761e-10 -2.00000e-01
6.00000e+00 7.43629e-10 6.30087e-10 2.00000e-01 4.00000e+00 -7.16043e-10 -6.04827e-10 -2.00000e-01
6.20000e+00 7.47722e-10 6.34020e-10 2.00000e-01 3.80000e+00 -6.49950e-10 -5.19139e-10 -2.00000e-01
6.40000e+00 7.44458e-10 6.30883e-10 2.00000e-01 3.60000e+00 -7.49498e-10 -4.82516e-10 -2.00000e-01
6.60000e+00 7.42840e-10 6.29293e-10 2.00000e-01 3.40000e+00 -7.27378e-10 -6.14748e-10 -2.00000e-01
6.80000e+00 7.45562e-10 6.31725e-10 2.00000e-01 3.20000e+00 -7.20697e-10 -6.07527e-10 -2.00000e-01
7.00000e+00 7.46320e-10 6.32684e-10 2.00000e-01 3.00000e+00 -7.32491e-10 -6.22312e-10 -2.00000e-01
7.20000e+00 7.46690e-10 6.33160e-10 2.00000e-01 2.80000e+00 -7.43404e-10 -6.41874e-10 -2.00000e-01
7.40000e+00 7.48443e-10 6.33830e-10 2.00000e-01 2.60000e+00 -6.36234e-10 -5.20768e-10 -2.00000e-01
7.60000e+00 7.46981e-10 6.33956e-10 2.00000e-01 2.40000e+00 -6.86353e-10 -5.57892e-10 -2.00000e-01
7.80000e+00 7.48417e-10 6.34656e-10 2.00000e-01 2.20000e+00 -7.63116e-10 -6.47133e-10 -2.00000e-01
8.00000e+00 7.46152e-10 6.33461e-10 2.00000e-01 2.00000e+00 -7.13656e-10 -6.04678e-10 -2.00000e-01
8.20000e+00 7.58579e-10 6.44747e-10 2.00000e-01 1.80000e+00 -7.30204e-10 -6.16228e-10 -2.00000e-01
8.40000e+00 7.50260e-10 6.36185e-10 2.00000e-01 1.60000e+00 -7.25815e-10 -6.12953e-10 -2.00000e-01
