VGS(0) IDS(0) IGS(0) VDS(0) VGS(10) IDS(10) IGS(10) VDS(10)
0.00000e+00 -6.12073e-11 -6.11479e-11 2.00000e-01 1.00000e+01 1.40243e-02 1.40313e-02 -2.00000e-01
2.00000e-01 1.94705e-08 1.93165e-08 2.00000e-01 9.80000e+00 1.28020e-02 1.27808e-02 -2.00000e-01
4.00000e-01 7.94510e-08 4.55018e-08 2.00000e-01 9.60000e+00 1.14253e-02 1.14027e-02 -2.00000e-01
6.00000e-01 7.09881e-08 7.05297e-08 2.00000e-01 9.40000e+00 1.00600e-02 1.00384e-02 -2.00000e-01
8.00000e-01 9.92492e-08 1.03564e-07 2.00000e-01 9.20000e+00 8.70453e-03 8.69498e-03 -2.00000e-01
1.00000e+00 1.62485e-07 1.39555e-07 2.00000e-01 9.00000e+00 7.50046e-03 7.48251e-03 -2.00000e-01
1.20000e+00 2.04709e-07 1.84538e-07 2.00000e-01 8.80000e+00 6.35647e-03 6.34137e-03 -2.00000e-01
1.40000e+00 2.45767e-07 2.22661e-07 2.00000e-01 8.60000e+00 5.31308e-03 5.29985e-03 -2.00000e-01
1.60000e+00 3.00255e-07 2.71786e-07 2.00000e-01 8.40000e+00 4.37986e-03 4.36910e-03 -2.00000e-01
1.80000e+00 3.69175e-07 3.50678e-07 2.00000e-01 8.20000e+00 3.55749e-03 3.54887e-03 -2.00000e-01
2.00000e+00 4.43383e-07 4.26280e-07 2.00000e-01 8.00000e+00 2.84778e-03 2.84065e-03 -2.00000e-01
2.20000e+00 5.07630e-07 4.96541e-07 2.00000e-01 7.80000e+00 2.24619e-03 2.24084e-03 -2.00000e-01
2.40000e+00 5.90003e-07 5.75872e-07 2.00000e-01 7.60000e+00 1.74552e-03 1.74173e-03 -2.00000e-01
2.60000e+00 6.82604e-07 6.65244e-07 2.00000e-01 7.40000e+00 1.33524e-03 1.33168e-03 -2.00000e-01
2.80000e+00 7.97617e-07 7.73059e-07 2.00000e-01 7.20000e+00 1.00672e-03 1.00427e-03 -2.00000e-01
3.00000e+00 8.99614e-07 9.12124e-07 2.00000e-01 7.00000e+00 7.45094e-04 7.44168e-04 -2.00000e-01
3.20000e+00 9.97831e-07 9.76689e-07 2.00000e-01 6.80000e+00 5.46025e-04 5.44464e-04 -2.00000e-01
3.40000e+00 1.11708e-06 1.12775e-06 2.00000e-01 6.60000e+00 3.92979e-04 3.91671e-04 -2.00000e-01
3.60000e+00 1.35977e-06 1.34185e-06 2.00000e-01 6.40000e+00 2.78762e-04 2.77620e-04 -2.00000e-01
