VGS(9.5) IDS(9.5) IGS(9.5) VDS(9.5) VGS(10) IDS(10) IGS(10) VDS(10)
9.50000e+00 4.63144e-03 4.63404e-03 1.00000e-02 1.00000e+01 8.68074e-03 8.68120e-03 -1.00000e-02
9.51000e+00 4.73111e-03 4.73282e-03 1.00000e-02 9.99000e+00 8.61063e-03 8.61043e-03 -1.00000e-02
9.52000e+00 4.81771e-03 4.81959e-03 1.00000e-02 9.98000e+00 8.53609e-03 8.53579e-03 -1.00000e-02
9.53000e+00 4.89623e-03 4.89730e-03 1.00000e-02 9.97000e+00 8.46037e-03 8.45977e-03 -1.00000e-02
9.54000e+00 4.97230e-03 4.97389e-03 1.00000e-02 9.96000e+00 8.38192e-03 8.38150e-03 -1.00000e-02
9.55000e+00 5.04573e-03 5.04675e-03 1.00000e-02 9.95000e+00 8.30617e-03 8.30576e-03 -1.00000e-02
9.56000e+00 5.11688e-03 5.11786e-03 1.00000e-02 9.94000e+00 8.22816e-03 8.22770e-03 -1.00000e-02
9.57000e+00 5.18766e-03 5.18878e-03 1.00000e-02 9.93000e+00 8.14949e-03 8.14877e-03 -1.00000e-02
9.58000e+00 5.25961e-03 5.26056e-03 1.00000e-02 9.92000e+00 8.07236e-03 8.07191e-03 -1.00000e-02
9.59000e+00 5.32843e-03 5.32943e-03 1.00000e-02 9.91000e+00 7.99089e-03 7.99073e-03 -1.00000e-02
9.60000e+00 5.39935e-03 5.39980e-03 1.00000e-02 9.90000e+00 7.91279e-03 7.91205e-03 -1.00000e-02
9.61000e+00 5.46869e-03 5.46916e-03 1.00000e-02 9.89000e+00 7.83488e-03 7.83315e-03 -1.00000e-02
9.62000e+00 5.53820e-03 5.53874e-03 1.00000e-02 9.88000e+00 7.75483e-03 7.75418e-03 -1.00000e-02
9.63000e+00 5.60975e-03 5.61062e-03 1.00000e-02 9.87000e+00 7.67243e-03 7.67152e-03 -1.00000e-02
9.64000e+00 5.68043e-03 5.68079e-03 1.00000e-02 9.86000e+00 7.59273e-03 7.59193e-03 -1.00000e-02
9.65000e+00 5.75277e-03 5.75371e-03 1.00000e-02 9.85000e+00 7.51443e-03 7.51379e-03 -1.00000e-02
9.66000e+00 5.82444e-03 5.82544e-03 1.00000e-02 9.84000e+00 7.43613e-03 7.43539e-03 -1.00000e-02
9.67000e+00 5.89813e-03 5.89895e-03 1.00000e-02 9.83000e+00 7.35555e-03 7.35457e-03 -1.00000e-02
9.68000e+00 5.96938e-03 5.97111e-03 1.00000e-02 9.82000e+00 7.27700e-03 7.27610e-03 -1.00000e-02
9.69000e+00 6.04195e-03 6.04305e-03 1.00000e-02 9.81000e+00 7.19906e-03 7.19822e-03 -1.00000e-02
9.70000e+00 6.11519e-03 6.11606e-03 1.00000e-02 9.80000e+00 7.12163e-03 7.12032e-03 -1.00000e-02
9.71000e+00 6.19232e-03 6.19332e-03 1.00000e-02 9.79000e+00 7.04189e-03 7.04106e-03 -1.00000e-02
9.72000e+00 6.26571e-03 6.26647e-03 1.00000e-02 9.78000e+00 6.96468e-03 6.96437e-03 -1.00000e-02
9.73000e+00 6.34193e-03 6.34298e-03 1.00000e-02 9.77000e+00 6.88814e-03 6.88745e-03 -1.00000e-02
9.74000e+00 6.41849e-03 6.41914e-03 1.00000e-02 9.76000e+00 6.81087e-03 6.80972e-03 -1.00000e-02
9.75000e+00 6.49779e-03 6.49862e-03 1.00000e-02 9.75000e+00 6.73451e-03 6.73349e-03 -1.00000e-02
9.76000e+00 6.57457e-03 6.57561e-03 1.00000e-02 9.74000e+00 6.65680e-03 6.65549e-03 -1.00000e-02
9.77000e+00 6.65150e-03 6.65274e-03 1.00000e-02 9.73000e+00 6.58085e-03 6.57998e-03 -1.00000e-02
9.78000e+00 6.73171e-03 6.73443e-03 1.00000e-02 9.72000e+00 6.50425e-03 6.50339e-03 -1.00000e-02
9.79000e+00 6.81077e-03 6.81155e-03 1.00000e-02 9.71000e+00 6.42964e-03 6.42858e-03 -1.00000e-02
9.80000e+00 6.89323e-03 6.89435e-03 1.00000e-02 9.70000e+00 6.35393e-03 6.35256e-03 -1.00000e-02
9.81000e+00 6.97295e-03 6.97331e-03 1.00000e-02 9.69000e+00 6.28004e-03 6.27863e-03 -1.00000e-02
9.82000e+00 7.05423e-03 7.05495e-03 1.00000e-02 9.68000e+00 6.20659e-03 6.20580e-03 -1.00000e-02
9.83000e+00 7.13666e-03 7.13776e-03 1.00000e-02 9.67000e+00 6.13273e-03 6.13186e-03 -1.00000e-02
9.84000e+00 7.22296e-03 7.22407e-03 1.00000e-02 9.66000e+00 6.05825e-03 6.05697e-03 -1.00000e-02
9.85000e+00 7.30577e-03 7.30725e-03 1.00000e-02 9.65000e+00 5.98434e-03 5.98325e-03 -1.00000e-02
9.86000e+00 7.39113e-03 7.39169e-03 1.00000e-02 9.64000e+00 5.91345e-03 5.91198e-03 -1.00000e-02
9.87000e+00 7.47358e-03 7.47485e-03 1.00000e-02 9.63000e+00 5.84168e-03 5.84088e-03 -1.00000e-02
9.88000e+00 7.56222e-03 7.56349e-03 1.00000e-02 9.62000e+00 5.77031e-03 5.76922e-03 -1.00000e-02
9.89000e+00 7.64958e-03 7.65069e-03 1.00000e-02 9.61000e+00 5.70125e-03 5.70079e-03 -1.00000e-02
9.90000e+00 7.73615e-03 7.73683e-03 1.00000e-02 9.60000e+00 5.63145e-03 5.63101e-03 -1.00000e-02
9.91000e+00 7.82466e-03 7.82576e-03 1.00000e-02 9.59000e+00 5.56243e-03 5.56183e-03 -1.00000e-02
9.92000e+00 7.91559e-03 7.91703e-03 1.00000e-02 9.58000e+00 5.49284e-03 5.49200e-03 -1.00000e-02
9.93000e+00 8.00591e-03 8.00714e-03 1.00000e-02 9.57000e+00 5.42303e-03 5.42178e-03 -1.00000e-02
9.94000e+00 8.09593e-03 8.09738e-03 1.00000e-02 9.56000e+00 5.35551e-03 5.35469e-03 -1.00000e-02
9.95000e+00 8.18712e-03 8.18830e-03 1.00000e-02 9.55000e+00 5.28866e-03 5.28774e-03 -1.00000e-02
9.96000e+00 8.27684e-03 8.27811e-03 1.00000e-02 9.54000e+00 5.22238e-03 5.22165e-03 -1.00000e-02
9.97000e+00 8.37308e-03 8.37379e-03 1.00000e-02 9.53000e+00 5.15485e-03 5.15405e-03 -1.00000e-02
9.98000e+00 8.46453e-03 8.46570e-03 1.00000e-02 9.52000e+00 5.08928e-03 5.08887e-03 -1.00000e-02
9.99000e+00 8.56019e-03 8.56148e-03 1.00000e-02 9.51000e+00 5.02455e-03 5.02394e-03 -1.00000e-02
1.00000e+01 8.65554e-03 8.65704e-03 1.00000e-02 9.50000e+00 4.96181e-03 4.96066e-03 -1.00000e-02
