VGS(0) IDS(0) IGS(0) VDS(0) VGS(10) IDS(10) IGS(10) VDS(10)
0.00000e+00 -8.04375e-07 -8.22511e-07 nil 1.00000e+01 9.99961e-02 9.99960e-02 nil
1.00000e+00 7.23268e-03 7.23194e-03 nil 9.00000e+00 9.99959e-02 9.99959e-02 nil
2.00000e+00 1.60483e-02 1.60556e-02 nil 8.00000e+00 9.38853e-02 9.36714e-02 nil
3.00000e+00 2.60976e-02 2.61511e-02 nil 7.00000e+00 7.98822e-02 7.95386e-02 nil
4.00000e+00 3.72729e-02 3.73569e-02 nil 6.00000e+00 6.46950e-02 6.45315e-02 nil
5.00000e+00 4.93987e-02 4.95044e-02 nil 5.00000e+00 5.14001e-02 5.12734e-02 nil
6.00000e+00 6.23359e-02 6.25092e-02 nil 4.00000e+00 3.89311e-02 3.88278e-02 nil
7.00000e+00 7.60915e-02 7.62322e-02 nil 3.00000e+00 2.73459e-02 2.72641e-02 nil
8.00000e+00 9.10053e-02 9.39568e-02 nil 2.00000e+00 1.68313e-02 1.67885e-02 nil
9.00000e+00 9.99966e-02 9.99961e-02 nil 1.00000e+00 7.56366e-03 7.55615e-03 nil
1.00000e+01 9.99964e-02 9.99961e-02 nil 0.00000e+00 2.80813e-08 2.57576e-08 nil
