>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-1.22350e-11 	 0.1	-81732733.96
5.00000e-01	4.12016e-08 	 0.1	24270.902
1.00000e+00	9.48358e-08 	 0.1	10544.541
1.50000e+00	1.83681e-07 	 0.1	5444.221
2.00000e+00	2.45841e-07 	 0.1	4067.67
2.50000e+00	3.13973e-07 	 0.1	3184.987
3.00000e+00	4.46021e-07 	 0.1	2242.047
3.50000e+00	7.15284e-05 	 0.1	13.98
4.00000e+00	6.34096e-05 	 0.1	15.77
4.50000e+00	6.35206e-05 	 1.1	173.172
5.00000e+00	2.77867e-05 	 1.1	395.873
5.50000e+00	3.30806e-05 	 2.1	634.813
6.00000e+00	4.89905e-05 	 5.1	1041.018
6.50000e+00	5.79576e-05 	 8.1	1397.573
7.00000e+00	6.44184e-05 	 14.1	2188.816
7.50000e+00	9.18066e-05 	 24.2	2635.976
8.00000e+00	1.42039e-04 	 40.2	2830.209
8.50000e+00	2.34390e-04 	 62.3	2657.963
9.00000e+00	3.84276e-04 	 97.4	2534.637
9.50000e+00	6.13749e-04 	 248.1	4042.369
1.00000e+01	9.57846e-04 	 374.14	3906.056
1.05000e+01	1.45698e-03 	 534.2	3666.488
1.10000e+01	2.12727e-03 	 727.27	3418.795
1.15000e+01	3.02996e-03 	 980.35	3235.521
1.20000e+01	4.18785e-03 	 1281.46	3059.947
>>head<<V(12) I(12) 	 lux 	 CurrCoeff.
1.20000e+01	3.95492e-03 	 1342.48	3394.456
1.15000e+01	2.59738e-03 	 915.33	3524.051
1.10000e+01	1.64456e-03 	 623.23	3789.646
1.05000e+01	1.02996e-03 	 421.16	4089.091
1.00000e+01	6.31928e-04 	 293.12	4638.503
9.50000e+00	3.93254e-04 	 198.8	5055.257
9.00000e+00	2.40069e-04 	 129.6	5398.448
8.50000e+00	1.51339e-04 	 82.4	5444.73
8.00000e+00	1.02322e-04 	 52.3	5111.315
7.50000e+00	8.09924e-05 	 18.1	2234.778
7.00000e+00	6.28338e-05 	 11.1	1766.565
6.50000e+00	2.62227e-05 	 6.1	2326.229
6.00000e+00	2.32666e-05 	 4.1	1762.183
5.50000e+00	2.02471e-05 	 2.1	1037.186
5.00000e+00	2.34823e-05 	 1.1	468.438
4.50000e+00	1.90954e-05 	 1.1	576.055
4.00000e+00	1.51234e-05 	 1.1	727.35
3.50000e+00	1.16787e-05 	 0.1	85.626
3.00000e+00	1.52346e-05 	 0.1	65.64
2.50000e+00	8.10019e-06 	 0.1	123.454
2.00000e+00	5.18365e-06 	 0.1	192.914
1.50000e+00	2.80483e-06 	 0.1	356.528
1.00000e+00	1.39534e-06 	 0.1	716.671
5.00000e-01	4.45998e-07 	 0.1	2242.163
0.00000e+00	-1.63656e-09 	 0.1	-611037.787
