V(0) I(0) lux CurrCoeff.
0.00000e+00 9.84669e-15 376.183 382040056100070.2
5.00000e-01 4.32725e-10 377.183 8716459645.271
1.00000e+00 1.71064e-10 377.184 22049291493.242
1.50000e+00 1.23680e-10 377.184 30496765847.348
2.00000e+00 1.15320e-08 377.184 327075962.539
2.50000e+00 1.11749e-08 377.184 337527852.598
3.00000e+00 1.15047e-08 378.184 328721305.206
3.50000e+00 1.15049e-08 378.185 328716459.943
4.00000e+00 1.15029e-08 379.185 329642959.601
4.50000e+00 1.15142e-08 379.185 329319449.028
5.00000e+00 1.14955e-08 380.186 330725936.236
5.50000e+00 1.15063e-08 380.186 330415511.502
6.00000e+00 1.14854e-08 380.186 331016769.116
6.50000e+00 1.15008e-08 380.186 330573525.32
7.00000e+00 1.15028e-08 380.186 330516048.267
7.50000e+00 1.14953e-08 381.186 331601611.093
8.00000e+00 1.15071e-08 381.187 331262437.973
8.50000e+00 1.15094e-08 381.187 331196239.595
9.00000e+00 1.14888e-08 382.187 332660504.143
9.50000e+00 1.15045e-08 382.187 332206527.88
1.00000e+01 1.14991e-08 382.188 332363402.353
1.05000e+01 1.15042e-08 383.188 333085307.974
1.10000e+01 1.15039e-08 383.188 333093994.211
1.15000e+01 1.15118e-08 384.188 333734081.551
1.20000e+01 1.15030e-08 384.189 333990263.41
