VGS(1) IDS(1) IGS(1) VDS(1) VGS(10) IDS(10) IGS(10) VDS(10)
1.00000e+00 1.33297e-07 1.32367e-07 5.00000e-01 1.00000e+01 1.67740e-03 1.67561e-03 -5.00000e-01
1.50000e+00 2.97758e-07 2.34800e-07 5.00000e-01 9.50000e+00 1.08890e-03 1.08144e-03 -5.00000e-01
2.00000e+00 3.93004e-07 3.30291e-07 5.00000e-01 9.00000e+00 6.64357e-04 6.62797e-04 -5.00000e-01
2.50000e+00 4.70863e-07 4.26807e-07 5.00000e-01 8.50000e+00 3.95653e-04 3.91839e-04 -5.00000e-01
3.00000e+00 6.36369e-07 5.74863e-07 5.00000e-01 8.00000e+00 2.24533e-04 2.21556e-04 -5.00000e-01
3.50000e+00 8.39938e-07 7.66930e-07 5.00000e-01 7.50000e+00 1.20227e-04 1.18165e-04 -5.00000e-01
4.00000e+00 1.05584e-06 1.04487e-06 5.00000e-01 7.00000e+00 6.12851e-05 6.06664e-05 -5.00000e-01
4.50000e+00 1.65773e-06 1.59288e-06 5.00000e-01 6.50000e+00 3.17440e-05 3.08611e-05 -5.00000e-01
5.00000e+00 3.00428e-06 2.92638e-06 5.00000e-01 6.00000e+00 1.57592e-05 1.53382e-05 -5.00000e-01
5.50000e+00 6.07452e-06 5.97406e-06 5.00000e-01 5.50000e+00 7.25579e-06 7.51864e-06 -5.00000e-01
6.00000e+00 1.29000e-05 1.31132e-05 5.00000e-01 5.00000e+00 3.77375e-06 3.72786e-06 -5.00000e-01
6.50000e+00 2.77186e-05 2.91104e-05 5.00000e-01 4.50000e+00 1.97269e-06 2.11686e-06 -5.00000e-01
7.00000e+00 5.99125e-05 6.21454e-05 5.00000e-01 4.00000e+00 1.16009e-06 1.20490e-06 -5.00000e-01
7.50000e+00 1.25813e-04 1.26474e-04 5.00000e-01 3.50000e+00 7.38151e-07 7.47358e-07 -5.00000e-01
8.00000e+00 2.34498e-04 2.38900e-04 5.00000e-01 3.00000e+00 4.50213e-07 5.24007e-07 -5.00000e-01
8.50000e+00 4.24492e-04 4.30452e-04 5.00000e-01 2.50000e+00 3.03193e-07 3.80095e-07 -5.00000e-01
9.00000e+00 7.17679e-04 7.24854e-04 5.00000e-01 2.00000e+00 2.19310e-07 2.68122e-07 -5.00000e-01
9.50000e+00 1.15692e-03 1.16025e-03 5.00000e-01 1.50000e+00 1.17284e-07 1.77363e-07 -5.00000e-01
1.00000e+01 1.71906e-03 1.72657e-03 5.00000e-01 1.00000e+00 1.15506e-07 1.17255e-07 -5.00000e-01
