VGS(1) IDS(1) IGS(1) VDS(1) VGS(10) IDS(10) IGS(10) VDS(10)
1.00000e+00 1.01375e-05 1.01232e-05 5.00000e-01 1.00000e+01 2.02767e-02 2.02856e-02 -5.00000e-01
1.50000e+00 4.05134e-05 4.05071e-05 5.00000e-01 9.50000e+00 1.67133e-02 1.66313e-02 -5.00000e-01
2.00000e+00 1.16626e-04 1.16853e-04 5.00000e-01 9.00000e+00 1.41078e-02 1.40474e-02 -5.00000e-01
2.50000e+00 2.69443e-04 2.70118e-04 5.00000e-01 8.50000e+00 1.18209e-02 1.17771e-02 -5.00000e-01
3.00000e+00 5.36195e-04 5.37766e-04 5.00000e-01 8.00000e+00 9.80456e-03 9.79028e-03 -5.00000e-01
3.50000e+00 9.66911e-04 9.69665e-04 5.00000e-01 7.50000e+00 8.12447e-03 8.09583e-03 -5.00000e-01
4.00000e+00 1.56328e-03 1.56454e-03 5.00000e-01 7.00000e+00 6.66379e-03 6.64319e-03 -5.00000e-01
4.50000e+00 2.38759e-03 2.41196e-03 5.00000e-01 6.50000e+00 5.42219e-03 5.40834e-03 -5.00000e-01
5.00000e+00 3.36683e-03 3.37707e-03 5.00000e-01 6.00000e+00 4.34875e-03 4.33860e-03 -5.00000e-01
5.50000e+00 4.58945e-03 4.60192e-03 5.00000e-01 5.50000e+00 3.41857e-03 3.40521e-03 -5.00000e-01
6.00000e+00 4.95750e-03 4.60395e-03 5.00000e-01 5.00000e+00 2.60884e-03 2.60225e-03 -5.00000e-01
6.50000e+00 5.69529e-03 5.69256e-03 5.00000e-01 4.50000e+00 1.94708e-03 1.94323e-03 -5.00000e-01
7.00000e+00 6.77763e-03 6.78832e-03 5.00000e-01 4.00000e+00 1.38901e-03 1.38564e-03 -5.00000e-01
7.50000e+00 8.22283e-03 8.24945e-03 5.00000e-01 3.50000e+00 9.33142e-04 9.31905e-04 -5.00000e-01
8.00000e+00 9.90977e-03 9.93582e-03 5.00000e-01 3.00000e+00 5.86172e-04 5.85022e-04 -5.00000e-01
8.50000e+00 1.18660e-02 1.18918e-02 5.00000e-01 2.50000e+00 3.28360e-04 3.26455e-04 -5.00000e-01
9.00000e+00 1.41309e-02 1.41914e-02 5.00000e-01 2.00000e+00 1.58693e-04 1.58359e-04 -5.00000e-01
9.50000e+00 1.68477e-02 1.69256e-02 5.00000e-01 1.50000e+00 6.19400e-05 6.18173e-05 -5.00000e-01
1.00000e+01 1.99672e-02 2.00577e-02 5.00000e-01 1.00000e+00 1.75793e-05 1.76870e-05 -5.00000e-01
