V(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
0.00000e+00 -1.48151e-11 0 -0E+00 -3.292244E-06 0E+00
2.50000e-01 4.91548e-09 0 0E+00 1.092329E-03 0E+00
5.00000e-01 1.35230e-08 0 0E+00 3.005111E-03 0E+00
7.50000e-01 3.14351e-08 0 0E+00 6.985578E-03 0E+00
1.00000e+00 5.00616e-08 0 0E+00 1.11248E-02 0E+00
1.25000e+00 7.78749e-08 0 0E+00 1.730553E-02 0E+00
1.50000e+00 1.15695e-07 0 0E+00 2.571E-02 0E+00
1.75000e+00 1.78244e-07 0 0E+00 3.960978E-02 0E+00
2.00000e+00 2.61330e-07 0 0E+00 5.807333E-02 0E+00
2.25000e+00 3.71471e-07 0 0E+00 8.254911E-02 0E+00
2.50000e+00 5.22363e-07 0 0E+00 1.160807E-01 0E+00
2.75000e+00 7.19724e-07 0 0E+00 1.599387E-01 0E+00
3.00000e+00 9.82128e-07 0 0E+00 2.182507E-01 0E+00
3.25000e+00 1.31714e-06 0 0E+00 2.926978E-01 0E+00
3.50000e+00 1.75284e-06 0 0E+00 3.8952E-01 0E+00
3.75000e+00 2.29162e-06 0 0E+00 5.092489E-01 0E+00
4.00000e+00 2.96547e-06 0 0E+00 6.589933E-01 0E+00
4.25000e+00 4.00925e-06 0 0E+00 8.909444E-01 0E+00
4.50000e+00 5.10865e-06 0 0E+00 1.135256E+00 0E+00
4.75000e+00 6.77747e-06 0 0E+00 1.506104E+00 0E+00
5.00000e+00 9.34423e-06 0 0E+00 2.076496E+00 0E+00
5.25000e+00 1.38967e-05 0 0E+00 3.088156E+00 0E+00
5.50000e+00 2.13182e-05 0 0E+00 4.737378E+00 0E+00
5.75000e+00 3.50001e-05 0 0E+00 7.7778E+00 0E+00
6.00000e+00 5.90162e-05 0 0E+00 1.311471E+01 0E+00
6.25000e+00 9.89254e-05 0 0E+00 2.198342E+01 0E+00
6.50000e+00 1.63970e-04 0 0E+00 3.643778E+01 0E+00
6.75000e+00 2.60108e-04 0 0E+00 5.780178E+01 0E+00
7.00000e+00 4.04637e-04 0 0E+00 8.991933E+01 0E+00
7.25000e+00 6.08521e-04 0 0E+00 1.352269E+02 0E+00
7.50000e+00 8.88687e-04 0 0E+00 1.97486E+02 0E+00
7.75000e+00 9.99932e-04 0 0E+00 2.222071E+02 0E+00
8.00000e+00 9.99931e-04 0 0E+00 2.222069E+02 0E+00
8.25000e+00 9.99932e-04 0 0E+00 2.222071E+02 0E+00
8.50000e+00 9.99932e-04 0 0E+00 2.222071E+02 0E+00
8.75000e+00 9.99931e-04 0 0E+00 2.222069E+02 0E+00
9.00000e+00 9.99932e-04 0 0E+00 2.222071E+02 0E+00
9.25000e+00 9.99932e-04 0 0E+00 2.222071E+02 0E+00
9.50000e+00 9.99932e-04 0 0E+00 2.222071E+02 0E+00
9.75000e+00 9.99933e-04 0 0E+00 2.222073E+02 0E+00
1.00000e+01 9.99933e-04 0 0E+00 2.222073E+02 0E+00
