>>head<<V(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
0.00000e+00	-3.44220e-04 	 0 	 -0E+00 	 -7.649333E+01	0E+00
1.00000e+00	9.99957e-02 	 0 	 0E+00 	 2.222127E+04	0E+00
2.00000e+00	9.99956e-02 	 0 	 0E+00 	 2.222124E+04	0E+00
3.00000e+00	9.99954e-02 	 0 	 0E+00 	 2.22212E+04	0E+00
4.00000e+00	9.99954e-02 	 0 	 0E+00 	 2.22212E+04	0E+00
5.00000e+00	9.99953e-02 	 0 	 0E+00 	 2.222118E+04	0E+00
6.00000e+00	9.99953e-02 	 0 	 0E+00 	 2.222118E+04	0E+00
7.00000e+00	9.99954e-02 	 0 	 0E+00 	 2.22212E+04	0E+00
8.00000e+00	9.99953e-02 	 0 	 0E+00 	 2.222118E+04	0E+00
9.00000e+00	9.99953e-02 	 0 	 0E+00 	 2.222118E+04	0E+00
1.00000e+01	9.99954e-02 	 0 	 0E+00 	 2.22212E+04	0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_012.txt
