>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
7.00000e+00	9.99971e-02 	 0 	 0E+00 	 2.222158E+04 	 0E+00
7.10000e+00	9.99970e-02 	 0 	 0E+00 	 2.222156E+04 	 0E+00
7.20000e+00	9.99970e-02 	 0 	 0E+00 	 2.222156E+04 	 0E+00
7.30000e+00	9.99971e-02 	 0 	 0E+00 	 2.222158E+04 	 0E+00
7.40000e+00	9.99972e-02 	 0 	 0E+00 	 2.22216E+04 	 0E+00
7.50000e+00	9.99971e-02 	 0 	 0E+00 	 2.222158E+04 	 0E+00
7.60000e+00	9.99972e-02 	 0 	 0E+00 	 2.22216E+04 	 0E+00
7.70000e+00	9.99975e-02 	 0 	 0E+00 	 2.222167E+04 	 0E+00
7.80000e+00	9.99974e-02 	 0 	 0E+00 	 2.222164E+04 	 0E+00
7.90000e+00	9.99976e-02 	 0 	 0E+00 	 2.222169E+04 	 0E+00
8.00000e+00	9.99975e-02 	 0 	 0E+00 	 2.222167E+04 	 0E+00
8.10000e+00	9.99973e-02 	 0 	 0E+00 	 2.222162E+04 	 0E+00
8.00000e+00	9.99974e-02 	 0 	 0E+00 	 2.222164E+04 	 0E+00
7.90000e+00	9.99973e-02 	 0 	 0E+00 	 2.222162E+04 	 0E+00
7.80000e+00	9.99974e-02 	 0 	 0E+00 	 2.222164E+04 	 0E+00
7.70000e+00	9.99973e-02 	 0 	 0E+00 	 2.222162E+04 	 0E+00
7.60000e+00	9.99973e-02 	 0 	 0E+00 	 2.222162E+04 	 0E+00
7.50000e+00	9.99973e-02 	 0 	 0E+00 	 2.222162E+04 	 0E+00
7.40000e+00	9.99971e-02 	 0 	 0E+00 	 2.222158E+04 	 0E+00
7.30000e+00	9.99971e-02 	 0 	 0E+00 	 2.222158E+04 	 0E+00
7.20000e+00	9.99970e-02 	 0 	 0E+00 	 2.222156E+04 	 0E+00
7.10000e+00	9.99972e-02 	 0 	 0E+00 	 2.22216E+04 	 0E+00
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_094.txt
