dt(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-1
5.30000e-05 -6.00501e-04 0 -0E+00 -1.334447E+02 0E+00
2.02060e+00 -6.01023e-04 0 -0E+00 -1.335607E+02 0E+00
4.04116e+00 -6.23178e-04 0 -0E+00 -1.38484E+02 0E+00
6.06171e+00 -6.04121e-04 0 -0E+00 -1.342491E+02 0E+00
8.08220e+00 -6.05601e-04 0 -0E+00 -1.34578E+02 0E+00
1.01027e+01 -5.73487e-04 0 -0E+00 -1.274416E+02 0E+00
1.21234e+01 -5.86364e-04 0 -0E+00 -1.303031E+02 0E+00
1.41439e+01 -5.89178e-04 0 -0E+00 -1.309284E+02 0E+00
1.61646e+01 -6.23269e-04 0 -0E+00 -1.385042E+02 0E+00
1.82254e+01 -6.24289e-04 0 -0E+00 -1.387309E+02 0E+00
2.02460e+01 -6.31623e-04 0 -0E+00 -1.403607E+02 0E+00
2.22666e+01 -6.17654e-04 0 -0E+00 -1.372564E+02 0E+00
2.42872e+01 -6.29093e-04 0 -0E+00 -1.397984E+02 0E+00
2.63078e+01 -5.89617e-04 0 -0E+00 -1.31026E+02 0E+00
2.83284e+01 -5.93758e-04 0 -0E+00 -1.319462E+02 0E+00
