>>head<<dt(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-1
4.70000e-05	1.17741e-10 	 0 	 0E+00 	 2.616467E-05	0E+00
1.12569e+00	7.29261e-10 	 0 	 0E+00 	 1.62058E-04	0E+00
2.70633e+00	-1.61454e-10 	 0 	 -0E+00 	 -3.587867E-05	0E+00
3.67684e+00	6.36541e-10 	 0 	 0E+00 	 1.414536E-04	0E+00
4.64736e+00	-1.14072e-10 	 0 	 -0E+00 	 -2.534933E-05	0E+00
5.61785e+00	9.01044e-10 	 0 	 0E+00 	 2.00232E-04	0E+00
6.58838e+00	1.63921e-09 	 0 	 0E+00 	 3.642689E-04	0E+00
7.71399e+00	2.13419e-09 	 0 	 0E+00 	 4.742644E-04	0E+00
7.87449e+00	2.99481e-09 	 0 	 0E+00 	 6.655133E-04	0E+00
8.03500e+00	3.10865e-09 	 0 	 0E+00 	 6.908111E-04	0E+00
8.19550e+00	2.92450e-09 	 0 	 0E+00 	 6.498889E-04	0E+00
8.35599e+00	9.99937e-04 	 0 	 0E+00 	 2.222082E+02	0E+00
1.19767e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.20472e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.21178e+01	9.99935e-04 	 0 	 0E+00 	 2.222078E+02	0E+00
1.21884e+01	9.99937e-04 	 0 	 0E+00 	 2.222082E+02	0E+00
1.22590e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.23295e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.24001e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.24708e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.25414e+01	9.99937e-04 	 0 	 0E+00 	 2.222082E+02	0E+00
1.26119e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.26825e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.27531e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.28236e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.28942e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.29647e+01	9.99937e-04 	 0 	 0E+00 	 2.222082E+02	0E+00
1.30353e+01	9.99937e-04 	 0 	 0E+00 	 2.222082E+02	0E+00
1.31059e+01	9.99937e-04 	 0 	 0E+00 	 2.222082E+02	0E+00
1.31765e+01	9.99937e-04 	 0 	 0E+00 	 2.222082E+02	0E+00
1.32470e+01	9.99936e-04 	 0 	 0E+00 	 2.22208E+02	0E+00
1.33176e+01	9.99932e-04 	 0 	 0E+00 	 2.222071E+02	0E+00
1.34284e+01	9.99931e-04 	 0 	 0E+00 	 2.222069E+02	0E+00
1.34990e+01	9.99932e-04 	 0 	 0E+00 	 2.222071E+02	0E+00
1.35696e+01	9.99931e-04 	 0 	 0E+00 	 2.222069E+02	0E+00
1.36402e+01	9.99933e-04 	 0 	 0E+00 	 2.222073E+02	0E+00
1.37107e+01	9.99932e-04 	 0 	 0E+00 	 2.222071E+02	0E+00
1.37813e+01	9.99931e-04 	 0 	 0E+00 	 2.222069E+02	0E+00
1.38519e+01	9.99931e-04 	 0 	 0E+00 	 2.222069E+02	0E+00
1.39224e+01	9.99932e-04 	 0 	 0E+00 	 2.222071E+02	0E+00
1.39930e+01	9.99931e-04 	 0 	 0E+00 	 2.222069E+02	0E+00
1.40636e+01	9.99932e-04 	 0 	 0E+00 	 2.222071E+02	0E+00
1.41341e+01	9.99931e-04 	 0 	 0E+00 	 2.222069E+02	0E+00
1.42047e+01	9.99930e-04 	 0 	 0E+00 	 2.222067E+02	0E+00
