>>head<<dt(__) 	 I(__) 	 lux 	 CurrCoeff. 	 CurrA/m^-2. 	 lux/m^-2 	 %lux/m^-2
5.10000e-05	5.16812e-03 	 0 	 0E+00 	 1.148471E+03	0E+00	100.0
7.04840e-02	5.14836e-03 	 0 	 0E+00 	 1.14408E+03	0E+00	99.618
1.40868e-01	5.13230e-03 	 0 	 0E+00 	 1.140511E+03	0E+00	99.307
2.11247e-01	5.12067e-03 	 0 	 0E+00 	 1.137927E+03	0E+00	99.082
2.81602e-01	5.11234e-03 	 0 	 0E+00 	 1.136076E+03	0E+00	98.921
3.51956e-01	5.10383e-03 	 0 	 0E+00 	 1.134184E+03	0E+00	98.756
4.22308e-01	5.09704e-03 	 0 	 0E+00 	 1.132676E+03	0E+00	98.625
4.92643e-01	5.09167e-03 	 0 	 0E+00 	 1.131482E+03	0E+00	98.521
5.62988e-01	5.08711e-03 	 0 	 0E+00 	 1.130469E+03	0E+00	98.433
6.33338e-01	5.08139e-03 	 0 	 0E+00 	 1.129198E+03	0E+00	98.322
7.03686e-01	5.07598e-03 	 0 	 0E+00 	 1.127996E+03	0E+00	98.217
7.74027e-01	5.07118e-03 	 0 	 0E+00 	 1.126929E+03	0E+00	98.124
8.44367e-01	5.06884e-03 	 0 	 0E+00 	 1.126409E+03	0E+00	98.079
9.14714e-01	5.06524e-03 	 0 	 0E+00 	 1.125609E+03	0E+00	98.009
9.85050e-01	5.06262e-03 	 0 	 0E+00 	 1.125027E+03	0E+00	97.959
1.05538e+00	5.05885e-03 	 0 	 0E+00 	 1.124189E+03	0E+00	97.886
1.12572e+00	5.05609e-03 	 0 	 0E+00 	 1.123576E+03	0E+00	97.832
1.19607e+00	5.05289e-03 	 0 	 0E+00 	 1.122864E+03	0E+00	97.77
1.26641e+00	5.04933e-03 	 0 	 0E+00 	 1.122073E+03	0E+00	97.701
1.33675e+00	5.04660e-03 	 0 	 0E+00 	 1.121467E+03	0E+00	97.649
1.40709e+00	5.04461e-03 	 0 	 0E+00 	 1.121024E+03	0E+00	97.61
1.47744e+00	5.04141e-03 	 0 	 0E+00 	 1.120313E+03	0E+00	97.548
1.54777e+00	5.03962e-03 	 0 	 0E+00 	 1.119916E+03	0E+00	97.514
1.61812e+00	5.03622e-03 	 0 	 0E+00 	 1.11916E+03	0E+00	97.448
1.68846e+00	5.03494e-03 	 0 	 0E+00 	 1.118876E+03	0E+00	97.423
1.75879e+00	5.03248e-03 	 0 	 0E+00 	 1.118329E+03	0E+00	97.375
1.82913e+00	5.03080e-03 	 0 	 0E+00 	 1.117956E+03	0E+00	97.343
1.89948e+00	5.02847e-03 	 0 	 0E+00 	 1.117438E+03	0E+00	97.298
1.96982e+00	5.02733e-03 	 0 	 0E+00 	 1.117184E+03	0E+00	97.276
2.04018e+00	5.02450e-03 	 0 	 0E+00 	 1.116556E+03	0E+00	97.221
2.11064e+00	5.02347e-03 	 0 	 0E+00 	 1.116327E+03	0E+00	97.201
2.18107e+00	5.02102e-03 	 0 	 0E+00 	 1.115782E+03	0E+00	97.154
2.25153e+00	5.01945e-03 	 0 	 0E+00 	 1.115433E+03	0E+00	97.123
2.32199e+00	5.01699e-03 	 0 	 0E+00 	 1.114887E+03	0E+00	97.076
2.39245e+00	5.01578e-03 	 0 	 0E+00 	 1.114618E+03	0E+00	97.052
2.46288e+00	5.01420e-03 	 0 	 0E+00 	 1.114267E+03	0E+00	97.022
2.53333e+00	5.01265e-03 	 0 	 0E+00 	 1.113922E+03	0E+00	96.992
2.60378e+00	5.01074e-03 	 0 	 0E+00 	 1.113498E+03	0E+00	96.955
2.67420e+00	5.00935e-03 	 0 	 0E+00 	 1.113189E+03	0E+00	96.928
2.74466e+00	5.00770e-03 	 0 	 0E+00 	 1.112822E+03	0E+00	96.896
2.81512e+00	5.00688e-03 	 0 	 0E+00 	 1.11264E+03	0E+00	96.88
2.88557e+00	5.00409e-03 	 0 	 0E+00 	 1.11202E+03	0E+00	96.826
2.95602e+00	5.00278e-03 	 0 	 0E+00 	 1.111729E+03	0E+00	96.801
3.02648e+00	5.00153e-03 	 0 	 0E+00 	 1.111451E+03	0E+00	96.777
3.09693e+00	5.00065e-03 	 0 	 0E+00 	 1.111256E+03	0E+00	96.76
3.16734e+00	4.99885e-03 	 0 	 0E+00 	 1.110856E+03	0E+00	96.725
3.23778e+00	4.99613e-03 	 0 	 0E+00 	 1.110251E+03	0E+00	96.672
3.30825e+00	4.99470e-03 	 0 	 0E+00 	 1.109933E+03	0E+00	96.644
3.37871e+00	4.99395e-03 	 0 	 0E+00 	 1.109767E+03	0E+00	96.63
3.44914e+00	4.99280e-03 	 0 	 0E+00 	 1.109511E+03	0E+00	96.608
3.51957e+00	4.99232e-03 	 0 	 0E+00 	 1.109404E+03	0E+00	96.598
3.58999e+00	4.99070e-03 	 0 	 0E+00 	 1.109044E+03	0E+00	96.567
3.66045e+00	4.98937e-03 	 0 	 0E+00 	 1.108749E+03	0E+00	96.541
3.73091e+00	4.98762e-03 	 0 	 0E+00 	 1.10836E+03	0E+00	96.507
3.80138e+00	4.98616e-03 	 0 	 0E+00 	 1.108036E+03	0E+00	96.479
3.87182e+00	4.98502e-03 	 0 	 0E+00 	 1.107782E+03	0E+00	96.457
3.94228e+00	4.98395e-03 	 0 	 0E+00 	 1.107544E+03	0E+00	96.436
4.01273e+00	4.98309e-03 	 0 	 0E+00 	 1.107353E+03	0E+00	96.42
4.08316e+00	4.98190e-03 	 0 	 0E+00 	 1.107089E+03	0E+00	96.397
4.15358e+00	4.98011e-03 	 0 	 0E+00 	 1.106691E+03	0E+00	96.362
4.22403e+00	4.97973e-03 	 0 	 0E+00 	 1.106607E+03	0E+00	96.355
4.29450e+00	4.97842e-03 	 0 	 0E+00 	 1.106316E+03	0E+00	96.329
4.36493e+00	4.97769e-03 	 0 	 0E+00 	 1.106153E+03	0E+00	96.315
4.43535e+00	4.97647e-03 	 0 	 0E+00 	 1.105882E+03	0E+00	96.292
4.50580e+00	4.97586e-03 	 0 	 0E+00 	 1.105747E+03	0E+00	96.28
4.57627e+00	4.97275e-03 	 0 	 0E+00 	 1.105056E+03	0E+00	96.22
4.64673e+00	4.97190e-03 	 0 	 0E+00 	 1.104867E+03	0E+00	96.203
4.71715e+00	4.97010e-03 	 0 	 0E+00 	 1.104467E+03	0E+00	96.168
4.78759e+00	4.97016e-03 	 0 	 0E+00 	 1.10448E+03	0E+00	96.17
4.85804e+00	4.96851e-03 	 0 	 0E+00 	 1.104113E+03	0E+00	96.138
4.92846e+00	4.96667e-03 	 0 	 0E+00 	 1.103704E+03	0E+00	96.102
4.99892e+00	4.96649e-03 	 0 	 0E+00 	 1.103664E+03	0E+00	96.099
5.06935e+00	4.96509e-03 	 0 	 0E+00 	 1.103353E+03	0E+00	96.071
5.13979e+00	4.96435e-03 	 0 	 0E+00 	 1.103189E+03	0E+00	96.057
5.21025e+00	4.96315e-03 	 0 	 0E+00 	 1.102922E+03	0E+00	96.034
5.28070e+00	4.96158e-03 	 0 	 0E+00 	 1.102573E+03	0E+00	96.004
5.35117e+00	4.96129e-03 	 0 	 0E+00 	 1.102509E+03	0E+00	95.998
5.42160e+00	4.96072e-03 	 0 	 0E+00 	 1.102382E+03	0E+00	95.987
5.49207e+00	4.95959e-03 	 0 	 0E+00 	 1.102131E+03	0E+00	95.965
5.56248e+00	4.95664e-03 	 0 	 0E+00 	 1.101476E+03	0E+00	95.908
5.63294e+00	4.95507e-03 	 0 	 0E+00 	 1.101127E+03	0E+00	95.878
5.70341e+00	4.95304e-03 	 0 	 0E+00 	 1.100676E+03	0E+00	95.838
5.77388e+00	4.95188e-03 	 0 	 0E+00 	 1.100418E+03	0E+00	95.816
5.84434e+00	4.95179e-03 	 0 	 0E+00 	 1.100398E+03	0E+00	95.814
5.91478e+00	4.94975e-03 	 0 	 0E+00 	 1.099944E+03	0E+00	95.775
5.98522e+00	4.94868e-03 	 0 	 0E+00 	 1.099707E+03	0E+00	95.754
6.05567e+00	4.94659e-03 	 0 	 0E+00 	 1.099242E+03	0E+00	95.714
6.12613e+00	4.94600e-03 	 0 	 0E+00 	 1.099111E+03	0E+00	95.702
6.19656e+00	4.94476e-03 	 0 	 0E+00 	 1.098836E+03	0E+00	95.678
6.26701e+00	4.94442e-03 	 0 	 0E+00 	 1.09876E+03	0E+00	95.672
6.33745e+00	4.94335e-03 	 0 	 0E+00 	 1.098522E+03	0E+00	95.651
6.40790e+00	4.94261e-03 	 0 	 0E+00 	 1.098358E+03	0E+00	95.637
6.47838e+00	4.94117e-03 	 0 	 0E+00 	 1.098038E+03	0E+00	95.609
6.54884e+00	4.94048e-03 	 0 	 0E+00 	 1.097884E+03	0E+00	95.595
6.61930e+00	4.93957e-03 	 0 	 0E+00 	 1.097682E+03	0E+00	95.578
6.68975e+00	4.93862e-03 	 0 	 0E+00 	 1.097471E+03	0E+00	95.559
6.76023e+00	4.93798e-03 	 0 	 0E+00 	 1.097329E+03	0E+00	95.547
6.83068e+00	4.93647e-03 	 0 	 0E+00 	 1.096993E+03	0E+00	95.518
6.90110e+00	4.93514e-03 	 0 	 0E+00 	 1.096698E+03	0E+00	95.492
6.97157e+00	4.93474e-03 	 0 	 0E+00 	 1.096609E+03	0E+00	95.484
7.04202e+00	4.93296e-03 	 0 	 0E+00 	 1.096213E+03	0E+00	95.45
7.11247e+00	4.93232e-03 	 0 	 0E+00 	 1.096071E+03	0E+00	95.437
7.18292e+00	4.92962e-03 	 0 	 0E+00 	 1.095471E+03	0E+00	95.385
7.25338e+00	4.92904e-03 	 0 	 0E+00 	 1.095342E+03	0E+00	95.374
7.32381e+00	4.92857e-03 	 0 	 0E+00 	 1.095238E+03	0E+00	95.365
7.39426e+00	4.92874e-03 	 0 	 0E+00 	 1.095276E+03	0E+00	95.368
7.46474e+00	4.92661e-03 	 0 	 0E+00 	 1.094802E+03	0E+00	95.327
7.53520e+00	4.92619e-03 	 0 	 0E+00 	 1.094709E+03	0E+00	95.319
7.60563e+00	4.92383e-03 	 0 	 0E+00 	 1.094184E+03	0E+00	95.273
7.67608e+00	4.92430e-03 	 0 	 0E+00 	 1.094289E+03	0E+00	95.282
7.74654e+00	4.92297e-03 	 0 	 0E+00 	 1.093993E+03	0E+00	95.256
7.81700e+00	4.92201e-03 	 0 	 0E+00 	 1.09378E+03	0E+00	95.238
7.88743e+00	4.92054e-03 	 0 	 0E+00 	 1.093453E+03	0E+00	95.209
