dt(__) I(__) lux CurrCoeff. CurrA/m^-2. lux/m^-2 %lux/m^-2
4.40000e-05 7.99670e-03 0 0E+00 1.777044E+03 0E+00 100.0
1.02047e+00 8.00430e-03 0 0E+00 1.778733E+03 0E+00 100.095
2.04089e+00 8.01391e-03 0 0E+00 1.780869E+03 0E+00 100.215
3.06141e+00 8.02143e-03 0 0E+00 1.78254E+03 0E+00 100.309
4.08191e+00 8.02661e-03 0 0E+00 1.783691E+03 0E+00 100.374
5.10239e+00 8.02941e-03 0 0E+00 1.784313E+03 0E+00 100.409
6.12289e+00 8.02907e-03 0 0E+00 1.784238E+03 0E+00 100.405
7.14337e+00 8.02621e-03 0 0E+00 1.783602E+03 0E+00 100.369
8.16384e+00 8.02274e-03 0 0E+00 1.782831E+03 0E+00 100.326
9.18432e+00 8.01641e-03 0 0E+00 1.781424E+03 0E+00 100.246
1.02048e+01 8.00909e-03 0 0E+00 1.779798E+03 0E+00 100.155
1.12253e+01 7.99801e-03 0 0E+00 1.777336E+03 0E+00 100.016
1.22458e+01 7.98591e-03 0 0E+00 1.774647E+03 0E+00 99.865
1.32663e+01 7.97288e-03 0 0E+00 1.771751E+03 0E+00 99.702
1.42868e+01 7.95844e-03 0 0E+00 1.768542E+03 0E+00 99.522
1.53072e+01 7.94578e-03 0 0E+00 1.765729E+03 0E+00 99.363
1.63680e+01 7.93071e-03 0 0E+00 1.76238E+03 0E+00 99.175
