>>head<<V(__) 	 I(__) 	 lux 	 CurrC oeff. 	 CurrA/m^-2. 	 lux/m^-1
1.00000e+01	4.70496e-05 	 57.12 	 1.214038E+06 	 1.045547E+01 	 1.269333E+07
1.00000e+01	4.69474e-05 	 57.12 	 1.216681E+06 	 1.043276E+01 	 1.269333E+07
1.00000e+01	4.46054e-05 	 57.12 	 1.280562E+06 	 9.912311E+00 	 1.269333E+07
1.00000e+01	4.61910e-05 	 57.12 	 1.236605E+06 	 1.026467E+01 	 1.269333E+07
1.00000e+01	4.44799e-05 	 57.12 	 1.284176E+06 	 9.884422E+00 	 1.269333E+07
1.00000e+01	4.60875e-05 	 57.12 	 1.239382E+06 	 1.024167E+01 	 1.269333E+07
1.00000e+01	4.51178e-05 	 57.12 	 1.266019E+06 	 1.002618E+01 	 1.269333E+07
1.00000e+01	4.52426e-05 	 57.12 	 1.262527E+06 	 1.005391E+01 	 1.269333E+07
1.00000e+01	4.50990e-05 	 57.12 	 1.266547E+06 	 1.0022E+01 	 1.269333E+07
1.00000e+01	4.67029e-05 	 57.12 	 1.22305E+06 	 1.037842E+01 	 1.269333E+07
1.00000e+01	4.70926e-05 	 57.12 	 1.212929E+06 	 1.046502E+01 	 1.269333E+07
1.00000e+01	4.62344e-05 	 57.12 	 1.235444E+06 	 1.027431E+01 	 1.269333E+07
1.00000e+01	4.59699e-05 	 57.12 	 1.242552E+06 	 1.021553E+01 	 1.269333E+07
1.00000e+01	4.91312e-05 	 57.12 	 1.162601E+06 	 1.091804E+01 	 1.269333E+07
1.00000e+01	4.88421e-05 	 57.12 	 1.169483E+06 	 1.08538E+01 	 1.269333E+07
1.00000e+01	5.05650e-05 	 57.12 	 1.129635E+06 	 1.123667E+01 	 1.269333E+07
1.00000e+01	5.15748e-05 	 57.12 	 1.107518E+06 	 1.146107E+01 	 1.269333E+07
1.00000e+01	5.78428e-05 	 57.12 	 9.875041E+05 	 1.285396E+01 	 1.269333E+07
1.00000e+01	5.13371e-05 	 57.12 	 1.112646E+06 	 1.140824E+01 	 1.269333E+07
1.00000e+01	5.02825e-05 	 57.12 	 1.135982E+06 	 1.117389E+01 	 1.269333E+07
1.00000e+01	4.59337e-05 	 57.12 	 1.243531E+06 	 1.020749E+01 	 1.269333E+07
1.00000e+01	4.58410e-05 	 57.12 	 1.246046E+06 	 1.018689E+01 	 1.269333E+07
1.00000e+01	4.79150e-05 	 57.12 	 1.192111E+06 	 1.064778E+01 	 1.269333E+07
>>END<<
DATA: /home/user/PycharmProjects/OFET_K2636B_2019.10.15/data/OLED_00_oled_ltp_051.txt
