V(0) I(0) lux CurrCoeff.
0.00000e+00 -1.75047e-11 0.1 -57127514.325
5.00000e-01 8.19731e-08 0.1 12199.124
1.00000e+00 2.02103e-07 0.1 4947.972
1.50000e+00 4.33256e-07 0.1 2308.104
2.00000e+00 6.36669e-07 0.1 1570.675
2.50000e+00 8.50007e-07 0.1 1176.461
3.00000e+00 1.15096e-06 0.1 868.84
3.50000e+00 2.27137e-06 0.1 440.263
4.00000e+00 5.02156e-06 0.1 199.141
4.50000e+00 1.04518e-05 0.1 95.677
5.00000e+00 1.87271e-05 0.1 53.399
5.50000e+00 3.23019e-05 1.1 340.537
6.00000e+00 5.17370e-05 1.1 212.614
6.50000e+00 7.78056e-05 2.1 269.903
7.00000e+00 1.14016e-04 3.1 271.892
7.50000e+00 1.60165e-04 5.1 318.422
8.00000e+00 2.22251e-04 6.1 274.464
8.50000e+00 3.05757e-04 9.1 297.622
9.00000e+00 4.15202e-04 12.1 291.424
9.50000e+00 5.53675e-04 21.2 382.896
1.00000e+01 7.34891e-04 28.2 383.73
