V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 1.56411e-12 0.1 639341222.804 1.00000e+01 3.55340e-06 0.1 281.421
5.00000e-01 4.18709e-09 0.1 238829.354 9.50000e+00 3.05105e-06 0.1 327.756
1.00000e+00 1.22729e-08 0.1 81480.335 9.00000e+00 2.56544e-06 0.0 0.0
1.50000e+00 3.76570e-08 0.1 26555.488 8.50000e+00 1.96244e-06 0.1 509.57
2.00000e+00 5.92564e-08 0.1 16875.814 8.00000e+00 1.53573e-06 0.1 651.156
2.50000e+00 8.88139e-08 0.1 11259.499 7.50000e+00 1.22319e-06 0.1 817.534
3.00000e+00 1.11777e-07 0.1 8946.384 7.00000e+00 1.02759e-06 0.1 973.151
3.50000e+00 1.78741e-07 0.1 5594.687 6.50000e+00 8.08933e-07 0.1 1236.196
4.00000e+00 2.38266e-07 0.1 4196.99 6.00000e+00 6.16068e-07 0.1 1623.197
4.50000e+00 3.14057e-07 0.1 3184.135 5.50000e+00 4.77633e-07 0.1 2093.658
5.00000e+00 4.02947e-07 0.1 2481.716 5.00000e+00 3.65691e-07 0.1 2734.549
5.50000e+00 5.08188e-07 0.1 1967.776 4.50000e+00 2.75010e-07 0.1 3636.231
6.00000e+00 6.36868e-07 0.1 1570.184 4.00000e+00 2.00441e-07 0.1 4988.999
6.50000e+00 8.10478e-07 0.1 1233.84 3.50000e+00 1.45775e-07 0.1 6859.887
7.00000e+00 1.09696e-06 0.1 911.61 3.00000e+00 1.00667e-07 0.1 9933.742
7.50000e+00 1.53108e-06 0.1 653.134 2.50000e+00 7.86286e-08 0.1 12718.019
8.00000e+00 1.79926e-06 0.1 555.784 2.00000e+00 3.77640e-08 0.1 26480.246
8.50000e+00 2.11426e-06 0.1 472.979 1.50000e+00 1.74751e-08 0.1 57224.279
9.00000e+00 3.14069e-06 0.1 318.401 1.00000e+00 1.42859e-08 0.1 69999.09
9.50000e+00 3.57516e-06 0.1 279.708 5.00000e-01 5.06118e-09 0.1 197582.382
1.00000e+01 3.66643e-06 0.1 272.745 0.00000e+00 -7.55844e-09 0.1 -132302.433
