>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-3.43570e-11 	 0.1	-29106150.13
5.00000e-01	9.53913e-08 	 0.1	10483.136
1.00000e+00	2.67387e-07 	 0.1	3739.898
1.50000e+00	5.76068e-07 	 0.1	1735.906
2.00000e+00	9.25532e-07 	 0.1	1080.46
2.50000e+00	1.35453e-06 	 0.1	738.263
3.00000e+00	2.01397e-06 	 0.1	496.532
3.50000e+00	2.86741e-06 	 0.1	348.747
4.00000e+00	4.58814e-06 	 0.1	217.953
4.50000e+00	9.07614e-06 	 0.1	110.179
5.00000e+00	1.89857e-05 	 0.1	52.671
5.50000e+00	3.67370e-05 	 1.1	299.426
6.00000e+00	6.48715e-05 	 1.1	169.566
6.50000e+00	1.06435e-04 	 3.1	291.258
7.00000e+00	1.64595e-04 	 4.1	249.096
7.50000e+00	2.43455e-04 	 6.1	250.56
8.00000e+00	3.48077e-04 	 8.1	232.707
8.50000e+00	4.84381e-04 	 11.2	231.223
9.00000e+00	6.60074e-04 	 15.2	230.277
9.50000e+00	8.51715e-04 	 0.2	2.348
1.00000e+01	1.10973e-03 	 34.3	309.084
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.14861e-03 	 32.3	281.209
9.50000e+00	8.98433e-04 	 0.0	0.0
9.00000e+00	6.81976e-04 	 25.2	369.514
8.50000e+00	5.05535e-04 	 19.2	379.796
8.00000e+00	3.65402e-04 	 10.1	276.408
7.50000e+00	2.55833e-04 	 7.1	277.525
7.00000e+00	1.72446e-04 	 5.1	295.745
6.50000e+00	1.10485e-04 	 3.1	280.581
6.00000e+00	6.63876e-05 	 2.1	316.324
5.50000e+00	3.69954e-05 	 1.1	297.334
5.00000e+00	1.90620e-05 	 1.1	577.064
4.50000e+00	9.35429e-06 	 0.1	106.903
4.00000e+00	5.08437e-06 	 0.1	196.681
3.50000e+00	3.16421e-06 	 0.1	316.035
3.00000e+00	2.10797e-06 	 0.1	474.39
2.50000e+00	1.35355e-06 	 0.1	738.798
2.00000e+00	8.67017e-07 	 0.1	1153.38
1.50000e+00	4.07770e-07 	 0.1	2452.363
1.00000e+00	1.50174e-07 	 0.1	6658.942
5.00000e-01	6.83574e-08 	 0.1	14628.994
0.00000e+00	-6.29387e-08 	 0.1	-15888.476
