>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-2.92479e-11 	 0.1	-34190488.89
5.00000e-01	8.64734e-11 	 0.1	11564249.816
1.00000e+00	1.52771e-07 	 0.1	6545.745
1.50000e+00	3.51722e-07 	 0.1	2843.155
2.00000e+00	6.89356e-07 	 0.1	1450.629
2.50000e+00	1.40553e-06 	 0.1	711.475
3.00000e+00	3.13524e-06 	 0.1	318.955
3.50000e+00	7.07270e-06 	 0.1	141.389
4.00000e+00	2.06483e-05 	 0.1	48.43
4.50000e+00	7.69574e-05 	 0.1	12.994
5.00000e+00	3.68415e-04 	 1.1	29.858
5.50000e+00	7.95761e-04 	 2.1	26.39
6.00000e+00	1.46549e-03 	 4.1	27.977
6.50000e+00	2.13936e-03 	 8.1	37.862
7.00000e+00	2.99048e-03 	 13.1	43.806
7.50000e+00	3.97989e-03 	 21.2	53.268
8.00000e+00	5.13785e-03 	 33.2	64.618
8.50000e+00	6.48208e-03 	 49.3	76.056
9.00000e+00	8.01957e-03 	 71.4	89.032
9.50000e+00	9.72287e-03 	 150.7	154.995
1.00000e+01	1.16265e-02 	 205.9	177.095
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.10299e-02 	 197.9	179.421
9.50000e+00	8.75669e-03 	 0.0	0.0
9.00000e+00	6.86905e-03 	 144.7	210.655
8.50000e+00	5.25360e-03 	 65.3	124.296
8.00000e+00	3.94678e-03 	 42.3	107.176
7.50000e+00	2.91130e-03 	 28.2	96.864
7.00000e+00	2.10359e-03 	 18.1	86.043
6.50000e+00	1.48659e-03 	 11.1	74.668
6.00000e+00	1.02386e-03 	 7.1	69.345
5.50000e+00	6.83952e-04 	 4.1	59.946
5.00000e+00	4.42115e-04 	 2.1	47.499
4.50000e+00	2.72864e-04 	 1.1	40.313
4.00000e+00	1.59306e-04 	 0.1	6.277
3.50000e+00	8.63987e-05 	 0.1	11.574
3.00000e+00	4.33801e-05 	 0.1	23.052
2.50000e+00	1.95541e-05 	 0.1	51.14
2.00000e+00	7.67696e-06 	 0.1	130.26
1.50000e+00	2.51666e-06 	 0.1	397.352
1.00000e+00	6.63846e-07 	 0.1	1506.373
5.00000e-01	1.19131e-07 	 0.1	8394.121
0.00000e+00	-1.89197e-09 	 0.1	-528549.607
