>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-2.71129e-11 	 0.1	-36882812.241
5.00000e-01	1.24111e-07 	 0.1	8057.304
1.00000e+00	6.80258e-07 	 0.1	1470.03
1.50000e+00	1.84389e-06 	 0.1	542.332
2.00000e+00	3.20072e-06 	 0.1	312.43
2.50000e+00	5.92655e-06 	 0.1	168.732
3.00000e+00	8.65373e-06 	 0.1	115.557
3.50000e+00	1.25048e-05 	 0.1	79.969
4.00000e+00	1.73186e-05 	 0.1	57.741
4.50000e+00	3.57106e-05 	 0.1	28.003
5.00000e+00	8.14401e-05 	 2.1	257.858
5.50000e+00	1.81584e-04 	 7.1	391.004
6.00000e+00	3.57279e-04 	 19.2	537.395
6.50000e+00	7.15767e-04 	 47.3	660.83
7.00000e+00	1.35543e-03 	 101.5	748.84
7.50000e+00	2.37508e-03 	 185.9	782.71
8.00000e+00	3.87193e-03 	 319.14	824.24
8.50000e+00	5.86009e-03 	 505.22	862.137
9.00000e+00	8.34030e-03 	 771.32	924.811
9.50000e+00	1.13200e-02 	 1500.6	1325.618
1.00000e+01	1.46523e-02 	 1855.74	1266.518
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.47882e-02 	 1766.71	1194.675
9.50000e+00	1.14164e-02 	 0.0	0.0
9.00000e+00	8.22568e-03 	 1328.55	1615.125
8.50000e+00	5.60378e-03 	 601.26	1072.954
8.00000e+00	3.52988e-03 	 377.17	1068.507
7.50000e+00	2.04219e-03 	 224.11	1097.4
7.00000e+00	1.08121e-03 	 123.7	1144.089
6.50000e+00	5.21786e-04 	 61.4	1176.728
6.00000e+00	2.37276e-04 	 31.2	1314.924
5.50000e+00	1.03355e-04 	 12.1	1170.722
5.00000e+00	4.54835e-05 	 4.1	901.426
4.50000e+00	2.26451e-05 	 1.1	485.756
4.00000e+00	1.24508e-05 	 0.1	80.316
3.50000e+00	7.26660e-06 	 0.1	137.616
3.00000e+00	4.15624e-06 	 0.1	240.602
2.50000e+00	2.24850e-06 	 0.1	444.741
2.00000e+00	1.19087e-06 	 0.1	839.722
1.50000e+00	5.89754e-07 	 0.1	1695.622
1.00000e+00	2.09677e-07 	 0.1	4769.24
5.00000e-01	9.35472e-08 	 0.1	10689.791
0.00000e+00	-6.37029e-08 	 0.1	-15697.872
