V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 -4.11159e-11 0.1 -24321491.199 1.00000e+01 1.64208e-02 1528.61 930.899
5.00000e-01 3.47653e-07 0.1 2876.431 9.50000e+00 1.30052e-02 1168.48 898.471
1.00000e+00 1.77022e-06 0.1 564.902 9.00000e+00 9.67216e-03 0.0 0.0
1.50000e+00 6.36300e-06 0.1 157.159 8.50000e+00 6.83274e-03 566.25 828.73
2.00000e+00 1.79390e-05 0.1 55.744 8.00000e+00 4.47688e-03 359.16 802.255
2.50000e+00 4.26188e-05 0.1 23.464 7.50000e+00 2.69167e-03 218.1 810.278
3.00000e+00 8.59844e-05 0.1 11.63 7.00000e+00 1.47015e-03 122.6 833.929
3.50000e+00 1.62115e-04 0.1 6.168 6.50000e+00 7.24613e-04 61.4 847.349
4.00000e+00 2.54692e-04 0.1 3.926 6.00000e+00 3.37270e-04 31.2 925.075
4.50000e+00 3.83277e-04 0.1 2.609 5.50000e+00 1.52736e-04 12.1 792.217
5.00000e+00 5.00953e-04 1.1 21.958 5.00000e+00 7.21032e-05 4.1 568.629
5.50000e+00 5.99530e-04 6.1 101.746 4.50000e+00 3.85303e-05 1.1 285.49
6.00000e+00 8.01567e-04 19.2 239.531 4.00000e+00 2.25239e-05 0.1 44.397
6.50000e+00 1.16669e-03 48.3 413.992 3.50000e+00 1.36061e-05 0.1 73.496
7.00000e+00 1.88297e-03 99.5 528.421 3.00000e+00 9.51447e-06 0.1 105.103
7.50000e+00 3.01964e-03 189.9 628.883 2.50000e+00 4.55963e-06 0.1 219.316
8.00000e+00 4.64388e-03 320.14 689.38 2.00000e+00 2.30429e-06 0.1 433.973
8.50000e+00 6.74690e-03 493.21 731.017 1.50000e+00 1.04934e-06 0.1 952.98
9.00000e+00 9.33237e-03 716.29 767.533 1.00000e+00 4.03218e-07 0.1 2480.048
9.50000e+00 1.24493e-02 1328.52 1067.144 5.00000e-01 1.10516e-07 0.1 9048.464
1.00000e+01 1.60690e-02 1644.64 1023.486 0.00000e+00 -1.06558e-09 0.1 -938456.052
