V(0) I(0) lux CurrCoeff. V(10) I(10) lux CurrCoeff.
0.00000e+00 -5.55603e-11 0.1 -17998462.931 1.00000e+01 3.03841e-02 329.16 108.333
5.00000e-01 1.05596e-08 0.1 94700.557 9.50000e+00 2.45587e-02 247.13 100.628
1.00000e+00 8.00748e-08 0.1 12488.323 9.00000e+00 1.88693e-02 0.0 0.0
1.50000e+00 9.50407e-08 0.1 10521.808 8.50000e+00 1.37031e-02 0.0 0.0
2.00000e+00 1.20769e-07 0.1 8280.271 8.00000e+00 9.20044e-03 79.5 86.409
2.50000e+00 3.61161e-07 0.1 2768.848 7.50000e+00 5.58547e-03 50.3 90.055
3.00000e+00 1.29862e-06 0.1 770.048 7.00000e+00 2.96473e-03 28.2 95.118
3.50000e+00 3.98494e-06 0.1 250.945 6.50000e+00 1.35621e-03 13.1 96.593
4.00000e+00 1.23925e-05 0.1 80.694 6.00000e+00 5.51412e-04 6.1 110.625
4.50000e+00 4.04862e-05 0.1 24.7 5.50000e+00 2.23632e-04 2.1 93.904
5.00000e+00 1.58708e-04 1.1 69.31 5.00000e+00 1.04785e-04 0.1 9.543
5.50000e+00 4.26636e-04 5.1 119.54 4.50000e+00 5.79716e-05 0.1 17.25
6.00000e+00 1.05170e-03 15.1 143.577 4.00000e+00 3.51227e-05 0.1 28.472
6.50000e+00 2.21605e-03 34.2 154.329 3.50000e+00 2.09020e-05 0.1 47.842
7.00000e+00 4.13184e-03 65.4 158.283 3.00000e+00 1.16715e-05 0.1 85.679
7.50000e+00 6.84659e-03 110.6 161.54 2.50000e+00 5.94313e-06 0.1 168.262
8.00000e+00 1.03326e-02 164.8 159.495 2.00000e+00 2.65282e-06 0.1 376.957
8.50000e+00 1.44969e-02 218.11 150.453 1.50000e+00 9.60708e-07 0.1 1040.899
9.00000e+00 1.92615e-02 0.0 0.0 1.00000e+00 2.12318e-07 0.1 4709.916
9.50000e+00 2.45209e-02 397.19 161.98 5.00000e-01 3.45225e-08 0.1 28966.616
1.00000e+01 3.01895e-02 421.2 139.519 0.00000e+00 -6.06443e-08 0.1 -16489.596
