>>head<<V(0) I(0) 	 lux 	 CurrCoeff.
0.00000e+00	-3.45062e-11 	 0.1	-28980299.193
5.00000e-01	6.47578e-09 	 0.1	154421.552
1.00000e+00	1.74642e-08 	 0.1	57259.995
1.50000e+00	8.20806e-08 	 0.1	12183.147
2.00000e+00	7.80514e-08 	 0.1	12812.07
2.50000e+00	2.20228e-07 	 0.1	4540.749
3.00000e+00	6.29016e-07 	 0.1	1589.785
3.50000e+00	1.59906e-06 	 0.1	625.367
4.00000e+00	3.54375e-06 	 0.1	282.187
4.50000e+00	7.24731e-06 	 0.0	0.0
5.00000e+00	2.09227e-05 	 0.1	47.795
5.50000e+00	6.07249e-05 	 1.1	181.145
6.00000e+00	1.79636e-04 	 5.1	283.907
6.50000e+00	4.62622e-04 	 14.1	304.784
7.00000e+00	1.04465e-03 	 34.2	327.382
7.50000e+00	2.09905e-03 	 67.4	321.098
8.00000e+00	3.74795e-03 	 122.7	327.379
8.50000e+00	6.06412e-03 	 201.11	331.639
9.00000e+00	9.07249e-03 	 312.16	344.073
9.50000e+00	1.27598e-02 	 607.3	475.948
1.00000e+01	1.70293e-02 	 727.35	427.117
>>head<<V(10) I(10) 	 lux 	 CurrCoeff.
1.00000e+01	1.72550e-02 	 604.3	350.217
9.50000e+00	1.28819e-02 	 0.0	0.0
9.00000e+00	8.87791e-03 	 421.22	474.459
8.50000e+00	5.64869e-03 	 161.9	286.615
8.00000e+00	3.24446e-03 	 90.6	279.245
7.50000e+00	1.65296e-03 	 47.3	286.153
7.00000e+00	7.33932e-04 	 22.2	302.48
6.50000e+00	2.83854e-04 	 9.1	320.587
6.00000e+00	9.78539e-05 	 4.1	418.992
5.50000e+00	3.48800e-05 	 1.1	315.367
5.00000e+00	1.40018e-05 	 0.1	71.419
4.50000e+00	8.49686e-06 	 0.1	117.691
4.00000e+00	2.28931e-05 	 0.1	43.681
3.50000e+00	2.05125e-05 	 0.1	48.751
3.00000e+00	4.23261e-04 	 0.1	2.363
2.50000e+00	3.26794e-04 	 0.1	3.06
2.00000e+00	2.29159e-04 	 0.1	4.364
1.50000e+00	1.47054e-04 	 0.1	6.8
1.00000e+00	8.01434e-05 	 0.1	12.478
5.00000e-01	3.13123e-05 	 0.1	31.936
0.00000e+00	-1.16814e-08 	 0.1	-85606.177
